book,char_id,best_name,gender,count,other_names
All_the_Flowers_in_Shanghai,0,Character_0,he/him/his,6086,
All_the_Flowers_in_Shanghai,79,Xiong Fa,he/him/his,790,Xiong Fa|Master Xiong Fa|Mrs. Sang Xiong Fa|Sang Xiong Fa|pat Xiong Fa|beckoning Xiong Fa
All_the_Flowers_in_Shanghai,62,Yan,she/her,560,Yan
All_the_Flowers_in_Shanghai,38,Grandfather,he/him/his,460,Grandfather|Grandfather Sang
All_the_Flowers_in_Shanghai,40,Sister,she/her,455,Sister
All_the_Flowers_in_Shanghai,42,Ma,she/her,374,Ma
All_the_Flowers_in_Shanghai,41,Ba,he/him/his,331,Ba
All_the_Flowers_in_Shanghai,98,Lu Meng,he/him/his,262,Lu Meng|Sang Lu|Sang Lu Meng|Master Lu Meng
All_the_Flowers_in_Shanghai,104,Madam Zhang,she/her,245,Madam Zhang
All_the_Flowers_in_Shanghai,51,Bi,he/him/his,221,Bi|Xiao Bi
All_the_Flowers_in_Shanghai,1133,my husband,he/him/his,183,
All_the_Flowers_in_Shanghai,2598,Character_2598,he/him/his,127,
All_the_Flowers_in_Shanghai,75,Ming,she/her,121,Ming|Madam Ming
All_the_Flowers_in_Shanghai,99,Yu,she/her,120,Yu|Sang Yu
All_the_Flowers_in_Shanghai,2020,an old man,he/him/his,109,
All_the_Flowers_in_Shanghai,213,your sister,she/her,101,
All_the_Flowers_in_Shanghai,69,Father,he/him/his,95,Father|Big Father Sang
All_the_Flowers_in_Shanghai,39,Xiao Feng,he/him/his,88,Xiao Feng|Feng
All_the_Flowers_in_Shanghai,43,Feng,she/her,83,Feng|Feng Feng|Sang Feng Feng|Sang Feng
All_the_Flowers_in_Shanghai,61,First Wife,she/her,83,First Wife
All_the_Flowers_in_Shanghai,159,people,they/them/their,82,
All_the_Flowers_in_Shanghai,201,everyone,he/him/his,79,
All_the_Flowers_in_Shanghai,1071,my son,he/him/his,73,
All_the_Flowers_in_Shanghai,4420,mistress,she/her,73,
All_the_Flowers_in_Shanghai,434,the family,they/them/their,67,
All_the_Flowers_in_Shanghai,711,the baby,he/him/his,61,
All_the_Flowers_in_Shanghai,344,the young man,he/him/his,60,
All_the_Flowers_in_Shanghai,1276,First Wife,she/her,58,
All_the_Flowers_in_Shanghai,166,the maids,they/them/their,56,
All_the_Flowers_in_Shanghai,2095,the doctor,he/him/his,54,
All_the_Flowers_in_Shanghai,230,a boy,he/him/his,51,
All_the_Flowers_in_Shanghai,553,your father,he/him/his,51,
All_the_Flowers_in_Shanghai,376,my father,he/him/his,48,
All_the_Flowers_in_Shanghai,1668,the old man,he/him/his,46,
All_the_Flowers_in_Shanghai,2827,another baby,she/her,46,
All_the_Flowers_in_Shanghai,1072,Character_1072,she/her,45,
All_the_Flowers_in_Shanghai,3860,Character_3860,she/her,45,
All_the_Flowers_in_Shanghai,2209,a pregnant woman to be seen outside,she/her,40,
All_the_Flowers_in_Shanghai,233,someone,they/them/their,39,
All_the_Flowers_in_Shanghai,315,my parents,they/them/their,39,
All_the_Flowers_in_Shanghai,2851,this child,she/her,39,
All_the_Flowers_in_Shanghai,4301,the Sang family,they/them/their,37,
All_the_Flowers_in_Shanghai,401,his family,they/them/their,36,
All_the_Flowers_in_Shanghai,1296,your husband,he/him/his,36,
All_the_Flowers_in_Shanghai,293,his father,he/him/his,35,
All_the_Flowers_in_Shanghai,4071,Character_4071,they/them/their,35,
All_the_Flowers_in_Shanghai,562,the boy,he/him/his,33,
All_the_Flowers_in_Shanghai,4507,your son,he/him/his,33,
All_the_Flowers_in_Shanghai,74,Ah Cheuk,he/him/his,32,Ah Cheuk|Cheuk|that ugly Ah Cheuk
All_the_Flowers_in_Shanghai,4544,our son,he/him/his,31,
All_the_Flowers_in_Shanghai,4781,the pawnbroker,he/him/his,31,
All_the_Flowers_in_Shanghai,3852,Character_3852,she/her,31,
All_the_Flowers_in_Shanghai,1597,the others,they/them/their,30,
All_the_Flowers_in_Shanghai,101,Chairman Mao,he/him/his,30,Chairman Mao
All_the_Flowers_in_Shanghai,172,a child,he/him/his,29,
All_the_Flowers_in_Shanghai,437,the servants,they/them/their,29,
All_the_Flowers_in_Shanghai,442,the other women,they/them/their,29,
All_the_Flowers_in_Shanghai,4003,Character_4003,None,29,
All_the_Flowers_in_Shanghai,720,my grandfather,he/him/his,28,
All_the_Flowers_in_Shanghai,2578,Character_2578,she/her,28,
All_the_Flowers_in_Shanghai,203,a man,he/him/his,27,
All_the_Flowers_in_Shanghai,3935,Character_3935,she/her,27,
All_the_Flowers_in_Shanghai,219,other people,they/them/their,26,
All_the_Flowers_in_Shanghai,255,the people,they/them/their,26,
All_the_Flowers_in_Shanghai,267,this family,they/them/their,26,
All_the_Flowers_in_Shanghai,114,Ah Sui,she/her,26,Ah Sui
All_the_Flowers_in_Shanghai,48,Grandmother,she/her,25,Grandmother
All_the_Flowers_in_Shanghai,301,others,they/them/their,25,
