book name,author
A CASE OF TWO CITIES AN INSPECTOR CHEN NOVEL,QIU XIAOLONG
A Cold Season in SHANGHAI,S.P. Homy
A Funny Thing Happened on the Way to the Shanghai Hilton,Adam M. Dean
A LOYAL CHARACTER DANCER An Inspector Chen Investigation,QIU XIAOLONG
A PIECE OF MY HEART,Katherine P. Stillerman
"A REMOTE ARMY POST IN THE DESERT, PETROGRAD TO SHANGHAI, NOVEMBER 1919 TO JANUARY 1922",MICHAEL P. KIHNTOPF
A Shadow Over Shanghai,David Keyes
ABOVE THE WATER,JODY FERGUSON
AI SHANGHAI LAO SU,CLITUS J CUONG
All the FLOWERS in SHANGHAI,DUNCAN JEPSON
ASSASSIN'S HOOD,GARRETT HUTSON
BAD BAD GIRL,Gish Jen
BECOMING INSPECTOR CHEN AN INSPECTOR CHEN MYSTERY,QIU XIAOLONG
BECOMING MADAME MAO,ANCHEE MIN
BEGGAR'S CHICKEN: STORIES FROM SHANGHAI,ULRICH BAER
"Beijing, Shanghai, the track; Commissioner Yan I",Gibert Costa
Reminiscences of an Old Rake; Bertie Seal's 1930s Shanghai Escapades,Rip William
BETRAYAL IN SHANGHAI,Howard Turk
BIG TROUBLE IN OLD SHANGHAI,JEANNIE LIN
BLOOD ROAD: The Mystery of Shen Dingyi in Revolutionary China,R. KEITH SCHOPPA
BLUE HUNGER,Viola Di Grado
BLUE ORCA,SCARLET RISQUE
Bucket & Broom In China,Steve Howrie
Bullets on the Bund,STEVE WHAN
'BUTTERFLIES',ROBERT HARRIS BLUM
Cafe Jause: A Story of Viennese Shanghai,Wena Poon
CHINA DREAMS Shanghai Hyaloids,CLEMENT MASLOFF
CHINA SEA,JOHN GINTHER
CHINA STAR,BARTLE BULL
CITY OF DEVILS: THE TWO MEN WHO RULED THE UNDERWORLD OF OLD SHANGHAI,PAUL FRENCH
CITY OF LOST SOULS A JACK FORD SHANGHAI MYSTERY,Martin Petersen
CITY OF SHADOWS,MJ LEE
CITY RISING,DAVID ROTENBERG
CITY RISING,DAVID ROTENBERG
"COGAR'S DESPAIR, A Novel",NATE GRANZOW
