author_id,author_name
0,A.Y. CHAO
1,AMY TAN
2,ANCHEE MIN
3,BO CALDWELL
4,CHARLES McCARRY
5,CHLOE GONG
6,DANIEL KALLA
7,DAVID DOWNING
8,DUNCAN JEPSON
9,Eileen Chang
10,J.G. Ballard
11,JANIE CHANG
12,JENNIFER CODY EPSTEIN
13,JENNIFER HAIGH
14,JENNY ZHANG
15,KATHRYN HARRISON
16,KIM FAY
17,Kiana Davenport
18,Kirsty MANNING
19,LISA SEE
20,LUCY TAN
21,MINGMEI YIP
22,Marcus Carra、Phil Bravery
23,NICOLE MONES
24,QIU XIAOLONG
25,Qiu Xiaolong
26,Ridley Pearson
27,S. J. ROZAN
28,TASH AW
29,TOM BRADBY
30,Tony Parsons
31,Viola Di Grado
