book_id,book_name
0,A Case of Two Cities
1,A Loyal Character Dancer
2,All the Flowers in Shanghai
3,Becoming Madame Mao
4,Blue Hunger
5,Death of a Red Heroine
6,Don't Cry Tai Lake
7,Dragon Springs Road
8,Dreams of Joy
9,Empire of the Sun
10,Enigma of China
11,Five Star Billionaire
12,Half a Lifelong Romance
13,My Favourite Wife
14,Night in Shanghai
15,Peach Blossom Pavilion
16,Rabbit Moon
17,Red Mandarin Dress
18,Shanghai
19,Shanghai Girls
20,Shanghai Immortal
21,Shanghai Redemption
22,Shanghailanders
23,Sour Heart
24,The Binding Chair
25,The Distant Land of My Father
26,The Far Side of the Sky
27,The Library of Legends
28,The Mao Case
29,The Map of Lost Memories
30,The Master of Rain
31,The Painter from Shanghai
32,The Shanghai Moon
