"book","name","character_id"
"A Case of Two Cities","An Jiayi","0"
"A Case of Two Cities","Catherine Rohn","1"
"A Case of Two Cities","Peiqin","2"
"A Case of Two Cities","White Cloud","3"
"A Loyal Character Dancer","Catherine Rohn","4"
"A Loyal Character Dancer","Wen Liping","5"
"All the Flowers in Shanghai","Ma","6"
"All the Flowers in Shanghai","Madam Zhang","7"
"All the Flowers in Shanghai","Ming","8"
"All the Flowers in Shanghai","Sang Feng Feng (narrator)","9"
"All the Flowers in Shanghai","Sister","10"
"All the Flowers in Shanghai","Yan","11"
"All the Flowers in Shanghai","Yu","12"
"Becoming Madame Mao","Yunhe / Lan Ping / Nora","13"
"Blue Hunger","Xu","14"
"Blue Hunger","narrator, Ruben","15"
"Death of a Red Heroine","Guan Hongying","16"
"Death of a Red Heroine","Peiqin","17"
"Death of a Red Heroine","Wang Feng","18"
"Don't Cry Tai Lake","Mrs. Liu","19"
"Don't Cry Tai Lake","Peiqin","20"
"Dragon Springs Road","Anna Shea","21"
"Dragon Springs Road","Fox","22"
"Dragon Springs Road","Grandmother Yang","23"
"Dragon Springs Road","Leah","24"
"Dragon Springs Road","Miss Morris","25"
"Dragon Springs Road","Mrs. Hao","26"
"Dragon Springs Road","Ping Mei","27"
"Dragon Springs Road","Yang Anjuin","28"
"Dragon Springs Road","Zhu Jialing (narrator)","29"
"Dreams of Joy","Auntie Hu","30"
"Dreams of Joy","Joy Louie (narrator)","31"
"Dreams of Joy","May","32"
"Dreams of Joy","Pearl Chin (narrator)","33"
"Empire of the Sun","Mrs. Ballard","34"
"Empire of the Sun","Mrs. Vincent","35"
"Enigma of China","Lianping","36"
"Enigma of China","Peiqin","37"
"Five Star Billionaire","Leong Yinghui","38"
"Five Star Billionaire","Phoebe Chen Aiping","39"
"Five Star Billionaire","Yanyan","40"
"Five Star Billionaire","Zhou X","41"
"Half a Lifelong Romance","Ah Bao","42"
"Half a Lifelong Romance","Granny","43"
"Half a Lifelong Romance","Gu Manlu","44"
"Half a Lifelong Romance","Gu Manzhen","45"
"Half a Lifelong Romance","Mrs. Gu","46"
"Half a Lifelong Romance","Mrs. Hsu","47"
"Half a Lifelong Romance","Mrs. Shen","48"
"Half a Lifelong Romance","Shi Tsuizhi","49"
"Jack of Spies","Caitlin Hanley","50"
"My Favourite Wife","Alice Greene","51"
"My Favourite Wife","Becca Holden","52"
"My Favourite Wife","Holly Holden","53"
"My Favourite Wife","JinJin Li","54"
"My Favourite Wife","Nancy Deng","55"
"My Favourite Wife","Rosalita","56"
"My Favourite Wife","Tess Devlin","57"
"Night in Shanghai","Anya Petrova","58"
"Night in Shanghai","Song Yuhua","59"
"Peach Blossom Pavilion","Aunty Ah Ping","60"
"Peach Blossom Pavilion","Fang Rong","61"
"Peach Blossom Pavilion","Mother","62"
"Peach Blossom Pavilion","Pearl","63"
"Peach Blossom Pavilion","Spring Moon","64"
"Peach Blossom Pavilion","Xiang Xiang (narrator)","65"
"Rabbit Moon","Claire Litvak","66"
"Rabbit Moon","Grace Litvak (narrator)","67"
"Rabbit Moon","Lindsey Litvak","68"
"Rabbit Moon","Mei","69"
"Red Mandarin Dress","Jasmine / Tian Mo","70"
"Red Mandarin Dress","Mei","71"
"Red Mandarin Dress","Peiqin","72"
"Red Mandarin Dress","White Cloud","73"
"Shanghai","Florence Burke","74"
"Shanghai","Irina","75"
"Shanghai","Leah Auerbach","76"
"Shanghai Girls","Betsy Howell","77"
"Shanghai Girls","Mama Chin (Madame Chin)","78"
"Shanghai Girls","May Chin","79"
"Shanghai Girls","Pearl Chin (narrator)","80"
"Shanghai Immortal","Lady Gi (Gigi)","81"
"Shanghai Immortal","Lady Jing (Jing, Hu Xian Jing，narrator)","82"
"Shanghai Redemption","Peiqin","83"
"Shanghai Redemption","Qian","84"
"Shanghai Redemption","White Cloud (Bai)","85"
"Shanghailanders","Doroteia ""Teia""","86"
"Shanghailanders","Eko Yang","87"
"Shanghailanders","Kiko Yang","88"
"Shanghailanders","Yoko Yang","89"
"Shanghailanders","Yumi Yang","90"
"Song of the Exile","Sunny","91"
"Sour Heart","Mande (narrator)","92"
"The Binding Chair","Agnes","93"
"The Binding Chair","Alice Benjamin","94"
"The Binding Chair","Dolly Benjamin (nee Cohen)","95"
"The Binding Chair","Eleanor Clusburtson","96"
"The Binding Chair","May (Chao-tsing / May-li Cohen)","97"
"The Distant Land of My Father","Anna Schoene (Anna / Anna Shoen Bradley)","98"
"The Distant Land of My Father","Eve","99"
"The Far Side of the Sky","Clara Reuben","100"
"The Far Side of the Sky","Esther Adler","101"
"The Far Side of the Sky","Hannah Adler","102"
"The Far Side of the Sky","Jia-Li (Ko Jia-Li)","103"
"The Far Side of the Sky","Lotte Weczel","104"
"The Far Side of the Sky","Sunny Mah","105"
"The Library of Legends","Lian","106"
"The Library of Legends","Miss Hu","107"
"The Library of Legends","Mrs. Deng","108"
"The Library of Legends","Sparrow","109"
"The Mao Case","Jiao","110"
"The Mao Case","Peiqin","111"
"The Mao Case","Qian","112"
"The Map of Lost Memories","Anne Howard","113"
"The Map of Lost Memories","Irene Blum","114"
"The Map of Lost Memories","Simone Merlin","115"
"The Master of Rain","Irina Ignatiev","116"
"The Master of Rain","Lena Orlov","117"
"The Master of Rain","Natasha Medvedev","118"
"The Master of Rain","Penelope Donaldson","119"
"The Painter from Shanghai","Jinling","120"
"The Painter from Shanghai","Pan Yuliang (born Xiuqing)","121"
"The Risk Agent","Amy Xue","122"
