Character_ID,Character_Name,Mention_Text,Mention_Type,Category,Start_Token,End_Token
421,"a lovely girl , with whom he was going to have dim sum the next morning , and a week 's subsidy would probably cover the expense","a lovely girl , with whom he was going to have dim sum the next morning , and a week 's subsidy would probably cover the expense",NOM,PER,172,198
421,"a lovely girl , with whom he was going to have dim sum the next morning , and a week 's subsidy would probably cover the expense",her,PRON,PER,218,218
421,"a lovely girl , with whom he was going to have dim sum the next morning , and a week 's subsidy would probably cover the expense",her,PRON,PER,232,232
447,One of them,One of them,NOM,PER,603,605
447,One of them,her,PRON,PER,614,614
454,the night manager,the night manager,NOM,PER,689,691
184,Meimei,Meimei,PROP,PER,791,791
184,Meimei,She,PRON,PER,799,799
454,the night manager,me,PRON,PER,867,867
454,the night manager,the night manager,NOM,PER,920,922
465,a young girl,a young girl,NOM,PER,980,982
465,a young girl,her,PRON,PER,1007,1007
469,the girl,The girl,NOM,PER,1066,1067
469,the girl,her,PRON,PER,1076,1076
469,the girl,her,PRON,PER,1079,1079
469,the girl,the girl,NOM,PER,1204,1205
469,the girl,her,PRON,PER,1212,1212
469,the girl,she,PRON,PER,1215,1215
469,the girl,She,PRON,PER,1219,1219
469,the girl,her,PRON,PER,1228,1228
469,the girl,her,PRON,PER,1235,1235
469,the girl,she,PRON,PER,1272,1272
469,the girl,she,PRON,PER,1329,1329
469,the girl,she,PRON,PER,1333,1333
469,the girl,her,PRON,PER,1341,1341
469,the girl,I,PRON,PER,1349,1349
469,the girl,her,PRON,PER,1382,1382
469,the girl,the girl,NOM,PER,1638,1639
469,the girl,the girl,NOM,PER,1921,1922
469,the girl,She,PRON,PER,1930,1930
469,the girl,the girl,NOM,PER,2078,2079
508,Character_508,She,PRON,PER,2151,2151
508,Character_508,she,PRON,PER,2161,2161
508,Character_508,She,PRON,PER,2187,2187
508,Character_508,her,PRON,PER,2199,2199
469,the girl,the girl,NOM,PER,2217,2218
469,the girl,her,PRON,PER,2238,2238
469,the girl,the girl,NOM,PER,2331,2332
469,the girl,she,PRON,PER,2347,2347
542,the old woman,the old woman,NOM,PER,2783,2785
542,the old woman,her,PRON,PER,2792,2792
542,the old woman,I,PRON,PER,2797,2797
469,the girl,the girl,NOM,PER,3038,3039
469,the girl,her,PRON,PER,3052,3052
589,Character_589,she,PRON,PER,3902,3902
589,Character_589,her,PRON,PER,3914,3914
589,Character_589,she,PRON,PER,3965,3965
676,"A waitress , also in red - and- white - striped pajamas","A waitress , also in red - and- white - striped pajamas",NOM,PER,6725,6736
676,"A waitress , also in red - and- white - striped pajamas",her,PRON,PER,6742,6742
677,the waitress,The waitress,NOM,PER,6820,6821
677,the waitress,her,PRON,PER,6828,6828
465,a young girl,a young girl,NOM,PER,7112,7114
465,a young girl,her,PRON,PER,7117,7117
465,a young girl,her,PRON,PER,7127,7127
715,two massage girls,two massage girls,NOM,PER,7593,7595
715,two massage girls,they,PRON,PER,7616,7616
715,two massage girls,their,PRON,PER,7625,7625
715,two massage girls,She,PRON,PER,7662,7662
715,two massage girls,her,PRON,PER,7698,7698
715,two massage girls,her,PRON,PER,7705,7705
469,the girl,The girl,NOM,PER,7778,7779
469,the girl,herself,PRON,PER,7787,7787
469,the girl,she,PRON,PER,7793,7793
469,the girl,her,PRON,PER,7798,7798
469,the girl,her,PRON,PER,7808,7808
469,the girl,my,PRON,PER,7821,7821
469,the girl,she,PRON,PER,7826,7826
469,the girl,her,PRON,PER,7833,7833
469,the girl,her,PRON,PER,7839,7839
469,the girl,she,PRON,PER,7848,7848
469,the girl,her,PRON,PER,7857,7857
469,the girl,her,PRON,PER,7866,7866
469,the girl,her,PRON,PER,7874,7874
469,the girl,the girl,NOM,PER,8834,8835
469,the girl,her,PRON,PER,8840,8840
762,A massage girl,A massage girl,NOM,PER,8990,8992
762,A massage girl,her,PRON,PER,9007,9007
762,A massage girl,her,PRON,PER,9015,9015
762,A massage girl,her,PRON,PER,9021,9021
762,A massage girl,her,PRON,PER,9024,9024
762,A massage girl,her,PRON,PER,9028,9028
219,Peiqin,Peiqin,PROP,PER,10560,10560
219,Peiqin,She,PRON,PER,10569,10569
220,Old Geng,Old Geng,PROP,PER,10575,10576
219,Peiqin,Peiqin,PROP,PER,10594,10594
830,Character_830,she,PRON,PER,10605,10605
220,Old Geng,Old Geng,PROP,PER,10632,10633
220,Old Geng,Old Geng,PROP,PER,10654,10655
830,Character_830,her,PRON,PER,10659,10659
830,Character_830,she,PRON,PER,10671,10671
220,Old Geng,Old Geng,PROP,PER,10699,10700
904,his mother,his mother,NOM,PER,12613,12614
904,his mother,his mother,NOM,PER,12642,12643
904,his mother,herself,PRON,PER,12650,12650
904,his mother,her,PRON,PER,12660,12660
904,his mother,her,PRON,PER,12675,12675
542,the old woman,the old woman,NOM,PER,12695,12697
