book,author,name,role,word,count,logits,author_id,book_id,character_id
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,alarmed,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,approached,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,ask,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,associates,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,attended,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,began,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,call,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,charge,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,collaborate,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,compete,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,complained,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,contacted,2,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,cooperate,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,did,2,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,divorced,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,do,5,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,doing,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,eagled,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,failed,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,find,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,fixed,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,gave,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,had,2,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,has,5,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,have,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,help,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,helped,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,interviews,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,knew,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,know,3,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,knows,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,listened,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,lived,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,looked,2,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,made,4,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,met,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,missed,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,need,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,permitted,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,provided,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,published,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,put,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,received,3,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,recommended,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,reserved,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,respond,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,restored,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,return,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,said,9,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,say,2,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,seemed,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,sounded,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,spoke,1,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,started,3,0.0,17,0,0
A Case of Two Cities,QIU XIAOLONG,An Jiayi,agent,taken,1,0.0,17,0,0
