"character_id","book_id","author_id","booknlp_cha_id"
"0","0","24","[243, 244, 37, 80]"
"1","0","24","[232, 30]"
"2","0","24","[219, 30, 40, 1, 2]"
"3","0","24","[247, 20]"
"4","1","24","[189]"
"5","1","24","[190, 36, 38, 70]"
"6","2","8","[42, 4, 11]"
"7","2","8","[104, 119, 762, 23]"
"8","2","8","[75]"
"9","2","8","[0, 39, 43, 1276, 25]"
"10","2","8","[40]"
"11","2","8","[62]"
"12","2","8","[99, 19]"
"13","3","2","[0, 224, 237, 262, 288, 4, 77]"
"14","4","31","[73, 6, 7]"
"15","4","31","[0, 76, 5]"
"16","5","24","[332, 425, 15]"
"17","5","24","[342, 330, 11]"
"18","5","24","[285]"
"19","6","24","[117, 3, 7]"
"20","6","24","[102]"
"21","7","11","[176, 8, 1909, 9]"
"22","7","11","[138]"
"23","7","11","[143]"
"24","7","11","[198, 11, 20]"
"25","7","11","[189]"
"26","7","11","[152]"
"27","7","11","[266]"
"28","7","11","[144, 6084, 13, 25]"
"29","7","11","[0, 145, 139, 157, 147, 306, 1908, 7, 1920, 19]"
"30","8","19","[302, 299, 60, 1937]"
"31","8","19","[206, 372, 188, 383, 1957, 8, 19, 1960, 22]"
"32","8","19","[196, 289, 1957, 38, 41, 1960, 1958]"
"33","8","19","[190, 194, 308, 342, 3, 1949, 1957, 41, 44, 1960]"
"34","9","10","[534, 30, 40]"
"35","9","10","[382, 30]"
"36","10","25","[169, 458, 20, 95]"
"37","10","25","[188, 40, 95]"
"38","11","28","[305]"
"39","11","28","[258, 396, 22, 23]"
"40","11","28","[322]"
"41","11","28","[281]"
"42","12","9","[98]"
"43","12","9","[102, 127]"
"44","12","9","[94, 96]"
"45","12","9","[171, 240, 113, 657]"
"46","12","9","[103, 97]"
"47","12","9","[120, 490]"
"48","12","9","[125, 380]"
"49","12","9","[129, 137]"
"50","13","7","[-1]"
"51","14","30","[333]"
"52","14","30","[264, 269, 273]"
"53","14","30","[262, 4635, 1296, 5980]"
"54","14","30","[406, 405]"
"55","14","30","[304, 431]"
"56","14","30","[371]"
"57","14","30","[321, 322]"
"58","15","23","[413]"
"59","15","23","[296, 480, 475, 474, 363, 1936]"
"60","16","21","[134]"
"61","16","21","[123, 193]"
"62","16","21","[119, 2145, 4124]"
"63","16","21","[147, 256, 225, 374, 196, 143, 142]"
"64","16","21","[161]"
"65","16","21","[0, 121, 146, 215, 1821, 13, 98]"
"66","17","13","[216, 258, 2066]"
"67","17","13","[0, 199]"
"68","17","13","[200, 225, 344, 351, 2016, 183]"
"69","17","13","[340, 3405]"
"70","18","25","[177, 175]"
"71","18","25","[334]"
"72","18","25","[194]"
"73","18","25","[197]"
"74","19","22","[245]"
"75","19","22","[304]"
"76","19","22","[227, 490, 300]"
"77","20","19","[371, 4936, 20, 40]"
"78","20","19","[271, 517, 38, 1937]"
"79","20","19","[276, 800, 18, 1937, 14]"
"80","20","19","[0, 278, 312, 449, 21, 1937, 30]"
"81","21","0","[283, 166, 3284]"
"82","21","0","[0, 110, 133, 143, 1937, 99, 100]"
"83","22","24","[234]"
"84","22","24","[186]"
"85","22","24","[192]"
"86","23","22","[345, 2894, 655, 674, 2020, 2, 14, 7]"
"87","23","22","[149, 177, 181, 296, 2014, 26, 2040, 52]"
"88","23","22","[212, 257, 235, 332, 2028, 5, 2040, 17]"
"89","23","22","[145, 612, 2028, 8, 2040, 20, 14]"
"90","23","22","[146, 319, 2028, 10, 2040, 22]"
"91","24","17","[-1]"
"92","25","14","[0, 187, 327]"
"93","26","15","[502, 24, 1919]"
"94","26","15","[197, 305, 12, 25]"
"95","26","15","[200, 388, 197, 199, 198, 4566]"
"96","26","15","[354, 276, 40]"
"97","26","15","[190, 216, 191, 5, 50, 1927]"
"98","27","3","[418, 689, 7, 1938, 15, 6, 1937, 1961, 30]"
"99","27","3","[422, 421, 1932, 1946, 1955, 44]"
"100","28","6","[455, 1880, 50]"
"101","28","6","[423, 241, 557, 1938, 32, 36, 1942]"
"102","28","6","[242, 252, 1284, 8, 1938, 12, 1942]"
"103","28","6","[360, 4017, 24, 1938]"
"104","28","6","[457, 30]"
"105","28","6","[336, 385, 24, 1938, 28, 1942]"
"106","29","11","[185, 19]"
"107","29","11","[243, 1763, 40]"
"108","29","11","[337]"
"109","29","11","[191, 226, 1723, 6344]"
"110","30","24","[146, 307]"
"111","30","24","[201]"
"112","30","24","[145]"
"113","31","16","[224]"
"114","31","16","[409]"
"115","31","16","[221, 357]"
"116","32","29","[363, 1899, 1926, 27]"
"117","32","29","[211, 218]"
"118","32","29","[220, 219, 410, 1922, 1926]"
"119","32","29","[265]"
"120","33","12","[265, 1913, 14, 22, 24, 1916, 25, 27]"
"121","33","12","[372, 213, 1149, 247, 260, 4334, 477, 1913, 1957, 1937]"
"122","34","26","[392, 452]"
"123","34","26","[338, 257, 308]"
"124","35","4","[161]"
"125","36","27","[238, 588, 1938]"
"126","36","27","[351, 1922, 5, 1938, 16, 1939, 17]"
