n_personas,persona,role,rank,word,weight
15,0,agent,1,said,1.226678729057312
15,0,agent,2,had,0.8124783039093018
15,0,agent,3,looked,0.7144858837127686
15,0,agent,4,asked,0.7113815546035767
15,0,agent,5,thought,0.6215459704399109
15,0,agent,6,know,0.6038488149642944
15,0,agent,7,have,0.5910326242446899
15,0,agent,8,felt,0.5908405184745789
15,0,agent,9,saw,0.5706804990768433
15,0,agent,10,came,0.5457624793052673
15,0,agent,11,want,0.5403624773025513
15,0,agent,12,sat,0.5086421966552734
15,0,agent,13,see,0.47371357679367065
15,0,agent,14,wanted,0.4679092466831207
15,0,agent,15,put,0.4580766260623932
15,0,agent,16,think,0.44331297278404236
15,0,agent,17,say,0.4373127222061157
15,0,agent,18,left,0.4295767843723297
15,0,agent,19,got,0.41655850410461426
15,0,agent,20,go,0.40229758620262146
15,0,agent,21,feel,0.3892160654067993
15,0,agent,22,get,0.3778741955757141
15,0,agent,23,come,0.3634302020072937
15,0,agent,24,tell,0.36054521799087524
15,0,agent,25,do,0.3474929928779602
15,0,agent,26,stood,0.34743884205818176
15,0,agent,27,going,0.3304238021373749
15,0,agent,28,like,0.3139825463294983
15,0,agent,29,remember,0.30977606773376465
15,0,agent,30,let,0.2942981421947479
15,0,agent,31,look,0.277868390083313
15,0,agent,32,take,0.27093926072120667
15,0,agent,33,make,0.26713815331459045
15,0,agent,34,need,0.25372689962387085
15,0,agent,35,read,0.24593855440616608
15,0,agent,36,hear,0.23468472063541412
15,0,agent,37,ask,0.23354266583919525
15,0,agent,38,help,0.22552244365215302
15,0,agent,39,understand,0.22098524868488312
15,0,agent,40,spoke,0.18739555776119232
15,0,agent,41,stop,0.18488067388534546
15,0,agent,42,become,0.1771967113018036
15,0,agent,43,find,0.176405131816864
15,0,agent,44,arrived,0.17198890447616577
15,0,agent,45,mean,0.1656929850578308
15,0,agent,46,sitting,0.16487327218055725
15,0,agent,47,try,0.1617523431777954
15,0,agent,48,lay,0.1577461063861847
15,0,agent,49,thinking,0.14308355748653412
15,0,agent,50,give,0.1260826289653778
15,0,patient,1,tell,0.7981600761413574
15,0,patient,2,see,0.7899042963981628
15,0,patient,3,asked,0.6692910194396973
15,0,patient,4,take,0.5609928369522095
15,0,patient,5,saw,0.5581698417663574
15,0,patient,6,help,0.5250025391578674
15,0,patient,7,ask,0.4928041398525238
15,0,patient,8,thank,0.48421621322631836
15,0,patient,9,left,0.44682034850120544
15,0,patient,10,get,0.44463902711868286
15,0,patient,11,put,0.4349742531776428
15,0,patient,12,love,0.4233417510986328
15,0,patient,13,find,0.4188152849674225
15,0,patient,14,keep,0.3885626494884491
15,0,patient,15,know,0.38355669379234314
15,0,patient,16,call,0.3573759198188782
15,0,patient,17,gone,0.3381552994251251
15,0,patient,18,watching,0.3282461166381836
15,0,patient,19,hurt,0.3134761452674866
15,0,patient,20,meet,0.2969282269477844
15,0,patient,21,bring,0.29373040795326233
15,0,patient,22,married,0.28111153841018677
15,0,patient,23,leave,0.2768428325653076
15,0,patient,24,asking,0.2586158812046051
15,0,patient,25,let,0.22919614613056183
15,0,patient,26,leaving,0.21572451293468475
15,0,patient,27,stop,0.20275698602199554
15,0,patient,28,kiss,0.18789029121398926
15,0,patient,29,touch,0.1666816920042038
15,0,patient,30,visit,0.16190779209136963
15,0,patient,31,hear,0.15891626477241516
15,0,patient,32,join,0.15192098915576935
15,0,patient,33,hold,0.1462578922510147
15,0,patient,34,believe,0.14615634083747864
15,0,patient,35,remind,0.1398237943649292
15,0,patient,36,pull,0.1378680020570755
15,0,patient,37,throw,0.10520927608013153
15,0,patient,38,show,0.10516572743654251
15,0,patient,39,kill,0.1020270437002182
15,0,patient,40,have,0.10064566880464554
15,0,patient,41,got,0.09556779265403748
15,0,patient,42,like,0.09193699806928635
15,0,patient,43,want,0.08901473134756088
15,0,patient,44,protect,0.08892911672592163
15,0,patient,45,marry,0.08821066468954086
15,0,patient,46,force,0.08782152831554413
15,0,patient,47,give,0.08650138229131699
15,0,patient,48,frightened,0.08366255462169647
15,0,patient,49,miss,0.08346395939588547
15,0,patient,50,remember,0.08096501231193542
15,0,possessive,1,head,0.890737771987915
15,0,possessive,2,face,0.8500298857688904
15,0,possessive,3,mother,0.820900559425354
15,0,possessive,4,hand,0.7650101780891418
15,0,possessive,5,hair,0.7047971487045288
15,0,possessive,6,voice,0.6772980690002441
15,0,possessive,7,life,0.6721030473709106
15,0,possessive,8,husband,0.6412572860717773
15,0,possessive,9,father,0.5967276692390442
15,0,possessive,10,mind,0.5775096416473389
15,0,possessive,11,body,0.5641322731971741
15,0,possessive,12,sister,0.5539975166320801
15,0,possessive,13,room,0.52931809425354
15,0,possessive,14,mouth,0.5280424356460571
15,0,possessive,15,daughter,0.5241003632545471
15,0,possessive,16,way,0.5052407383918762
15,0,possessive,17,heart,0.5036182999610901
15,0,possessive,18,family,0.4915049970149994
15,0,possessive,19,arm,0.4358225166797638
15,0,possessive,20,skin,0.424490362405777
15,0,possessive,21,neck,0.42233192920684814
15,0,possessive,22,son,0.40443530678749084
15,0,possessive,23,name,0.40386030077934265
15,0,possessive,24,bed,0.3921838104724884
15,0,possessive,25,shoulder,0.38135695457458496
15,0,possessive,26,aunt,0.3728472590446472
15,0,possessive,27,own,0.3682657778263092
15,0,possessive,28,brother,0.36495116353034973
15,0,possessive,29,phone,0.353790283203125
15,0,possessive,30,friend,0.35270005464553833
15,0,possessive,31,apartment,0.35137537121772766
15,0,possessive,32,throat,0.34947726130485535
15,0,possessive,33,grandmother,0.34914201498031616
15,0,possessive,34,death,0.3390669822692871
15,0,possessive,35,chest,0.33428505063056946
15,0,possessive,36,cheek,0.3220931589603424
15,0,possessive,37,side,0.3132390081882477
15,0,possessive,38,uncle,0.3060816526412964
15,0,possessive,39,back,0.2979529798030853
15,0,possessive,40,mom,0.2913835048675537
15,0,possessive,41,gaze,0.28418540954589844
15,0,possessive,42,house,0.27874159812927246
15,0,possessive,43,stomach,0.2528045177459717
15,0,possessive,44,home,0.2483268827199936
15,0,possessive,45,dad,0.2468336671590805
15,0,possessive,46,time,0.24465906620025635
15,0,possessive,47,forehead,0.24232688546180725
15,0,possessive,48,dress,0.2422437220811844
15,0,possessive,49,work,0.24115121364593506
15,0,possessive,50,breath,0.2379905730485916
15,0,predicative,1,sure,0.6674836277961731
15,0,predicative,2,right,0.5038419365882874
15,0,predicative,3,happy,0.4694781005382538
15,0,predicative,4,sorry,0.4531415104866028
15,0,predicative,5,girl,0.45012718439102173
15,0,predicative,6,afraid,0.4069245755672455
15,0,predicative,7,old,0.38394662737846375
15,0,predicative,8,tired,0.33243730664253235
15,0,predicative,9,busy,0.3185819983482361
15,0,predicative,10,woman,0.3141685724258423
15,0,predicative,11,beautiful,0.300009548664093
15,0,predicative,12,ready,0.2891567349433899
15,0,predicative,13,good,0.27722036838531494
15,0,predicative,14,person,0.26069241762161255
15,0,predicative,15,child,0.256400465965271
15,0,predicative,16,dead,0.22176629304885864
15,0,predicative,17,fine,0.22155219316482544
15,0,predicative,18,man,0.2143416702747345
