model,persona,role,rank,word,weight
P8,0,agent,1,cop,0.9402063488960266
P8,0,agent,2,core,0.8853581547737122
P8,0,agent,3,contribution,0.7842569351196289
P8,0,agent,4,correspondence,0.769548237323761
P8,0,agent,5,contribute,0.679591715335846
P8,0,agent,6,commitment,0.628896951675415
P8,0,agent,7,corrupt,0.6219430565834045
P8,0,agent,8,convince,0.5723035931587219
P8,0,agent,9,confession,0.570242702960968
P8,0,agent,10,come,0.5673707127571106
P8,0,agent,11,commotion,0.5312253832817078
P8,0,agent,12,backache,0.5104945302009583
P8,0,agent,13,cave,0.5078240036964417
P8,0,agent,14,afecte,0.4895583689212799
P8,0,agent,15,collect,0.4809277057647705
P8,0,agent,16,belief,0.4769316613674164
P8,0,agent,17,compartment,0.47338488698005676
P8,0,agent,18,computer,0.45427289605140686
P8,0,agent,19,cappuccino,0.44756659865379333
P8,0,agent,20,contemplate,0.44228485226631165
P8,0,agent,21,copper,0.4415241479873657
P8,0,agent,22,chomp,0.4381651282310486
P8,0,agent,23,consciousness,0.43168482184410095
P8,0,agent,24,coolie,0.4300622344017029
P8,0,agent,25,bowl,0.40523576736450195
P8,0,agent,26,clever,0.4012831449508667
P8,0,agent,27,bemoan,0.3952411115169525
P8,0,agent,28,button,0.3945412039756775
P8,0,agent,29,blend,0.3878604471683502
P8,0,agent,30,compel,0.3770049810409546
P8,0,agent,31,consider,0.36683452129364014
P8,0,agent,32,constitution,0.35916852951049805
P8,0,agent,33,captain,0.35158947110176086
P8,0,agent,34,breaststroke,0.3416332006454468
P8,0,agent,35,came,0.34048235416412354
P8,0,agent,36,correct,0.3367754817008972
P8,0,agent,37,appetite,0.335534006357193
P8,0,agent,38,compile,0.33479946851730347
P8,0,agent,39,clutch,0.33145174384117126
P8,0,agent,40,champagne,0.3306911289691925
P8,0,agent,41,complain,0.3294699490070343
P8,0,agent,42,bloodstream,0.32735368609428406
P8,0,agent,43,bell,0.32681453227996826
P8,0,agent,44,conciliatory,0.32592475414276123
P8,0,agent,45,care,0.32022830843925476
P8,0,agent,46,compliment,0.31274837255477905
P8,0,agent,47,break,0.31013938784599304
P8,0,agent,48,american,0.30423372983932495
P8,0,agent,49,candy,0.3002113103866577
P8,0,agent,50,captivity,0.29473620653152466
P8,0,patient,1,core,0.9064245820045471
P8,0,patient,2,copper,0.872735321521759
P8,0,patient,3,contribute,0.757037341594696
P8,0,patient,4,convince,0.7187957763671875
P8,0,patient,5,cop,0.7016527652740479
P8,0,patient,6,contribution,0.6557546257972717
P8,0,patient,7,conscience,0.5512848496437073
P8,0,patient,8,coolie,0.5183668732643127
P8,0,patient,9,companion,0.4626586139202118
P8,0,patient,10,cook,0.45902949571609497
P8,0,patient,11,confront,0.45054003596305847
P8,0,patient,12,comb,0.44329774379730225
P8,0,patient,13,compliment,0.4140462875366211
P8,0,patient,14,commotion,0.4008258581161499
P8,0,patient,15,convert,0.3948429226875305
P8,0,patient,16,confused,0.3932543396949768
P8,0,patient,17,captivity,0.380044162273407
P8,0,patient,18,confuse,0.37675145268440247
P8,0,patient,19,contain,0.35887572169303894
P8,0,patient,20,come,0.3556400239467621
P8,0,patient,21,consolidate,0.34935513138771057
P8,0,patient,22,constitution,0.3409649729728699
P8,0,patient,23,coat,0.33310121297836304
P8,0,patient,24,cave,0.3275754153728485
P8,0,patient,25,correct,0.3231525719165802
P8,0,patient,26,content,0.3161057233810425
P8,0,patient,27,commit,0.2802664041519165
P8,0,patient,28,circulation,0.2542930841445923
P8,0,patient,29,cleanse,0.2542441785335541
P8,0,patient,30,consult,0.23162050545215607
P8,0,patient,31,complexity,0.22277405858039856
P8,0,patient,32,cling,0.22244426608085632
P8,0,patient,33,collar,0.22019466757774353
P8,0,patient,34,bring,0.21964535117149353
P8,0,patient,35,comrade,0.21748435497283936
P8,0,patient,36,collapse,0.2115132063627243
P8,0,patient,37,call,0.20740126073360443
P8,0,patient,38,converse,0.20682582259178162
P8,0,patient,39,computer,0.2015724778175354
P8,0,patient,40,convalescence,0.20138075947761536
P8,0,patient,41,compare,0.20051908493041992
P8,0,patient,42,commend,0.1960582435131073
P8,0,patient,43,confusion,0.1913215070962906
P8,0,patient,44,chick,0.19068986177444458
P8,0,patient,45,confirm,0.18900595605373383
P8,0,patient,46,clamp,0.18885503709316254
P8,0,patient,47,contrive,0.1885308027267456
P8,0,patient,48,cola,0.1873159259557724
P8,0,patient,49,conceal,0.1863410919904709
P8,0,patient,50,checklist,0.18549314141273499
P8,1,agent,1,convenience,1.3134359121322632
P8,1,agent,2,cooking,1.0009828805923462
P8,1,agent,3,copybook,0.5921408534049988
P8,1,agent,4,charge,0.5218610167503357
P8,1,agent,5,concerned,0.5045877695083618
P8,1,agent,6,copper,0.4399515390396118
P8,1,agent,7,contain,0.4351766109466553
P8,1,agent,8,announce,0.41665107011795044
P8,1,agent,9,become,0.398557186126709
P8,1,agent,10,click,0.3876025676727295
P8,1,agent,11,conﬁdence,0.36690977215766907
P8,1,agent,12,congratulation,0.32185599207878113
P8,1,agent,13,conﬁrme,0.3116331696510315
P8,1,agent,14,abduct,0.30322039127349854
P8,1,agent,15,consist,0.28728190064430237
P8,1,agent,16,clutch,0.28117644786834717
P8,1,agent,17,conversation,0.2800482213497162
P8,1,agent,18,content,0.27081406116485596
P8,1,agent,19,connection,0.26312097907066345
P8,1,agent,20,consultant,0.26144522428512573
P8,1,agent,21,competence,0.25083768367767334
P8,1,agent,22,corrupt,0.24911262094974518
P8,1,agent,23,company,0.24861004948616028
P8,1,agent,24,clue,0.2445364147424698
P8,1,agent,25,confound,0.23563288152217865
P8,1,agent,26,corner,0.23360036313533783
P8,1,agent,27,attach,0.23011651635169983
P8,1,agent,28,conﬁde,0.22208693623542786
P8,1,agent,29,copy,0.21661214530467987
P8,1,agent,30,attraction,0.20815053582191467
P8,1,agent,31,confer,0.2058027684688568
P8,1,agent,32,concede,0.2025867998600006
P8,1,agent,33,conscience,0.1998337358236313
P8,1,agent,34,communiqué,0.19958993792533875
P8,1,agent,35,butt,0.19433394074440002
P8,1,agent,36,conserve,0.19299376010894775
P8,1,agent,37,console,0.18518474698066711
P8,1,agent,38,compose,0.18271364271640778
P8,1,agent,39,contribute,0.1822424978017807
P8,1,agent,40,black,0.17494407296180725
P8,1,agent,41,bundle,0.1745341569185257
P8,1,agent,42,convalescence,0.16812345385551453
P8,1,agent,43,commit,0.1664862036705017
P8,1,agent,44,conceal,0.1653852015733719
P8,1,agent,45,clink,0.16362187266349792
P8,1,agent,46,client,0.16308078169822693
P8,1,agent,47,compromise,0.15743690729141235
P8,1,agent,48,calf,0.15639077126979828
P8,1,agent,49,begging,0.1539483517408371
P8,1,agent,50,concentration,0.15324819087982178
P8,1,patient,1,copper,0.4679919481277466
P8,1,patient,2,cooking,0.4578309655189514
P8,1,patient,3,corner,0.40745681524276733
P8,1,patient,4,convenience,0.3313177525997162
P8,1,patient,5,coddle,0.3085831105709076
P8,1,patient,6,conscience,0.30780884623527527
P8,1,patient,7,connection,0.2944130301475525
P8,1,patient,8,convince,0.27458566427230835
P8,1,patient,9,contribute,0.25959110260009766
P8,1,patient,10,concerned,0.2515314519405365
P8,1,patient,11,conserve,0.23814161121845245
P8,1,patient,12,copy,0.2111702859401703
P8,1,patient,13,conﬁde,0.18791775405406952
P8,1,patient,14,commit,0.1701212376356125
P8,1,patient,15,content,0.16746117174625397
P8,1,patient,16,correct,0.16664573550224304
P8,1,patient,17,cappuccino,0.1620521992444992
P8,1,patient,18,clutch,0.1594444066286087
P8,1,patient,19,balk,0.1549803763628006
P8,1,patient,20,cook,0.14480489492416382
P8,1,patient,21,comrade,0.13736234605312347
P8,1,patient,22,clothe,0.1357988864183426
P8,1,patient,23,clue,0.13530999422073364
P8,1,patient,24,confer,0.13443036377429962
P8,1,patient,25,choke,0.12880665063858032
P8,1,patient,26,come,0.12634481489658356
P8,1,patient,27,companion,0.12552742660045624
P8,1,patient,28,conﬁrme,0.12517555058002472
P8,1,patient,29,assault,0.1189253106713295
P8,1,patient,30,coolie,0.1134260967373848
P8,1,patient,31,brain,0.10681497305631638
P8,1,patient,32,clamor,0.09950675815343857
P8,1,patient,33,confirm,0.09847525507211685
P8,1,patient,34,conversation,0.09694232791662216
P8,1,patient,35,contain,0.09613782912492752
P8,1,patient,36,commodity,0.09352809190750122
P8,1,patient,37,champagne,0.09147485345602036
P8,1,patient,38,communiqué,0.08445868641138077
P8,1,patient,39,contemporary,0.08316975086927414
P8,1,patient,40,bribe,0.08282232284545898
P8,1,patient,41,captivity,0.07816021889448166
P8,1,patient,42,convalescence,0.07584987580776215
P8,1,patient,43,chineseness,0.07533928006887436
P8,1,patient,44,constitution,0.07513327896595001
P8,1,patient,45,arena,0.0712084174156189
P8,1,patient,46,coerce,0.07011302560567856
P8,1,patient,47,butt,0.06848133355379105
P8,1,patient,48,collide,0.06780604273080826
P8,1,patient,49,concentration,0.0659802034497261
P8,1,patient,50,company,0.06394892930984497
P8,2,agent,1,copper,0.17930187284946442
P8,2,agent,2,correct,0.1781732589006424
P8,2,agent,3,corrupt,0.13866668939590454
P8,2,agent,4,conﬁde,0.11211290955543518
P8,2,agent,5,contain,0.10688631981611252
P8,2,agent,6,cop,0.09481243789196014
P8,2,agent,7,copy,0.09450485557317734
P8,2,agent,8,conﬁrme,0.09012119472026825
P8,2,agent,9,confront,0.08240523189306259
P8,2,agent,10,cordone,0.0764734148979187
P8,2,agent,11,content,0.07449101656675339
P8,2,agent,12,contemporary,0.061094433069229126
P8,2,agent,13,conﬁne,0.05484548956155777
P8,2,agent,14,consider,0.04936898499727249
P8,2,agent,15,clutch,0.04210195690393448
P8,2,agent,16,calm,0.040284413844347
P8,2,agent,17,colleague,0.040020719170570374
P8,2,agent,18,clothe,0.03556324914097786
P8,2,agent,19,connection,0.03348245099186897
P8,2,agent,20,cope,0.03246920555830002
P8,2,agent,21,consolidate,0.030141297727823257
P8,2,agent,22,contribute,0.029825856909155846
P8,2,agent,23,candy,0.02948272041976452
P8,2,agent,24,comb,0.02896890416741371
P8,2,agent,25,coolie,0.025259271264076233
P8,2,agent,26,conciliatory,0.023852167651057243
P8,2,agent,27,consultant,0.023538297042250633
P8,2,agent,28,commend,0.023110315203666687
P8,2,agent,29,concentrate,0.021298479288816452
P8,2,agent,30,convince,0.02129620872437954
P8,2,agent,31,captivity,0.02014346793293953
P8,2,agent,32,congratulate,0.019730372354388237
P8,2,agent,33,calf,0.018020061776041985
P8,2,agent,34,contribution,0.017769530415534973
P8,2,agent,35,conversation,0.017436223104596138
P8,2,agent,36,afecte,0.017166823148727417
P8,2,agent,37,compel,0.017119839787483215
P8,2,agent,38,cappuccino,0.016702020540833473
P8,2,agent,39,contraction,0.01629212684929371
P8,2,agent,40,conscience,0.014957153238356113
P8,2,agent,41,backache,0.014851822517812252
P8,2,agent,42,contradict,0.01458199042826891
P8,2,agent,43,connect,0.014492994174361229
P8,2,agent,44,cooking,0.014266270212829113
P8,2,agent,45,breaststroke,0.013809301890432835
P8,2,agent,46,confide,0.013754761777818203
P8,2,agent,47,chemise,0.013547450304031372
P8,2,agent,48,concentration,0.012888229452073574
P8,2,agent,49,collide,0.012254624627530575
P8,2,agent,50,clutched,0.012233861722052097
P8,2,patient,1,copper,0.1614799201488495
P8,2,patient,2,corner,0.12407783418893814
P8,2,patient,3,corrupt,0.11916506290435791
P8,2,patient,4,correct,0.10415925085544586
P8,2,patient,5,cop,0.04377999156713486
P8,2,patient,6,cook,0.03348911181092262
P8,2,patient,7,convince,0.03272819519042969
P8,2,patient,8,contribute,0.032327041029930115
P8,2,patient,9,conﬁne,0.02887164242565632
P8,2,patient,10,coolie,0.02795305661857128
P8,2,patient,11,cordone,0.027939114719629288
P8,2,patient,12,content,0.026489712297916412
P8,2,patient,13,core,0.0253384280949831
P8,2,patient,14,contribution,0.022227264940738678
P8,2,patient,15,captivity,0.022015027701854706
P8,2,patient,16,confusion,0.021976590156555176
P8,2,patient,17,convert,0.021929927170276642
P8,2,patient,18,conscience,0.021730560809373856
P8,2,patient,19,connection,0.019994933158159256
P8,2,patient,20,copy,0.01811821199953556
P8,2,patient,21,contain,0.015195305459201336
P8,2,patient,22,commit,0.01477296743541956
P8,2,patient,23,companion,0.013546809554100037
P8,2,patient,24,confront,0.012609572149813175
P8,2,patient,25,cappuccino,0.011648401618003845
P8,2,patient,26,consolidate,0.01109018549323082
P8,2,patient,27,conﬁrme,0.008515416644513607
P8,2,patient,28,clothe,0.00818707887083292
P8,2,patient,29,come,0.0074114189483225346
P8,2,patient,30,boom,0.007332540117204189
P8,2,patient,31,confuse,0.006764616817235947
P8,2,patient,32,conceal,0.006690511014312506
P8,2,patient,33,bound,0.006464170757681131
P8,2,patient,34,computer,0.0062950081191957
P8,2,patient,35,comb,0.006060120649635792
P8,2,patient,36,bottle,0.005919841583818197
P8,2,patient,37,awe,0.005747661925852299
P8,2,patient,38,coerce,0.005740095395594835
P8,2,patient,39,clipboard,0.005680976435542107
P8,2,patient,40,chick,0.005676260218024254
P8,2,patient,41,complex,0.0056559257209300995
P8,2,patient,42,comrade,0.005577503237873316
P8,2,patient,43,confirm,0.0047770533710718155
P8,2,patient,44,compliment,0.004421858582645655
P8,2,patient,45,coolness,0.004392137750983238
P8,2,patient,46,cooking,0.0043589393608272076
P8,2,patient,47,clamor,0.0042888568714261055
P8,2,patient,48,commotion,0.004287043120712042
P8,2,patient,49,confused,0.004203374031931162
P8,2,patient,50,conserve,0.003954835701733828
P8,3,agent,1,control,0.561751663684845
P8,3,agent,2,core,0.5183064937591553
P8,3,agent,3,connoisseur,0.507340133190155
P8,3,agent,4,collide,0.470741331577301
P8,3,agent,5,correct,0.44885480403900146
P8,3,agent,6,copper,0.3965342938899994
P8,3,agent,7,consolidate,0.31725990772247314
P8,3,agent,8,coin,0.2895388603210449
P8,3,agent,9,cordone,0.28196239471435547
P8,3,agent,10,conﬁrme,0.26890435814857483
P8,3,agent,11,content,0.267861932516098
P8,3,agent,12,contemporary,0.2547348737716675
P8,3,agent,13,cope,0.2524642050266266
P8,3,agent,14,commend,0.24760185182094574
P8,3,agent,15,bunkmate,0.2444644570350647
P8,3,agent,16,convert,0.24169455468654633
P8,3,agent,17,coloring,0.22847412526607513
P8,3,agent,18,contradict,0.22724348306655884
P8,3,agent,19,church,0.22576206922531128
P8,3,agent,20,chair,0.21539828181266785
P8,3,agent,21,cop,0.2085658758878708
P8,3,agent,22,calf,0.20253127813339233
P8,3,agent,23,consider,0.20207244157791138
P8,3,agent,24,corrupt,0.20184914767742157
P8,3,agent,25,contradiction,0.2011786252260208
P8,3,agent,26,compile,0.1974058747291565
P8,3,agent,27,comb,0.19456735253334045
P8,3,agent,28,congratulation,0.18216396868228912
P8,3,agent,29,compel,0.17899540066719055
P8,3,agent,30,contain,0.17566440999507904
P8,3,agent,31,chuckle,0.16049295663833618
P8,3,agent,32,confide,0.15682315826416016
P8,3,agent,33,cavern,0.15577994287014008
P8,3,agent,34,building,0.153506338596344
P8,3,agent,35,ass,0.15095457434654236
P8,3,agent,36,conﬁne,0.15043722093105316
P8,3,agent,37,afecte,0.14882975816726685
P8,3,agent,38,correspondence,0.14790795743465424
P8,3,agent,39,convince,0.14427949488162994
P8,3,agent,40,contribute,0.14310461282730103
P8,3,agent,41,contribution,0.14276325702667236
P8,3,agent,42,clutch,0.14214029908180237
P8,3,agent,43,cappuccino,0.13734351098537445
P8,3,agent,44,cleaver,0.13400396704673767
P8,3,agent,45,command,0.13110637664794922
P8,3,agent,46,clutched,0.12486816197633743
P8,3,agent,47,confront,0.12064680457115173
P8,3,agent,48,backwards,0.11886508017778397
P8,3,agent,49,captivity,0.11798025667667389
P8,3,agent,50,break,0.11767642945051193
P8,3,patient,1,copper,0.45008715987205505
P8,3,patient,2,corner,0.41374439001083374
P8,3,patient,3,copy,0.3040064573287964
P8,3,patient,4,cop,0.3018907904624939
P8,3,patient,5,core,0.282293438911438
P8,3,patient,6,correct,0.269878089427948
P8,3,patient,7,conﬁne,0.2323947250843048
P8,3,patient,8,contribute,0.20412185788154602
P8,3,patient,9,convince,0.19842830300331116
P8,3,patient,10,content,0.19251033663749695
P8,3,patient,11,contribution,0.1907370239496231
P8,3,patient,12,confusion,0.18830332159996033
P8,3,patient,13,coolie,0.18764932453632355
P8,3,patient,14,conﬁrme,0.18006817996501923
P8,3,patient,15,channel,0.17681081593036652
P8,3,patient,16,cook,0.17652301490306854
P8,3,patient,17,convert,0.1515110433101654
P8,3,patient,18,confused,0.15009179711341858
P8,3,patient,19,conscience,0.1441248506307602
P8,3,patient,20,compliment,0.14253276586532593
P8,3,patient,21,corrupt,0.14140105247497559
P8,3,patient,22,cordone,0.13838499784469604
P8,3,patient,23,consolidate,0.11609575152397156
P8,3,patient,24,contain,0.11413051187992096
P8,3,patient,25,confront,0.11388346552848816
P8,3,patient,26,correspondence,0.11134975403547287
P8,3,patient,27,church,0.10143768042325974
P8,3,patient,28,awe,0.09834194928407669
P8,3,patient,29,control,0.0966225415468216
P8,3,patient,30,connection,0.09059152752161026
P8,3,patient,31,cope,0.08965267986059189
P8,3,patient,32,commit,0.08544555306434631
P8,3,patient,33,comrade,0.08488161861896515
P8,3,patient,34,contradiction,0.08481022715568542
P8,3,patient,35,check,0.081730417907238
P8,3,patient,36,computer,0.08010455220937729
P8,3,patient,37,bridegroom,0.07759718596935272
P8,3,patient,38,color,0.07529035955667496
