model,persona,role,rank,word,weight
cvae_P13_L1e-06,0,agent,1,said,1.2178897857666016
cvae_P13_L1e-06,0,agent,2,had,0.7677334547042847
cvae_P13_L1e-06,0,agent,3,looked,0.7262149453163147
cvae_P13_L1e-06,0,agent,4,asked,0.712371289730072
cvae_P13_L1e-06,0,agent,5,know,0.6698743104934692
cvae_P13_L1e-06,0,agent,6,thought,0.6482524871826172
cvae_P13_L1e-06,0,agent,7,felt,0.6231057047843933
cvae_P13_L1e-06,0,agent,8,have,0.6095197796821594
cvae_P13_L1e-06,0,agent,9,saw,0.5872939229011536
cvae_P13_L1e-06,0,agent,10,wanted,0.5347767472267151
cvae_P13_L1e-06,0,agent,11,see,0.5313817858695984
cvae_P13_L1e-06,0,agent,12,think,0.5246952176094055
cvae_P13_L1e-06,0,agent,13,came,0.5168465375900269
cvae_P13_L1e-06,0,agent,14,sat,0.48874545097351074
cvae_P13_L1e-06,0,agent,15,want,0.4738403558731079
cvae_P13_L1e-06,0,agent,16,do,0.4626125693321228
cvae_P13_L1e-06,0,agent,17,left,0.44691869616508484
cvae_P13_L1e-06,0,agent,18,say,0.4406362473964691
cvae_P13_L1e-06,0,agent,19,feel,0.4373411238193512
cvae_P13_L1e-06,0,agent,20,got,0.4352468252182007
cvae_P13_L1e-06,0,agent,21,put,0.4252391755580902
cvae_P13_L1e-06,0,agent,22,go,0.4249489903450012
cvae_P13_L1e-06,0,agent,23,come,0.40639185905456543
cvae_P13_L1e-06,0,agent,24,stood,0.4008825421333313
cvae_P13_L1e-06,0,agent,25,going,0.3954179883003235
cvae_P13_L1e-06,0,agent,26,get,0.3699255883693695
cvae_P13_L1e-06,0,agent,27,tell,0.3660009801387787
cvae_P13_L1e-06,0,agent,28,let,0.3553644120693207
cvae_P13_L1e-06,0,agent,29,take,0.34152135252952576
cvae_P13_L1e-06,0,agent,30,remember,0.3219946026802063
cvae_P13_L1e-06,0,agent,31,hear,0.3142032325267792
cvae_P13_L1e-06,0,agent,32,understand,0.30604034662246704
cvae_P13_L1e-06,0,agent,33,look,0.3011651933193207
cvae_P13_L1e-06,0,agent,34,like,0.29984182119369507
cvae_P13_L1e-06,0,agent,35,make,0.2641221582889557
cvae_P13_L1e-06,0,agent,36,read,0.24959953129291534
cvae_P13_L1e-06,0,agent,37,spoke,0.24585749208927155
cvae_P13_L1e-06,0,agent,38,need,0.2365240752696991
cvae_P13_L1e-06,0,agent,39,mean,0.23602288961410522
cvae_P13_L1e-06,0,agent,40,ask,0.22660619020462036
cvae_P13_L1e-06,0,agent,41,become,0.21224816143512726
cvae_P13_L1e-06,0,agent,42,leave,0.21002525091171265
cvae_P13_L1e-06,0,agent,43,find,0.19563579559326172
cvae_P13_L1e-06,0,agent,44,help,0.1950356811285019
cvae_P13_L1e-06,0,agent,45,gone,0.19281700253486633
cvae_P13_L1e-06,0,agent,46,try,0.18331417441368103
cvae_P13_L1e-06,0,agent,47,sitting,0.16912879049777985
cvae_P13_L1e-06,0,agent,48,believe,0.16519883275032043
cvae_P13_L1e-06,0,agent,49,arrived,0.16459056735038757
cvae_P13_L1e-06,0,agent,50,lay,0.16421076655387878
cvae_P13_L1e-06,0,patient,1,tell,0.8984273076057434
cvae_P13_L1e-06,0,patient,2,see,0.7839544415473938
cvae_P13_L1e-06,0,patient,3,asked,0.7101004123687744
cvae_P13_L1e-06,0,patient,4,take,0.5950519442558289
cvae_P13_L1e-06,0,patient,5,saw,0.5439614653587341
cvae_P13_L1e-06,0,patient,6,help,0.4993295967578888
cvae_P13_L1e-06,0,patient,7,ask,0.4917636215686798
cvae_P13_L1e-06,0,patient,8,thank,0.4790765941143036
cvae_P13_L1e-06,0,patient,9,find,0.4764987826347351
cvae_P13_L1e-06,0,patient,10,left,0.47076499462127686
cvae_P13_L1e-06,0,patient,11,love,0.4628257751464844
cvae_P13_L1e-06,0,patient,12,keep,0.4537072777748108
cvae_P13_L1e-06,0,patient,13,put,0.43892258405685425
