Character id,Persona Prob Vec
A_Case_of_Two_Cities_0,"0.097719,0.097855,0.099810,0.098090,0.102229,0.097269,0.107847,0.101104,0.098117,0.099962"
A_Case_of_Two_Cities_1,"0.096861,0.093349,0.102179,0.099674,0.105183,0.102220,0.106838,0.098925,0.093982,0.100789"
A_Case_of_Two_Cities_1001,"0.101079,0.102880,0.100830,0.109950,0.098120,0.106464,0.088135,0.095549,0.096392,0.100601"
A_Case_of_Two_Cities_1003,"0.102674,0.098351,0.099093,0.100974,0.099656,0.103483,0.097039,0.099559,0.098825,0.100346"
A_Case_of_Two_Cities_1018,"0.099728,0.110007,0.104137,0.111669,0.089665,0.109600,0.074705,0.100461,0.098380,0.101648"
A_Case_of_Two_Cities_1021,"0.097110,0.102776,0.107345,0.109681,0.098235,0.102656,0.095676,0.091843,0.098746,0.095931"
A_Case_of_Two_Cities_1030,"0.092128,0.096157,0.101859,0.099609,0.100572,0.098009,0.119554,0.095704,0.094110,0.102298"
A_Case_of_Two_Cities_1061,"0.092548,0.095680,0.103568,0.100714,0.102789,0.099241,0.113461,0.096784,0.093479,0.101736"
A_Case_of_Two_Cities_1062,"0.093207,0.094131,0.104297,0.098140,0.104346,0.096994,0.114358,0.100198,0.095261,0.099068"
A_Case_of_Two_Cities_1077,"0.092235,0.097953,0.104627,0.100984,0.104372,0.097056,0.114188,0.094185,0.093302,0.101098"
A_Case_of_Two_Cities_1079,"0.091301,0.087810,0.110349,0.107120,0.102233,0.109948,0.092335,0.099434,0.095106,0.104365"
A_Case_of_Two_Cities_1081,"0.094248,0.097828,0.100144,0.101113,0.104520,0.097847,0.109028,0.098356,0.095761,0.101155"
A_Case_of_Two_Cities_1083,"0.097709,0.099762,0.102199,0.100403,0.098810,0.099146,0.102675,0.099373,0.098522,0.101402"
A_Case_of_Two_Cities_1084,"0.092581,0.099204,0.102475,0.100990,0.102776,0.098074,0.110597,0.097672,0.093424,0.102206"
A_Case_of_Two_Cities_1108,"0.098187,0.099854,0.099309,0.099062,0.100559,0.098731,0.104823,0.101349,0.098146,0.099980"
A_Case_of_Two_Cities_1111,"0.087259,0.088119,0.104055,0.093766,0.108461,0.095722,0.137077,0.093393,0.093294,0.098855"
A_Case_of_Two_Cities_1125,"0.118956,0.112992,0.100771,0.102587,0.084359,0.113479,0.065573,0.093233,0.098791,0.109260"
A_Case_of_Two_Cities_1132,"0.110035,0.110917,0.100594,0.110927,0.093131,0.104974,0.079903,0.090939,0.098894,0.099686"
A_Case_of_Two_Cities_1141,"0.086186,0.095456,0.110565,0.102538,0.101475,0.089818,0.128933,0.097564,0.093512,0.093954"
A_Case_of_Two_Cities_1148,"0.098242,0.098999,0.099612,0.099466,0.101482,0.103792,0.103584,0.097779,0.097473,0.099571"
A_Case_of_Two_Cities_1155,"0.089016,0.093378,0.103648,0.102303,0.112684,0.100958,0.114694,0.093734,0.096286,0.093298"
A_Case_of_Two_Cities_1166,"0.095449,0.095902,0.103963,0.100067,0.103872,0.098125,0.108290,0.097940,0.097511,0.098882"
A_Case_of_Two_Cities_1178,"0.090008,0.092875,0.103750,0.105674,0.104172,0.099980,0.114463,0.096616,0.095061,0.097401"
A_Case_of_Two_Cities_1182,"0.091645,0.090954,0.099642,0.098509,0.107508,0.094279,0.125200,0.098532,0.094641,0.099090"
A_Case_of_Two_Cities_1184,"0.097119,0.098327,0.102205,0.098205,0.101132,0.097655,0.106406,0.098897,0.099103,0.100952"
A_Case_of_Two_Cities_1196,"0.096355,0.094551,0.100933,0.101698,0.102459,0.099348,0.110405,0.097020,0.095603,0.101628"
A_Case_of_Two_Cities_1198,"0.099204,0.099541,0.099032,0.099784,0.101869,0.098006,0.104500,0.099137,0.098337,0.100592"
A_Case_of_Two_Cities_1215,"0.092581,0.099204,0.102475,0.100990,0.102776,0.098074,0.110597,0.097672,0.093424,0.102206"
A_Case_of_Two_Cities_1220,"0.100461,0.096334,0.102109,0.103094,0.097967,0.102125,0.101769,0.099373,0.095675,0.101093"
A_Case_of_Two_Cities_1222,"0.093409,0.094168,0.105434,0.105154,0.107528,0.098829,0.105900,0.089481,0.100556,0.099541"
A_Case_of_Two_Cities_123,"0.088728,0.097297,0.107913,0.098180,0.101886,0.099855,0.109405,0.099102,0.095576,0.102058"
A_Case_of_Two_Cities_1235,"0.101549,0.106119,0.104316,0.104491,0.095762,0.102998,0.093582,0.099255,0.094997,0.096930"
A_Case_of_Two_Cities_1237,"0.036817,0.048653,0.119731,0.059918,0.122594,0.062477,0.320015,0.066065,0.067959,0.095771"
A_Case_of_Two_Cities_1252,"0.111511,0.094286,0.105867,0.106990,0.093661,0.114196,0.073355,0.086619,0.099943,0.113573"
A_Case_of_Two_Cities_1257,"0.096342,0.100341,0.101419,0.099250,0.100988,0.098839,0.103083,0.099160,0.095980,0.104598"
A_Case_of_Two_Cities_1267,"0.095824,0.094185,0.101345,0.101361,0.103078,0.102241,0.108016,0.098734,0.096449,0.098767"
A_Case_of_Two_Cities_1274,"0.096301,0.102348,0.106627,0.104979,0.104688,0.112561,0.091231,0.085881,0.096990,0.098396"
A_Case_of_Two_Cities_1275,"0.082032,0.081410,0.104208,0.095172,0.114974,0.096926,0.149041,0.094265,0.087298,0.094673"
A_Case_of_Two_Cities_1306,"0.095076,0.089522,0.100150,0.101273,0.108522,0.098619,0.118493,0.094884,0.094946,0.098514"
A_Case_of_Two_Cities_1315,"0.094079,0.097544,0.104100,0.104979,0.101859,0.099920,0.101822,0.097942,0.095153,0.102603"
A_Case_of_Two_Cities_1336,"0.094296,0.096747,0.102370,0.102885,0.104415,0.095489,0.108328,0.097576,0.096166,0.101728"
A_Case_of_Two_Cities_1373,"0.093169,0.098217,0.102205,0.100171,0.102075,0.098746,0.111100,0.098218,0.093975,0.102123"
A_Case_of_Two_Cities_1381,"0.103266,0.101528,0.100169,0.103815,0.101397,0.103132,0.089353,0.097135,0.100332,0.099874"
A_Case_of_Two_Cities_1390,"0.086458,0.085186,0.104932,0.098060,0.113798,0.090897,0.128713,0.092520,0.092898,0.106536"
A_Case_of_Two_Cities_142,"0.101955,0.097047,0.100086,0.107207,0.102158,0.103422,0.093912,0.096388,0.097253,0.100572"
A_Case_of_Two_Cities_1422,"0.100949,0.101145,0.102062,0.099760,0.099197,0.102172,0.097812,0.095355,0.100109,0.101440"
