Character id,Persona Prob Vec
0,"0.090358,0.091155,0.091587,0.088517,0.094969,0.092840,0.091728,0.085831,0.092365,0.091550,0.089099"
1,"0.093146,0.091483,0.090417,0.091162,0.090314,0.091509,0.091090,0.090538,0.091844,0.088217,0.090280"
2,"0.091400,0.091363,0.090827,0.090959,0.090387,0.091723,0.090650,0.090185,0.093423,0.089208,0.089875"
3,"0.089079,0.087180,0.090355,0.093736,0.092192,0.092124,0.094131,0.086383,0.092755,0.093018,0.089046"
4,"0.091853,0.090852,0.090805,0.091760,0.091683,0.090677,0.091013,0.089763,0.091255,0.090037,0.090301"
5,"0.091366,0.095900,0.089944,0.088022,0.091615,0.090248,0.090750,0.089028,0.091108,0.089829,0.092192"
6,"0.089799,0.090501,0.090911,0.091243,0.094269,0.090805,0.092056,0.085177,0.092653,0.091977,0.090610"
7,"0.090448,0.091489,0.090620,0.092009,0.092577,0.090695,0.091994,0.086976,0.092471,0.090894,0.089827"
8,"0.088411,0.089968,0.091096,0.092976,0.091542,0.090268,0.091780,0.088641,0.090786,0.092804,0.091727"
9,"0.094052,0.091006,0.091095,0.089925,0.088040,0.091111,0.090185,0.093980,0.090824,0.088514,0.091268"
10,"0.088796,0.093174,0.090257,0.091590,0.094948,0.090595,0.092794,0.083880,0.090808,0.092120,0.091040"
11,"0.089945,0.091128,0.090727,0.091643,0.092976,0.091178,0.092431,0.086666,0.092361,0.090718,0.090227"
12,"0.090251,0.091981,0.090870,0.091856,0.092420,0.090227,0.092058,0.087099,0.092338,0.090705,0.090196"
13,"0.090505,0.092120,0.089567,0.091654,0.093552,0.091702,0.092796,0.085700,0.091429,0.089995,0.090980"
14,"0.091092,0.091768,0.090386,0.091860,0.091450,0.090851,0.091706,0.088824,0.091711,0.090127,0.090225"
15,"0.092392,0.091815,0.090972,0.090991,0.089169,0.091556,0.089800,0.091883,0.091647,0.088982,0.090793"
16,"0.089778,0.092849,0.091222,0.091359,0.093416,0.089308,0.093480,0.084147,0.090459,0.091881,0.092101"
17,"0.092206,0.090365,0.090496,0.091145,0.091565,0.090527,0.091482,0.089489,0.092064,0.090827,0.089833"
18,"0.091193,0.090684,0.090252,0.092905,0.092993,0.090362,0.092132,0.087064,0.093586,0.089961,0.088867"
19,"0.088562,0.093223,0.089392,0.091707,0.093537,0.090436,0.093591,0.083933,0.091762,0.091637,0.092219"
20,"0.090814,0.090614,0.091340,0.092024,0.092438,0.090971,0.090603,0.089584,0.092800,0.089302,0.089510"
21,"0.091702,0.091814,0.091251,0.090257,0.090786,0.091914,0.089961,0.090879,0.091505,0.089216,0.090714"
22,"0.087738,0.089170,0.090319,0.093337,0.096220,0.090638,0.093573,0.084596,0.093339,0.091155,0.089916"
23,"0.088007,0.089923,0.092068,0.091947,0.094931,0.090000,0.094006,0.082393,0.093104,0.092855,0.090765"
24,"0.086802,0.089328,0.091125,0.093987,0.095160,0.091906,0.093300,0.085066,0.092305,0.090868,0.090153"
25,"0.088070,0.090759,0.090663,0.091905,0.093278,0.091960,0.092705,0.084890,0.092705,0.093367,0.089698"
26,"0.089203,0.090523,0.089020,0.092527,0.094274,0.091258,0.094458,0.084508,0.093354,0.090957,0.089918"
27,"0.088817,0.091125,0.090534,0.093478,0.093524,0.090280,0.094014,0.084658,0.092159,0.091199,0.090210"
28,"0.090239,0.090620,0.090426,0.092799,0.092604,0.091053,0.092315,0.087403,0.093272,0.090726,0.088544"
29,"0.097558,0.093564,0.092081,0.088872,0.090134,0.089621,0.089102,0.093189,0.088067,0.085149,0.092663"
30,"0.090644,0.091381,0.090662,0.091192,0.092552,0.091529,0.091956,0.086880,0.091822,0.090614,0.090768"
31,"0.090760,0.090644,0.090957,0.092183,0.092339,0.090432,0.092082,0.088135,0.090765,0.092038,0.089664"
32,"0.090756,0.089377,0.091097,0.091677,0.092724,0.092025,0.091619,0.089883,0.090653,0.091883,0.088307"
33,"0.090045,0.092101,0.090787,0.095603,0.095480,0.089891,0.091897,0.081086,0.090501,0.092288,0.090321"
34,"0.100270,0.092960,0.093881,0.088546,0.087460,0.085472,0.085372,0.104224,0.086506,0.083136,0.092173"
35,"0.091239,0.090792,0.090356,0.091318,0.092481,0.091123,0.093198,0.088143,0.091469,0.089931,0.089951"
36,"0.091235,0.091160,0.091186,0.092268,0.090608,0.090649,0.090295,0.090633,0.091969,0.089908,0.090089"
37,"0.093097,0.090625,0.090562,0.090805,0.091068,0.091352,0.090118,0.090172,0.092153,0.088209,0.091838"
38,"0.091646,0.091318,0.091645,0.090035,0.090604,0.090863,0.090839,0.089178,0.092562,0.090108,0.091201"
39,"0.091965,0.091124,0.090635,0.091182,0.091074,0.091526,0.090915,0.089984,0.091300,0.089533,0.090762"
40,"0.090646,0.089941,0.091729,0.091154,0.092793,0.091769,0.092881,0.087088,0.092420,0.090009,0.089569"
41,"0.090928,0.091934,0.090931,0.091105,0.089316,0.090931,0.089957,0.090500,0.094767,0.088904,0.090728"
42,"0.092962,0.092053,0.091029,0.090921,0.091534,0.091867,0.090351,0.088891,0.091646,0.088774,0.089972"
43,"0.093535,0.091222,0.091498,0.091582,0.091491,0.090597,0.090063,0.091765,0.090814,0.088659,0.088773"
44,"0.092603,0.090607,0.091693,0.091170,0.091608,0.092002,0.092123,0.086748,0.091396,0.089568,0.090483"
45,"0.091938,0.090933,0.091966,0.089323,0.088607,0.091287,0.088561,0.095183,0.093019,0.089554,0.089627"
46,"0.095803,0.091947,0.091391,0.090796,0.088868,0.091051,0.089894,0.091733,0.090277,0.087957,0.090282"
47,"0.090944,0.091637,0.089824,0.092184,0.091572,0.091902,0.091849,0.088309,0.091746,0.090028,0.090004"
48,"0.091100,0.091055,0.090151,0.091311,0.088962,0.092062,0.091851,0.091178,0.091591,0.089872,0.090868"
49,"0.087985,0.092459,0.090486,0.092805,0.093674,0.090984,0.092447,0.085475,0.091211,0.090950,0.091525"
50,"0.086098,0.086917,0.092007,0.093552,0.088520,0.089601,0.087222,0.105558,0.093533,0.089715,0.087277"
51,"0.091179,0.089733,0.091634,0.092379,0.091944,0.090228,0.091198,0.090639,0.093555,0.088689,0.088822"
52,"0.092905,0.091551,0.091127,0.090396,0.089743,0.091736,0.090337,0.091192,0.091896,0.088852,0.090266"
53,"0.092531,0.092081,0.091022,0.091246,0.091355,0.091656,0.090337,0.089890,0.092343,0.088054,0.089483"
54,"0.091273,0.091605,0.090950,0.090995,0.090739,0.091564,0.090451,0.091830,0.092073,0.088804,0.089717"
55,"0.088962,0.089758,0.090840,0.092411,0.092193,0.090917,0.094437,0.086148,0.092471,0.091748,0.090115"
56,"0.089905,0.092364,0.090053,0.091215,0.094808,0.091682,0.094210,0.081429,0.090131,0.092342,0.091862"
57,"0.091564,0.090836,0.089693,0.091122,0.090142,0.091986,0.091350,0.091851,0.092824,0.089533,0.089098"
58,"0.091418,0.093436,0.091242,0.090588,0.090524,0.089732,0.091260,0.089598,0.090585,0.090349,0.091267"
59,"0.092949,0.091170,0.090421,0.090988,0.089814,0.091332,0.090577,0.091223,0.092003,0.089385,0.090138"
60,"0.086098,0.086917,0.092007,0.093552,0.088520,0.089601,0.087222,0.105558,0.093533,0.089715,0.087277"
61,"0.086098,0.086917,0.092007,0.093552,0.088520,0.089601,0.087222,0.105558,0.093533,0.089715,0.087277"
62,"0.086098,0.086917,0.092007,0.093552,0.088520,0.089601,0.087222,0.105558,0.093533,0.089715,0.087277"
63,"0.086098,0.086917,0.092007,0.093552,0.088520,0.089601,0.087222,0.105558,0.093533,0.089715,0.087277"
64,"0.086098,0.086917,0.092007,0.093552,0.088520,0.089601,0.087222,0.105558,0.093533,0.089715,0.087277"
65,"0.086098,0.086917,0.092007,0.093552,0.088520,0.089601,0.087222,0.105558,0.093533,0.089715,0.087277"
66,"0.092074,0.091902,0.089869,0.091587,0.092369,0.091410,0.091860,0.087109,0.091366,0.089819,0.090635"
67,"0.094365,0.091713,0.091683,0.090706,0.088736,0.090515,0.090094,0.091032,0.091929,0.087980,0.091247"
68,"0.089718,0.091992,0.089676,0.090963,0.093399,0.091275,0.092167,0.087463,0.091076,0.091389,0.090882"
69,"0.090973,0.091099,0.091591,0.091302,0.092288,0.091596,0.092350,0.087787,0.091409,0.089820,0.089785"
70,"0.091753,0.091028,0.091390,0.090232,0.089222,0.091341,0.091448,0.091100,0.090511,0.088979,0.092996"
71,"0.080769,0.096111,0.095057,0.085509,0.086761,0.092701,0.091354,0.094154,0.094717,0.088876,0.093990"
72,"0.091552,0.091545,0.091234,0.090764,0.090077,0.092269,0.090457,0.089892,0.092305,0.089040,0.090865"
73,"0.090521,0.091114,0.091321,0.091647,0.091008,0.090647,0.091646,0.088577,0.092056,0.090995,0.090468"
74,"0.091116,0.091474,0.091039,0.092269,0.091769,0.091046,0.091737,0.087293,0.091765,0.090189,0.090303"
75,"0.091492,0.090375,0.091788,0.091844,0.092167,0.091729,0.089207,0.090161,0.094069,0.088159,0.089009"
