Character id,Persona Prob Vec
0,"0.192725,0.197990,0.197195,0.202219,0.209871"
1,"0.203555,0.200377,0.200752,0.197478,0.197837"
2,"0.201728,0.202556,0.198787,0.198521,0.198409"
3,"0.184986,0.201334,0.206612,0.212753,0.194314"
4,"0.200393,0.200843,0.200155,0.201716,0.196893"
5,"0.200338,0.203583,0.199027,0.194904,0.202149"
6,"0.195820,0.201115,0.199022,0.199938,0.204105"
7,"0.199716,0.201812,0.199409,0.197172,0.201890"
8,"0.194407,0.201581,0.201926,0.201907,0.200179"
9,"0.205892,0.203407,0.198255,0.196997,0.195450"
10,"0.191894,0.197476,0.200358,0.204025,0.206248"
11,"0.196394,0.199487,0.199866,0.200193,0.204060"
12,"0.196214,0.200640,0.200606,0.201021,0.201519"
13,"0.193569,0.200581,0.199557,0.203345,0.202948"
14,"0.198368,0.200588,0.198471,0.199672,0.202900"
15,"0.200768,0.200807,0.199903,0.200290,0.198231"
16,"0.194654,0.199961,0.198891,0.202885,0.203609"
17,"0.200720,0.200684,0.199390,0.201152,0.198053"
18,"0.197552,0.201641,0.201243,0.202712,0.196852"
19,"0.194185,0.201750,0.195317,0.201015,0.207733"
20,"0.195143,0.204731,0.199781,0.207397,0.192949"
21,"0.199485,0.202063,0.198727,0.200303,0.199422"
22,"0.190746,0.197685,0.199174,0.204199,0.208195"
23,"0.193156,0.197392,0.199485,0.202757,0.207209"
24,"0.195824,0.200865,0.202414,0.201355,0.199542"
25,"0.195496,0.200215,0.199262,0.201301,0.203727"
26,"0.192902,0.204497,0.196749,0.202749,0.203103"
27,"0.194750,0.199909,0.197288,0.202340,0.205713"
28,"0.196828,0.202849,0.198471,0.202509,0.199343"
29,"0.203811,0.203063,0.200143,0.197711,0.195271"
30,"0.194736,0.198138,0.198568,0.204173,0.204385"
31,"0.196012,0.203467,0.200836,0.201151,0.198533"
32,"0.196149,0.201855,0.199986,0.203056,0.198955"
33,"0.186363,0.192112,0.202831,0.204766,0.213928"
34,"0.212347,0.205943,0.208436,0.198349,0.174926"
35,"0.201789,0.200021,0.198439,0.199190,0.200561"
36,"0.201127,0.201818,0.199532,0.200598,0.196925"
37,"0.201440,0.201754,0.198333,0.198282,0.200191"
38,"0.199278,0.202890,0.198500,0.199309,0.200023"
39,"0.199561,0.201934,0.198353,0.200590,0.199562"
40,"0.198739,0.201869,0.200522,0.200107,0.198764"
41,"0.201521,0.202167,0.196318,0.200226,0.199769"
42,"0.199993,0.201623,0.197623,0.198528,0.202233"
43,"0.201800,0.205141,0.197779,0.198628,0.196652"
44,"0.199162,0.201250,0.199450,0.198261,0.201877"
45,"0.206750,0.203874,0.201173,0.194951,0.193252"
46,"0.200901,0.203185,0.198277,0.197543,0.200094"
47,"0.198429,0.203675,0.196369,0.199506,0.202021"
48,"0.203544,0.202308,0.197046,0.200108,0.196995"
49,"0.195149,0.200709,0.200631,0.201570,0.201941"
50,"0.194427,0.209521,0.208260,0.212934,0.174858"
51,"0.195780,0.204046,0.199578,0.204364,0.196232"
52,"0.203743,0.202796,0.198911,0.197269,0.197281"
53,"0.199849,0.203366,0.199735,0.200350,0.196700"
54,"0.201226,0.204670,0.197859,0.199699,0.196546"
55,"0.196654,0.199606,0.201306,0.201642,0.200791"
56,"0.194855,0.199308,0.199440,0.199796,0.206602"
57,"0.199012,0.202864,0.199729,0.199701,0.198695"
58,"0.199847,0.201174,0.199848,0.199759,0.199371"
59,"0.200421,0.202498,0.199609,0.198845,0.198627"
60,"0.194427,0.209521,0.208260,0.212934,0.174858"
61,"0.194427,0.209521,0.208260,0.212934,0.174858"
62,"0.194427,0.209521,0.208260,0.212934,0.174858"
63,"0.194427,0.209521,0.208260,0.212934,0.174858"
64,"0.194427,0.209521,0.208260,0.212934,0.174858"
65,"0.194427,0.209521,0.208260,0.212934,0.174858"
66,"0.197780,0.200940,0.197799,0.200318,0.203163"
67,"0.202946,0.201455,0.199374,0.199293,0.196933"
68,"0.195453,0.200236,0.200185,0.201340,0.202786"
69,"0.196462,0.201390,0.199482,0.201281,0.201384"
70,"0.199821,0.199247,0.199791,0.201435,0.199706"
71,"0.197378,0.202627,0.192641,0.204295,0.203059"
72,"0.200757,0.201926,0.198328,0.199570,0.199419"
73,"0.200475,0.201199,0.199994,0.198698,0.199634"
74,"0.196316,0.201403,0.199056,0.200293,0.202933"
75,"0.197169,0.202846,0.200876,0.203095,0.196014"
76,"0.197929,0.204648,0.203417,0.199066,0.194940"
77,"0.199017,0.201671,0.198962,0.201982,0.198368"
78,"0.201835,0.202207,0.199047,0.198163,0.198749"
79,"0.191979,0.198846,0.199528,0.202833,0.206814"
80,"0.213428,0.205540,0.196806,0.193182,0.191044"
81,"0.194531,0.199504,0.199511,0.201829,0.204625"
82,"0.195315,0.198881,0.198013,0.201116,0.206674"
83,"0.197824,0.202694,0.200454,0.203335,0.195693"
