word,cluster
aaron,405
aat,197
abandon,244
abdomen,11
abduct,343
abduction,178
abductor,343
abhor,281
abide,372
ability,63
abruptness,501
absence,75
absolve,300
absorb,280
absorption,383
abuse,244
accent,29
accept,288
access,390
accessory,462
accident,61
acclimate,283
accommodate,178
accommodation,30
accompany,332
accomplice,92
accomplish,271
accomplishment,118
accost,504
account,192
accusation,178
accuse,346
accuser,282
accusing,462
accustom,21
ace,166
ache,177
achieve,379
achievement,130
acknowledge,118
acquaintance,118
acquire,269
acquisition,30
acquit,301
act,258
acting,258
action,390
activate,38
activity,32
actress,85
ad,214
adam,439
add,459
addiction,41
addition,24
address,383
adhere,12
adjust,459
adler,182
administer,311
admiration,49
admire,288
admit,18
admonish,281
adolescence,329
adopt,462
adore,372
adorn,372
adrenaline,49
adult,410
advance,48
advantage,48
adventure,106
adventurous,51
advertise,282
advertisement,332
advice,222
advise,1
advisor,461
advocate,108
afecte,283
afection,283
affair,306
affect,415
affection,287
afford,178
affront,54
aford,62
afraid,462
afternoon,476
agape,511
age,422
agenda,32
agent,415
aggression,193
aggressive,152
agitate,272
agitation,244
agonize,272
agony,96
agree,311
agreement,224
aicke,113
aid,232
aim,73
ainche,419
aisle,280
alarm,15
album,129
alcohol,392
alcove,92
alert,136
algebra,24
alibi,511
alice,405
alight,21
allergy,197
alley,23
alleyway,221
alliance,106
allow,379
allowance,61
ally,0
alone,56
along,24
aloofness,395
aloud,29
altar,362
alter,462
alternate,435
amah,262
amaze,262
amazement,15
amazing,509
ambition,397
ambivalence,493
amend,306
american,235
ammunition,30
amount,415
amuse,249
amusement,49
amusing,509
analysis,312
analyst,108
analyze,346
ancestor,156
ancestry,463
anger,49
angle,40
angriest,511
angry,49
anguish,287
animation,130
ankle,112
announce,269
annoy,464
annoyance,193
answer,288
antic,504
anticipate,377
anus,511
anxiety,501
anxious,287
apartment,199
apathy,323
ape,182
apologise,120
apologize,311
apology,143
appal,504
appeal,1
appear,137
appearance,228
appetite,193
apple,191
application,214
apply,245
appointment,61
appraisal,314
appraise,31
appreciate,118
appreciation,222
apprentice,148
approach,32
approval,29
approve,311
approximation,312
apron,330
aptitude,404
arch,362
archer,439
arena,345
argue,379
argument,214
arm,112
armband,79
armoire,460
armor,148
armory,362
armpit,421
arouse,66
arrange,142
arrest,1
arrival,427
arrive,427
arrived,427
arse,197
art,95
article,129
articulate,181
artist,85
artwork,213
ascend,128
ascent,390
ash,439
ashamed,49
ask,351
asked,351
asking,351
asleep,485
aspect,41
aspire,62
ass,220
assail,37
assailant,337
assault,1
assemble,3
assert,346
assess,459
assessment,312
asset,192
assign,459
assignment,61
assist,302
assistant,108
associate,335
association,323
assume,503
assumption,289
assurance,143
assure,118
asthma,332
astonish,285
astonishment,15
astound,511
ate,99
atone,262
atrocity,66
attach,346
attachment,397
attack,137
attacker,232
attain,306
attempt,178
attend,379
attendance,30
attendant,461
attention,280
attire,43
attitude,397
attorney,273
attract,346
attraction,345
attractive,509
attribute,192
attune,511
audacity,493
audience,260
audition,51
aunt,101
auntie,98
auricle,167
austine,238
aute,380
authority,390
authorize,10
auttere,511
available,223
avenge,135
avert,249
avoid,271
await,346
awake,485
awaken,464
awakening,118
award,19
aware,118
awareness,244
awe,15
awkward,49
awkwardness,501
awry,116
aﬀord,28
aﬄicte,28
ba,156
baba,182
babble,212
baby,147
babysat,419
back,166
backache,59
background,213
backhand,60
backing,462
backpack,330
backside,11
backtrack,203
backwards,383
bad,253
badger,437
baffle,66
bag,497
baggage,383
baguette,420
bait,193
bake,321
bakehouse,321
balance,397
balcony,132
balk,59
ball,141
balm,197
band,51
bandage,148
bandanna,79
bang,482
banish,71
bank,461
banker,461
bankrupt,43
banquet,375
bao,115
baobei,363
bar,141
barb,282
barbies,238
bare,298
bargain,280
bargaining,382
barge,43
bark,147
barrack,98
barrel,41
barrenness,56
base,48
bask,59
basket,437
bat,182
bath,199
bathe,419
bathroom,199
bathtub,215
batter,462
battery,191
battle,106
bawl,212
be,288
bead,197
beam,497
bear,437
bearing,178
beat,399
beautiful,509
beauty,196
beck,439
beckon,66
become,379
bed,199
bedcover,350
bedding,350
bedmate,350
bedpost,350
bedraggle,466
bedroom,199
bedsheet,350
bedside,100
bedtime,198
beep,393
beer,400
befall,231
before,135
befriend,72
befuddle,464
beg,17
begging,96
begin,379
begrudge,466
behalf,178
behave,346
behavior,397
behaviour,75
behold,280
being,63
belch,59
belief,383
believe,288
believer,118
belittle,197
bell,463
bellow,197
belly,220
belong,288
belonging,135
belt,415
bemoan,511
bemuse,511
bend,40
benefactor,462
benefit,390
beneﬁt,151
beneﬁte,151
bent,11
berate,66
bereavement,508
berth,61
beseech,72
bess,511
best,332
bestow,98
bet,166
betray,118
betrayal,127
betroth,340
betrothal,340
betrothed,340
beverage,390
bewilder,2
bicycle,402
bid,346
bidding,280
bike,402
bikini,400
bikinis,88
bill,169
billfold,161
bind,232
binding,280
biographer,461
birth,463
birthdate,239
birthday,375
birthmark,160
bit,4
bite,4
bitterness,193
black,29
blackberry,318
blackmail,392
bladder,43
blade,500
blame,280
blanch,197
blank,29
blanket,330
blankly,462
blather,66
blazer,256
bleach,321
bleed,205
bleeding,177
blend,383
bless,147
blessing,280
blight,54
blind,462
blindfold,79
blindness,409
blink,91
blister,167
block,141
blog,129
blond,152
blood,474
bloodline,239
bloodstream,265
blossom,260
blotter,167
blouse,330
blow,497
bluf,22
bluff,20
blurt,60
blush,59
bluster,54
boar,43
board,390
boardinghouse,321
boast,97
bob,405
bodice,384
body,141
bodyguard,461
bodysurfe,181
boil,459
boldness,133
bolino,511
bolt,482
bombard,291
bond,500
bone,112
bonesetter,238
bonus,457
book,468
bookcase,215
bookkeeper,86
bookshelf,215
boom,482
boot,280
bore,43
boredom,75
borrow,379
bosom,66
boss,141
bot,191
bother,280
bottle,141
bottom,48
boudoir,307
bounce,482
bound,11
boundary,32
boundless,433
bout,195
bow,136
bowl,141
box,141
boy,509
boyfriend,89
boyish,68
bra,121
brace,437
bracelet,112
brag,59
braid,383
brain,48
branch,61
brand,182
bravado,267
brave,118
brazen,66
break,497
breakfast,209
breaking,63
breakup,462
breast,112
breastbone,421
breaststroke,313
breath,451
breathe,451
breathing,451
brew,437
bribe,1
bride,35
bridegroom,340
brieay,365
brief,61
briefcase,461
briefly,29
brighten,59
brightness,29
brilliance,188
bring,18
bristle,66
british,235
broach,59
broaden,60
broil,365
brokenhearte,511
brood,20
brooding,49
brotgewürz,113
broth,365
brother,101
brow,112
browse,464
bruise,260
brush,470
brushstroke,69
bubble,280
buck,166
bucket,220
buckle,260
bud,437
buddy,220
buffet,41
bug,156
build,95
building,84
bullet,437
bully,166
bump,121
bun,156
bundle,192
bunk,199
bunkmate,92
buoy,248
burden,43
burial,375
burn,205
burning,193
burp,212
burrow,223
burst,156
bury,48
business,440
bustle,278
busy,166
butt,121
butter,437
butterfly,48
buttock,161
button,328
buy,38
buzz,280
bypass,260
cab,35
cabin,43
cabinet,130
cable,30
cache,192
cackle,275
café,345
cage,439
cajole,238
cake,318
calculate,416
calf,17
call,18
calligraphy,69
calm,383
calyx,223
came,465
camera,241
camisole,39
camp,61
campaign,396
can,137
cancel,61
candidate,396
candor,56
candy,166
cane,20
canine,462
canvas,362
cap,61
capacity,422
cape,462
capital,48
cappuccino,420
captain,461
captivate,511
captivity,134
captor,98
capture,48
car,474
card,323
care,4
career,276
careful,18
carelessness,133
caress,280
carp,142
carpet,23
carriage,330
carriagemate,145
carrot,304
carry,379
cart,182
carve,60
case,415
casket,375
cassoulet,284
cast,51
castle,132
casual,49
cat,500
catalog,299
catalogue,299
catch,260
catchphrase,411
cater,280
catty,5
cause,415
caution,36
cautious,193
cave,103
cavern,383
cd,348
cease,379
ceiling,29
ceilingward,161
celebrate,205
cell,463
cello,293
cement,148
center,61
centimeter,223
cereal,400
ceremony,375
certificate,61
certiﬁcate,282
chablis,92
chagrin,97
chain,383
chair,23
chairman,108
chaise,197
challenge,141
champagne,400
champion,139
chance,227
change,276
channel,106
chant,136
chap,92
chaperon,92
chaperone,92
character,51
characteristic,289
charcoal,148
charge,43
charm,193
chart,129
chase,35
chasing,156
chastise,97
chat,205
chatter,193
cheat,437
check,18
checkerboard,13
checklist,31
cheek,112
cheekbone,421
cheer,20
cheerfulness,171
chef,437
chemise,384
cheongsam,398
cherish,464
chest,102
chew,280
chic,296
chick,156
