word,cluster
aaron,1
aat,430
abandon,418
abdomen,196
abduct,205
abduction,205
abductor,202
abhor,469
abide,321
ability,115
abruptness,218
absence,2
absolve,280
absorb,220
absorption,218
abuse,147
accent,261
accept,81
access,367
accessory,364
accident,243
acclimate,152
accommodate,367
accommodation,137
accompany,377
accomplice,89
accomplish,401
accomplishment,255
accost,365
account,479
accusation,142
accuse,53
accuser,329
accusing,53
accustom,152
ace,318
ache,304
achieve,401
achievement,255
acknowledge,81
acquaintance,136
acquire,289
acquisition,289
acquit,392
act,218
acting,18
action,18
activate,367
activity,18
actress,270
ad,40
adam,1
add,367
addiction,393
addition,18
address,29
adhere,321
adjust,152
adler,18
administer,367
admiration,39
admire,371
admit,81
admonish,500
adolescence,209
adopt,12
adore,371
adorn,395
adrenaline,221
adult,18
advance,377
advantage,318
adventure,193
adventurous,398
advertise,367
advertisement,40
advice,27
advise,168
advisor,394
advocate,394
afecte,18
afection,18
affair,491
affect,74
affection,130
afford,388
affront,292
aford,18
afraid,357
afternoon,306
agape,218
age,18
agenda,437
agent,394
aggression,143
aggressive,237
agitate,388
agitation,129
agonize,134
agony,311
agree,240
agreement,13
aicke,18
aid,18
aim,18
ainche,18
aisle,242
alarm,343
album,348
alcohol,210
alcove,242
alert,27
algebra,184
alibi,426
alice,1
alight,315
allergy,158
alley,58
alleyway,58
alliance,13
allow,367
allowance,18
ally,136
alone,18
along,18
aloofness,110
aloud,43
altar,242
alter,402
alternate,18
amah,430
amaze,350
amazement,72
amazing,398
ambition,411
ambivalence,23
amend,402
american,1
ammunition,233
amount,18
amuse,34
amusement,72
amusing,398
analysis,440
analyst,394
analyze,424
ancestor,87
ancestry,87
anger,413
angle,504
angriest,357
angry,357
anguish,76
animation,366
ankle,117
announce,367
annoy,483
annoyance,111
answer,29
antic,218
anticipate,84
anus,325
anxiety,257
anxious,363
apartment,137
apathy,143
ape,176
apologise,388
apologize,230
apology,230
appal,388
appeal,437
appear,377
appearance,29
appetite,221
apple,22
application,437
apply,367
appointment,13
appraisal,440
appraise,424
appreciate,371
appreciation,453
apprentice,508
approach,146
approval,437
approve,367
approximation,218
apron,179
aptitude,116
arch,504
archer,89
arena,137
argue,240
argument,146
arm,94
armband,185
armoire,35
armor,335
armory,137
armpit,196
arouse,34
arrange,367
arrest,243
arrival,215
arrive,215
arrived,215
arse,430
art,30
article,40
articulate,285
artist,391
artwork,391
ascend,510
ascent,510
ash,405
ashamed,292
ask,388
asked,266
asking,266
asleep,102
aspect,489
aspire,388
ass,149
assail,500
assailant,329
assault,243
assemble,401
assert,240
assess,424
assessment,440
asset,479
assign,367
assignment,18
assist,367
assistant,394
associate,394
association,13
assume,240
assumption,146
assurance,437
assure,240
asthma,158
astonish,350
astonishment,72
astound,350
ate,114
atone,322
atrocity,243
attach,82
attachment,504
attack,243
attacker,329
attain,367
attempt,266
attend,29
attendance,18
attendant,508
attention,221
attire,107
attitude,90
attorney,484
attract,150
attraction,221
attractive,398
attribute,240
attune,285
audacity,172
audience,218
audition,11
aunt,20
auntie,271
auricle,430
austine,430
aute,430
authority,437
authorize,367
auttere,18
available,367
avenge,322
avert,333
avoid,428
await,377
awake,102
awaken,34
awakening,393
award,415
aware,27
awareness,221
awe,72
awkward,468
awkwardness,110
awry,2
aﬀord,18
aﬄicte,18
ba,48
baba,277
babble,133
baby,162
babysat,162
back,18
backache,304
background,18
backhand,318
backing,445
backpack,182
backside,504
backtrack,81
backwards,504
bad,489
badger,507
baffle,125
bag,194
baggage,194
baguette,386
bait,176
bake,148
bakehouse,124
balance,445
balcony,242
balk,388
ball,318
balm,304
band,11
bandage,196
bandanna,185
bang,82
banish,310
bank,479
banker,479
bankrupt,289
banquet,332
bao,277
baobei,18
bar,137
barb,142
barbies,78
bare,82
bargain,289
bargaining,13
barge,474
bark,78
barrack,137
barrel,425
barrenness,311
base,18
bask,41
basket,506
bat,318
bath,503
bathe,341
bathroom,503
bathtub,503
batter,385
battery,364
battle,101
bawl,452
be,377
bead,504
beam,242
bear,507
bearing,18
beat,340
beautiful,398
beauty,264
beck,78
beckon,345
become,367
bed,62
bedcover,335
bedding,62
bedmate,365
bedpost,62
bedraggle,18
bedroom,503
bedsheet,423
bedside,59
bedtime,102
beep,19
beer,210
befall,220
before,18
befriend,365
befuddle,125
beg,388
begging,388
begin,377
begrudge,41
behalf,437
behave,388
behavior,509
behaviour,509
behold,398
being,18
belch,312
belief,146
believe,240
believer,489
belittle,200
bell,343
bellow,452
belly,75
belong,74
belonging,18
belt,504
bemoan,238
bemuse,125
bend,504
benefactor,136
benefit,367
beneﬁt,18
beneﬁte,18
bent,504
berate,500
bereavement,76
berth,9
beseech,168
bess,430
best,398
bestow,367
bet,462
betray,81
betrayal,292
betroth,18
betrothal,355
betrothed,260
beverage,128
bewilder,125
bicycle,161
bid,289
bidding,289
bike,161
bikini,511
bikinis,511
bill,437
billfold,99
bind,82
binding,437
biographer,37
birth,132
birthdate,120
birthday,162
birthmark,253
bit,489
bite,93
bitterness,36
black,395
blackberry,477
blackmail,73
bladder,122
blade,98
blame,500
blanch,320
blank,112
blanket,62
blankly,78
blather,133
blazer,63
bleach,341
bleed,487
bleeding,122
blend,445
bless,388
blessing,393
blight,442
blind,393
blindfold,427
blindness,122
blink,78
blister,166
block,18
blog,40
blond,198
blood,122
bloodline,87
bloodstream,204
blossom,344
blotter,488
blouse,141
blow,82
bluf,18
bluff,429
blurt,189
blush,256
bluster,403
boar,176
board,18
boardinghouse,495
boast,240
bob,78
bodice,178
body,122
bodyguard,136
bodysurfe,18
boil,247
boldness,172
bolino,18
bolt,504
bombard,280
bond,479
bone,94
bonesetter,18
bonus,18
book,37
bookcase,35
bookkeeper,508
bookshelf,35
boom,79
boot,504
bore,377
boredom,311
borrow,289
bosom,335
boss,136
bot,176
bother,388
bottle,181
bottom,18
boudoir,335
bounce,106
bound,18
boundary,429
boundless,393
bout,101
bow,504
bowl,26
box,504
boy,89
boyfriend,326
boyish,229
bra,141
brace,504
bracelet,139
brag,388
braid,46
brain,122
branch,124
brand,18
bravado,110
brave,393
brazen,218
break,82
breakfast,332
breaking,18
breakup,374
breast,188
breastbone,352
breaststroke,28
breath,80
breathe,80
breathing,80
brew,210
bribe,169
bride,476
bridegroom,476
brieay,18
brief,18
briefcase,194
briefly,18
brighten,283
brightness,447
brilliance,116
bring,377
bristle,238
british,1
broach,297
broaden,211
broil,328
brokenhearte,18
brood,162
brooding,218
brotgewürz,18
broth,26
brother,162
brow,196
browse,157
bruise,117
brush,82
brushstroke,391
bubble,79
buck,445
bucket,506
buckle,82
bud,214
buddy,136
buffet,332
bug,176
build,401
building,137
bullet,196
bully,73
bump,106
bun,331
bundle,82
bunk,62
bunkmate,136
buoy,474
burden,257
burial,96
burn,82
burning,429
burp,312
burrow,336
burst,445
bury,82
business,289
bustle,429
busy,398
butt,149
butter,26
butterfly,214
buttock,196
button,504
buy,289
buzz,221
bypass,445
cab,161
cabin,137
cabinet,137
cable,18
cache,137
cackle,43
café,124
cage,504
cajole,50
cake,386
calculate,424
calf,117
call,343
calligraphy,30
calm,468
calyx,375
came,164
camera,339
camisole,141
camp,18
campaign,18
can,266
cancel,121
candidate,18
candor,110
candy,477
cane,504
canine,38
canvas,391
cap,18
capacity,18
cape,185
capital,479
cappuccino,386
captain,318
captivate,34
captivity,376
captor,89
capture,367
car,161
card,18
care,18
career,318
careful,237
carelessness,143
caress,78
carp,177
carpet,95
carriage,161
carriagemate,18
carrot,22
carry,377
cart,161
carve,82
case,437
casket,86
cassoulet,26
cast,18
castle,422
casual,398
cat,507
catalog,40
catalogue,40
catch,14
catchphrase,120
cater,367
catty,365
cause,74
caution,237
cautious,237
cave,429
cavern,429
cd,1
cease,121
ceiling,242
ceilingward,18
