P0,P1,P2,P3,P4,P5,P6,P7,char_key,persona_label
0.15660101,0.84073555,0.00022449072,1.0299928e-05,5.769361e-06,8.820008e-06,6.5746062e-06,0.002407535,A_Case_of_Two_Cities_0,1
1.932248e-05,8.902691e-06,0.25351143,1.060896e-05,0.4965636,0.24986522,6.909329e-06,1.4071957e-05,A_Case_of_Two_Cities_1108,4
8.359994e-06,0.45152822,5.1499665e-06,0.08215094,1.0434159e-05,0.08658295,4.7014164e-06,0.37970924,A_Case_of_Two_Cities_1198,1
0.7540086,9.640058e-06,1.3616862e-05,1.4787068e-05,1.4895571e-05,1.1277842e-05,0.122632444,0.12329477,A_Case_of_Two_Cities_1653,0
1.0600594e-05,0.19843456,0.8015088,1.1468536e-05,1.1485961e-05,6.0378884e-06,7.090454e-06,1.0022514e-05,A_Case_of_Two_Cities_1698,2
0.13002637,1.3068386e-05,1.0716802e-05,5.7173497e-06,0.5380831,8.862538e-06,0.33184528,6.9043235e-06,A_Case_of_Two_Cities_179,4
5.9732656e-06,0.30349636,1.2472289e-05,0.38003257,7.843461e-06,5.54343e-06,0.31642315,1.6044332e-05,A_Case_of_Two_Cities_181,3
1.4086134e-05,0.18042766,0.37146178,4.5483453e-06,0.44805664,1.4301587e-05,8.406795e-06,1.2548962e-05,A_Case_of_Two_Cities_186,4
1.5747304e-05,0.17662026,9.376021e-06,1.311711e-05,1.6323653e-05,0.12906419,1.0374629e-05,0.6942507,A_Case_of_Two_Cities_191,7
8.257413e-06,1.6651937e-05,8.046731e-06,1.9306823e-05,0.43805936,1.9101846e-05,0.5618502,1.9015784e-05,A_Case_of_Two_Cities_198,6
7.5687008e-06,1.1646081e-05,7.4022187e-06,1.4555582e-06,1.2139216e-05,0.99992514,1.771975e-05,1.6906837e-05,A_Case_of_Two_Cities_200,5
0.008033724,4.9109885e-06,0.019092282,5.803636e-06,6.352892e-06,1.5571193e-06,0.95759237,0.0152629595,A_Case_of_Two_Cities_203,6
6.249046e-06,0.13493693,0.7543085,0.11071345,5.106382e-06,9.625911e-06,8.47131e-06,1.1728007e-05,A_Case_of_Two_Cities_211,2
0.0050831074,0.18889253,0.024571467,1.0514794e-05,0.781416,8.459517e-06,1.0724922e-05,7.14673e-06,A_Case_of_Two_Cities_2158,4
8.644242e-06,0.0450051,9.365169e-06,0.5481989,3.1191562e-06,0.40676197,7.053604e-06,5.9025792e-06,A_Case_of_Two_Cities_216,3
9.732064e-06,0.013051969,6.192546e-06,0.013585937,0.063282,0.9100523,4.062635e-06,7.86645e-06,A_Case_of_Two_Cities_2166,5
5.193186e-06,0.12373656,8.435646e-06,7.393814e-06,4.769227e-06,7.759742e-06,0.87622577,4.1391368e-06,A_Case_of_Two_Cities_219,6
0.7199786,4.7142535e-06,8.309404e-06,5.018297e-06,7.916815e-06,1.92774e-06,0.27998748,6.097534e-06,A_Case_of_Two_Cities_221,0
6.5487297e-06,0.09551806,7.771485e-06,8.928306e-06,0.7466901,1.1313678e-05,1.1280636e-05,0.15774599,A_Case_of_Two_Cities_228,4
0.093416475,1.1680087e-05,0.3037836,6.779814e-06,1.1396719e-05,6.6323105e-06,1.093238e-05,0.6027525,A_Case_of_Two_Cities_232,7
9.333358e-06,0.52006334,9.85627e-06,7.890921e-06,0.07518976,7.964522e-06,0.40470394,7.93755e-06,A_Case_of_Two_Cities_234,1
1.7859278e-05,0.48016927,0.5197498,1.8928282e-05,8.932896e-06,2.98137e-06,1.47730825e-05,1.750852e-05,A_Case_of_Two_Cities_236,2
1.305006e-05,0.32531375,1.6584134e-05,5.142328e-06,6.265555e-06,0.32911372,0.34552604,5.4216885e-06,A_Case_of_Two_Cities_237,6
5.12379e-06,0.9773957,0.009223641,6.770624e-06,3.820124e-06,7.084674e-06,0.006137503,0.007220299,A_Case_of_Two_Cities_243,1
0.5201383,6.629277e-06,1.686403e-05,1.3669547e-05,0.47977653,1.4172459e-05,1.6960932e-05,1.677739e-05,A_Case_of_Two_Cities_244,0
8.690125e-06,1.0574665e-05,1.0075588e-05,5.383906e-06,0.82849866,0.17145057,8.131573e-06,7.884713e-06,A_Case_of_Two_Cities_245,4
5.5689266e-06,3.556568e-06,0.66847616,0.32768863,5.2548014e-05,0.003613722,0.00015718593,2.588517e-06,A_Case_of_Two_Cities_2524,2
1.641731e-05,0.26197624,1.0834666e-05,1.0073923e-05,1.3862706e-05,1.2980983e-05,0.48829594,0.2496637,A_Case_of_Two_Cities_253,6
1.7361057e-05,0.52306056,1.3406683e-05,1.5734717e-05,1.5612626e-05,8.752462e-06,0.4768604,8.206845e-06,A_Case_of_Two_Cities_265,1
0.00014103344,0.000114445145,0.00013423244,0.26475933,4.3026207e-06,0.49098244,4.1569133e-06,0.24386008,A_Case_of_Two_Cities_266,5
1.0461772e-05,0.0043351697,0.9531373,1.0390024e-05,1.6758928e-06,9.796558e-06,0.036439016,0.0060561146,A_Case_of_Two_Cities_270,2
0.2051669,1.41236715e-05,1.2654245e-05,1.4666251e-05,0.36360374,1.3498458e-05,1.5611525e-06,0.43117288,A_Case_of_Two_Cities_271,7
0.00019247479,0.30707085,0.37232092,0.00012421056,0.000104260864,0.31981033,0.0001924734,0.00018447962,A_Case_of_Two_Cities_272,2
7.8161213e-07,0.008775507,1.6975786e-06,0.043503854,7.5798694e-06,2.8198708e-06,0.936043,0.011664729,A_Case_of_Two_Cities_283,6
0.7401112,1.7704928e-05,1.310509e-05,0.25980642,5.2063556e-06,1.1403612e-05,1.747311e-05,1.7487113e-05,A_Case_of_Two_Cities_284,0
0.47601184,1.3761167e-05,5.0695717e-06,9.005432e-06,1.5983052e-05,8.853007e-06,1.3247636e-05,0.52392226,A_Case_of_Two_Cities_285,7
0.00010579233,0.25185245,0.15539268,1.8068444e-05,0.000105925195,0.592402,1.7881663e-05,0.00010523456,A_Case_of_Two_Cities_293,5
