word,count,persona
said,14599,0
had,3934,0
looked,3260,0
told,3113,0
asked,2995,0
took,2391,0
thought,2381,0
saw,2306,0
knew,2187,0
felt,2109,0
have,2075,0
know,1975,0
see,1861,0
turned,1658,0
went,1563,0
wanted,1544,0
tell,1324,0
heard,1321,0
found,1269,0
sat,1267,0
made,1203,0
want,1200,0
put,1193,0
stood,1164,0
left,1144,0
walked,1140,0
came,1131,0
think,1105,0
nodded,1059,0
got,1011,0
tried,981,0
did,951,0
seen,945,0
pulled,938,0
held,923,0
shook,890,0
smiled,849,0
do,835,0
watched,823,0
going,822,0
come,801,0
called,793,0
started,791,0
take,770,0
gave,760,0
let,750,0
reached,705,0
kept,676,0
go,674,0
say,661,0
says,1228,1
said,545,1
know,478,1
have,460,1
has,417,1
looks,369,1
asks,352,1
see,352,1
had,346,1
tell,321,1
want,314,1
told,307,1
say,303,1
takes,278,1
tells,246,1
knows,244,1
asked,216,1
think,214,1
do,213,1
wants,208,1
turns,204,1
thinks,201,1
thought,196,1
get,195,1
sees,191,1
take,188,1
feels,184,1
ask,176,1
wanted,175,1
goes,165,1
go,158,1
took,157,1
feel,150,1
help,149,1
saw,148,1
come,143,1
felt,141,1
going,141,1
makes,140,1
knew,139,1
need,139,1
like,138,1
did,138,1
left,137,1
made,136,1
let,134,1
pulls,132,1
gives,132,1
looked,128,1
seen,128,1
said,2139,2
had,1259,2
have,841,2
know,820,2
told,785,2
see,569,2
tell,512,2
knew,504,2
want,500,2
asked,487,2
wanted,432,2
thought,418,2
looked,403,2
made,391,2
left,389,2
took,372,2
say,370,2
think,370,2
saw,367,2
came,348,2
did,347,2
get,333,2
do,329,2
going,329,2
went,326,2
got,324,2
take,312,2
come,307,2
put,298,2
found,296,2
go,287,2
called,278,2
heard,276,2
seen,264,2
has,259,2
turned,249,2
felt,240,2
need,217,2
died,216,2
gave,211,2
find,206,2
started,202,2
met,196,2
let,196,2
kept,187,2
seemed,183,2
used,182,2
help,177,2
ask,177,2
feel,172,2
know,2515,3
have,2294,3
think,1571,3
said,1485,3
want,1207,3
see,1036,3
tell,1003,3
do,939,3
told,898,3
had,819,3
thought,668,3
get,594,3
go,585,3
say,572,3
take,558,3
need,531,3
going,521,3
like,482,3
heard,441,3
got,428,3
asked,428,3
come,417,3
understand,403,3
mean,393,3
remember,382,3
knew,380,3
believe,347,3
feel,346,3
did,338,3
call,324,3
saw,323,3
wanted,314,3
make,301,3
help,294,3
ask,294,3
find,285,3
put,284,3
seen,278,3
took,277,3
hear,274,3
give,256,3
found,253,3
let,248,3
made,247,3
went,239,3
leave,233,3
read,226,3
look,226,3
called,225,3
looked,221,3
