persona,cluster_id,word,weight
0,994,box,0.4880867898464203
0,990,end,0.47994524240493774
0,964,hurt,0.47047293186187744
0,965,C965,0.46014121174812317
0,988,blessing,0.4535630941390991
0,975,breath,0.40821146965026855
0,984,better,0.3001302480697632
0,652,pass,0.2931661605834961
0,686,telling,0.263649582862854
0,874,worries,0.2606164515018463
0,862,consumed,0.2594202160835266
0,896,broke,0.24011355638504028
0,998,coming,0.23576116561889648
0,996,removed,0.22960370779037476
0,972,interest,0.20289349555969238
0,925,C925,0.20276674628257751
0,997,regret,0.20096340775489807
0,936,express,0.19882483780384064
0,878,C878,0.18050885200500488
0,945,C945,0.1732822060585022
0,80,cover,0.17205946147441864
0,649,needs,0.16750892996788025
0,301,feel,0.16605770587921143
0,902,picture,0.16431590914726257
0,968,C968,0.16384011507034302
0,851,admitted,0.16179664433002472
0,632,clear,0.1591351181268692
0,955,cleared,0.15251901745796204
0,405,mask,0.1512870043516159
0,957,holster,0.148995503783226
0,881,back,0.14770275354385376
0,738,hung,0.14766672253608704
0,954,C954,0.14466914534568787
0,525,misses,0.1427103579044342
0,928,point,0.14000822603702545
0,871,claim,0.1398777961730957
0,883,deal,0.138483926653862
0,970,imagined,0.13460096716880798
0,981,stuﬀ,0.13420577347278595
0,949,treated,0.13322672247886658
0,86,count,0.13206849992275238
0,967,close,0.13130834698677063
0,289,seems,0.13073454797267914
0,978,drove,0.12694232165813446
0,461,C461,0.12555904686450958
0,781,building,0.12412900477647781
0,759,light,0.12087275087833405
0,503,leading,0.12058766931295395
0,911,collected,0.12055450677871704
0,547,sounded,0.11981890350580215
1,969,C969,0.3884007930755615
1,982,mouths,0.3524460792541504
1,990,end,0.28870928287506104
1,910,taken,0.18912887573242188
1,954,C954,0.15937067568302155
1,933,asks,0.1483808159828186
1,992,finished,0.1444476991891861
1,957,C957,0.13223661482334137
1,936,appointed,0.13212484121322632
1,721,set,0.13182522356510162
1,996,removed,0.13143464922904968
1,964,hurt,0.12472075968980789
1,830,guided,0.12242250144481659
1,995,torn,0.12145434319972992
1,976,involved,0.10932348668575287
1,998,coming,0.10901537537574768
1,979,hate,0.10884766280651093
1,367,startled,0.1054963544011116
1,155,flattered,0.10475306212902069
1,940,stare,0.10009326785802841
1,970,imagined,0.09873904287815094
1,977,C977,0.09844043105840683
1,825,respond,0.09579696506261826
1,991,hits,0.09519783407449722
1,975,elbows,0.09265607595443726
1,871,claim,0.09193640947341919
1,917,swung,0.08894918859004974
1,805,marry,0.0825926810503006
1,879,ate,0.08240409940481186
1,649,needs,0.08037231862545013
1,931,meant,0.07890421897172928
1,951,sets,0.07444822788238525
1,887,drink,0.07325484603643417
1,924,C924,0.07298681885004044
1,876,insisted,0.07090890407562256
1,942,C942,0.06901215761899948
1,608,discussed,0.06713792681694031
1,968,books,0.06450545787811279
1,652,pass,0.06413756310939789
1,905,knees,0.06329070031642914
1,4,brings,0.06250930577516556
1,904,C904,0.06194547563791275
1,853,knocked,0.06044138967990875
1,249,filled,0.05963565781712532
1,819,begged,0.05872680991888046
1,859,gaze,0.05833975225687027
1,838,leaning,0.058046407997608185
1,908,seem,0.05723828822374344
1,446,worried,0.05691728740930557
1,784,C784,0.05639050900936127
2,990,end,0.24048888683319092
2,996,removed,0.23285257816314697
2,994,C994,0.19268986582756042
2,991,hits,0.15783053636550903
2,979,hate,0.1336228996515274
2,945,C945,0.12198058515787125
2,998,coming,0.11123448610305786
2,925,coloring,0.10992808640003204
2,957,C957,0.10743201524019241
2,853,knocked,0.09659107029438019
2,934,C934,0.09379913657903671
2,967,close,0.09189552068710327
2,978,drove,0.08901568502187729
2,993,entered,0.08670689165592194
2,641,paid,0.0851508155465126
2,768,run,0.08343638479709625
2,964,hurt,0.0833285003900528
2,975,C975,0.0823809802532196
2,972,interest,0.07715149223804474
2,956,understood,0.0747029259800911
2,819,begged,0.06334812939167023
2,830,guided,0.06242187321186066
2,713,sitting,0.062016528099775314
2,868,remained,0.059910546988248825
2,965,C965,0.0596962608397007
2,984,better,0.05741521716117859
2,936,dump,0.057168297469615936
2,896,broke,0.05580751597881317
2,627,C627,0.0550675243139267
2,989,forget,0.0545312762260437
2,588,dressed,0.05256536602973938
2,941,C941,0.05255933851003647
2,954,C954,0.05189935117959976
2,155,alarmed,0.048487693071365356
2,963,failed,0.047939468175172806
2,80,burdened,0.04395589604973793
2,883,deal,0.04316691309213638
2,949,treated,0.04302095249295235
2,902,picture,0.04255390167236328
2,862,consumed,0.04182158410549164
2,649,needs,0.04054593667387962
2,871,claim,0.03973681479692459
2,708,meet,0.03787977620959282
2,920,putting,0.037546269595623016
2,968,C968,0.03734053671360016
2,903,C903,0.03683030605316162
2,831,listed,0.036352574825286865
2,970,imagined,0.03555130958557129
2,707,faint,0.035425662994384766
2,888,chosen,0.03375130146741867
3,988,tutor,0.5503195524215698
3,990,end,0.47878479957580566
3,995,crying,0.43472686409950256
3,933,asks,0.3610139489173889
3,964,hurt,0.2874498963356018
3,976,involved,0.2381504625082016
3,965,C965,0.2342875599861145
3,936,express,0.21061784029006958
3,907,breathing,0.20792730152606964
3,652,pass,0.20491734147071838
3,984,C984,0.19534680247306824
3,972,interest,0.1884242594242096
3,649,needs,0.18502932786941528
3,929,kisses,0.18443521857261658
3,993,entered,0.16922537982463837
3,819,begged,0.16226577758789062
3,932,waiting,0.1607910841703415
3,975,elbow,0.1571868360042572
3,957,C957,0.15588495135307312
3,954,anger,0.1557634472846985
3,906,pay,0.1445942521095276
3,871,exchange,0.14008139073848724
3,896,broke,0.13928695023059845
3,925,C925,0.13907021284103394
3,940,stare,0.13420769572257996
3,952,fear,0.13410717248916626
3,961,sweep,0.13151533901691437
3,802,C802,0.1311534345149994
3,982,C982,0.12487789988517761
3,968,C968,0.12154456228017807
3,979,hate,0.12130662798881531
3,956,understood,0.11945302784442902
3,970,imagined,0.11743319034576416
3,966,C966,0.1168210580945015
3,912,collects,0.11499123275279999
3,944,surrounded,0.1126890555024147
3,516,answers,0.11032378673553467
3,947,owe,0.10652243345975876
3,909,C909,0.10342863202095032
3,883,deal,0.0994935855269432
3,908,seem,0.09809829294681549
3,859,gaze,0.09639361500740051
3,989,forget,0.09614254534244537
3,734,distress,0.09594546258449554
3,928,point,0.09592240303754807
3,744,betrayed,0.0952308177947998
3,709,play,0.09406785666942596
3,980,bear,0.08453971147537231
3,998,coming,0.08372064679861069
3,991,hits,0.07905872911214828
