n_personas,persona,role,word,weight
7,0,agent,laugh,0.013391158
7,0,agent,shake,0.0010364274
7,2,agent,wear,0.016312802
7,4,agent,throw,0.004202864
7,5,agent,forgot,0.022938557
7,6,agent,talk,0.016791679
7,6,agent,play,0.008147086
7,0,patient,guide,0.044832077
7,0,patient,need,0.02008574
7,0,patient,grab,0.01875212
7,0,patient,place,0.011390498
7,1,patient,thought,0.029819185
7,1,patient,contact,0.013286557
7,2,patient,spare,0.014099238
7,3,patient,pick,0.01884512
7,3,patient,forbid,0.017536998
7,3,patient,lift,0.015250747
7,3,patient,eyed,0.013977237
7,3,patient,avoid,0.011603277
7,4,patient,prevent,0.0064413026
7,4,patient,dress,0.004015395
7,5,patient,come,0.049850542
7,5,patient,burning,0.046098217
7,6,patient,serve,0.03676446
7,6,patient,shake,0.016965043
7,6,patient,write,0.010620879
7,2,possessive,qipao,0.11447317
7,2,possessive,window,0.10403997
7,5,possessive,jacket,0.098496445
7,5,possessive,breathing,0.0852503
7,6,possessive,cup,0.08801075
7,2,predicative,naked,0.008962401
7,2,predicative,youth,0.0025978961
7,3,predicative,impressed,0.008997716
7,4,predicative,girlfriend,0.0065309126
7,4,predicative,cousin,0.0018202886
7,5,predicative,self,0.002540245
7,6,predicative,guest,0.0009832645
