n_personas,persona,role,word,weight
5,0,agent,shake,0.006286774
5,1,agent,lie,0.0218436
5,3,agent,laugh,0.0018594095
5,4,agent,cast,0.01459464
5,4,agent,talk,0.010164311
5,4,agent,play,0.004841117
5,4,agent,start,0.003949952
5,0,patient,shut,0.01356604
5,0,patient,pick,0.010886188
5,0,patient,enter,0.009845458
5,1,patient,guide,0.009608671
5,2,patient,lift,0.043605078
5,2,patient,thought,0.013237574
5,2,patient,lose,0.0073695164
5,2,patient,prevent,0.006518745
5,3,patient,lead,0.047732532
5,3,patient,surprise,0.025289679
5,4,patient,release,0.027537353
5,4,patient,wake,0.021979988
5,4,patient,match,0.012028001
5,0,possessive,cane,0.092814125
5,2,possessive,cup,0.107647955
5,4,possessive,tone,0.14612508
5,4,possessive,career,0.10473955
5,0,predicative,cousin,0.0048609683
5,1,predicative,crazy,0.017713081
5,1,predicative,vulnerable,0.015480055
5,2,predicative,cautious,0.01092044
5,2,predicative,type,0.0023735978
5,3,predicative,shy,0.034032367
5,3,predicative,widow,0.007424514
5,3,predicative,youth,0.006020349
5,4,predicative,student,0.011621527
6,1,agent,use,0.08048256
6,1,agent,forgot,0.016111208
6,1,agent,show,0.0055481456
6,1,agent,die,0.0022982215
6,3,agent,throw,0.012995391
6,4,agent,eat,0.0024273496
6,0,patient,come,0.03394644
6,0,patient,judge,0.027706861
6,0,patient,guide,0.020591846
6,1,patient,need,0.045305397
6,1,patient,dress,0.013006913
6,1,patient,punch,0.003072137
6,2,patient,fool,0.016396942
6,2,patient,lecture,0.009027961
6,2,patient,chase,0.007678982
6,3,patient,lift,0.021132328
6,3,patient,drop,0.014984713
6,4,patient,thought,0.018271139
6,5,patient,surprise,0.036382236
6,5,patient,accusing,0.007222933
6,0,possessive,shirt,0.12373713
6,0,possessive,cigarette,0.121123284
6,0,possessive,business,0.120533206
6,0,possessive,cane,0.11523295
6,1,possessive,gate,0.115705274
6,1,possessive,cup,0.10661074
6,1,possessive,desk,0.09792202
6,1,possessive,best,0.07579123
6,2,possessive,breathing,0.12922657
6,2,possessive,leg,0.10203743
6,3,possessive,qipao,0.1431022
6,3,possessive,maid,0.106228046
6,5,possessive,child,0.08382279
6,0,predicative,shy,0.006793792
6,0,predicative,partner,0.0003492033
6,3,predicative,youth,0.027800377
6,3,predicative,worker,0.024655718
6,3,predicative,self,0.004206608
6,3,predicative,dancer,0.0040299916
6,4,predicative,student,0.0059749773
7,0,agent,laugh,0.013391158
7,0,agent,shake,0.0010364274
7,2,agent,wear,0.016312802
7,4,agent,throw,0.004202864
7,5,agent,forgot,0.022938557
7,6,agent,talk,0.016791679
7,6,agent,play,0.008147086
7,0,patient,guide,0.044832077
7,0,patient,need,0.02008574
7,0,patient,grab,0.01875212
7,0,patient,place,0.011390498
7,1,patient,thought,0.029819185
7,1,patient,contact,0.013286557
7,2,patient,spare,0.014099238
