word,cluster_id
ask,68
call,8
charge,76
collaborate,7
compete,19
cooperate,29
do,68
doing,36
find,10
had,48
have,120
help,76
know,68
looked,48
need,120
put,31
respond,84
return,46
said,8
say,23
spoke,6
talk,6
tell,68
turn,31
want,68
wish,68
answer,84
blame,23
came,48
come,57
cut,31
discuss,6
experienced,120
explain,10
felt,36
go,57
going,57
got,57
interpret,62
join,29
keep,18
like,36
make,107
read,12
remember,68
sat,101
saw,48
see,68
shopping,30
stay,18
stood,48
take,19
think,36
wanted,36
wearing,82
asked,8
bear,120
believe,23
getting,57
grow,25
insisted,8
left,21
look,98
married,66
push,31
run,57
thought,36
accomplish,45
arrange,107
arrived,96
boast,107
catch,57
check,30
choose,117
deserve,68
doubt,23
enjoyed,48
escort,46
feel,36
give,107
guess,36
handed,107
insist,23
lay,101
leaving,57
mean,68
meet,6
overheard,52
place,76
promise,120
provide,107
reach,45
seem,36
shop,30
shot,33
sitting,101
speak,6
stole,22
stop,72
suffering,120
thank,93
thinking,36
try,57
understand,68
use,117
wait,68
waiting,57
accept,19
act,30
apply,117
arrive,96
become,120
bring,107
change,120
clutched,77
coming,57
decide,98
disappear,5
get,107
gone,57
happen,68
interview,8
kill,3
lain,101
leave,46
listen,53
mention,68
missing,120
poison,20
realize,68
remained,18
rent,117
shut,57
start,57
utter,69
vanished,96
warm,57
work,76
achieve,45
acting,8
agree,23
allow,107
appear,120
buy,117
create,45
cry,42
crying,14
expect,23
gain,45
hit,33
hold,19
hope,23
let,68
live,53
lose,120
love,68
matter,68
miss,68
overwhelmed,59
possess,117
pretend,68
rank,30
reply,84
rise,2
s,30
scream,90
set,57
stand,101
watch,53
watching,53
admit,68
continue,18
fear,39
fetch,107
hate,95
living,120
marry,66
repair,76
repeat,30
sleep,50
slip,5
sob,14
standing,101
undo,3
bit,36
engage,29
saying,8
thrust,31
advise,23
alter,62
approach,36
argue,23
assume,23
ate,60
avoid,103
beat,71
behave,62
belong,68
bent,54
bet,119
bleeding,51
blink,44
blush,44
bother,68
break,31
burst,57
care,120
carry,19
cherish,68
clean,13
concentrate,100
confuse,62
consume,117
content,30
control,30
count,120
creep,5
dance,37
dare,68
demand,120
die,120
dig,10
discard,117
drank,109
draw,107
dream,36
dress,82
drink,109
drop,2
eat,60
eaten,60
eating,60
end,21
endure,120
enjoy,68
enter,46
escape,10
examine,6
face,120
fall,2
feed,81
feeling,36
fight,120
fill,117
finish,28
fish,120
fold,31
follow,19
force,76
forget,68
forgive,56
forgot,68
free,30
frightened,59
froze,48
gaze,73
grasp,10
hear,68
hesitate,68
hide,86
hurt,120
imagine,98
intend,23
introduce,107
invite,29
kick,33
knelt,14
land,76
last,57
laugh,58
learn,10
lie,101
linger,18
making,57
manage,45
marvel,4
match,71
meeting,6
mold,20
move,31
notice,8
obey,65
offer,107
open,57
organize,45
overcome,35
pass,21
perform,37
pick,31
practice,21
prevent,103
pull,31
raise,107
react,62
reading,12
recall,68
receive,107
recognize,68
relinquish,46
rely,117
remain,18
remind,68
repay,56
resemble,20
resist,72
respect,68
restrain,72
retreat,5
rid,72
save,107
scolding,8
sell,117
sense,36
serve,117
shake,31
shout,58
sit,101
slipping,5
smell,74
smile,102
snap,31
speaking,8
spend,19
spill,43
split,57
stare,101
stroke,21
struggle,120
submerge,13
suffer,120
survive,120
suspect,30
swallow,41
taste,20
teach,68
tease,16
throw,33
toast,20
tolerate,72
trace,10
train,76
travel,40
treat,117
tremble,83
trembling,83
trod,89
twisted,54
untie,10
visit,40
wake,57
walking,55
wander,55
warn,39
wear,82
wept,14
whisper,42
win,71
wince,44
wonder,68
write,12
advance,30
attend,29
bare,54
cross,21
dancing,37
drape,54
hang,31
ignore,62
bathe,13
brush,13
coax,27
guide,30
joke,58
kiss,58
resume,19
show,30
lift,31
ready,57
walk,55
abandon,46
accompany,19
admire,4
adore,95
advertise,117
afford,68
alert,30
announce,6
apologize,68
appreciate,4
back,21
battle,120
beg,68
begin,19
benefit,120
betray,68
bid,76
bite,41
bounce,21
breathe,34
breathing,34
broaden,15
burn,38
cast,30
challenge,76
channel,30
claim,23
clap,37
climb,126
cling,31
close,21
collect,107
compare,10
complete,76
conclude,23
congratulate,93
conquer,10
consider,98
cook,60
copy,12
crack,31
crush,3
cultivate,25
decline,2
deliver,45
denounce,49
depart,46
depend,23
describe,10
detect,127
develop,45
devote,100
dial,30
direct,30
disagree,23
discover,10
dislike,95
disregard,62
earn,88
educate,27
embrace,68
encourage,27
envy,95
establish,45
excuse,20
exhale,34
exist,120
experience,36
explode,5
express,7
fail,120
figure,76
fire,38
fix,10
flirt,16
float,5
flow,57
focus,100
forbid,72
gather,10
glance,44
glide,91
grab,31
grant,76
head,21
hug,102
hurry,57
identify,10
imitate,62
interrupt,72
jump,2
knock,31
labor,120
lack,120
leaf,54
leak,43
locate,10
mount,31
name,30
neglect,120
nod,20
occupy,46
order,30
owe,68
pack,57
packing,57
paint,76
pause,36
pay,107
phone,8
plan,76
play,21
playing,57
point,21
portray,27
pour,31
powder,20
praise,8
pray,68
predict,23
prepare,19
press,8
proceed,19
project,76
promote,45
prove,10
punish,72
quit,46
racing,28
rebuff,8
recite,37
reconnect,7
refuse,23
regret,68
remarry,66
report,110
represent,107
resent,95
retching,90
retire,46
ride,17
rush,57
scatter,31
select,117
send,107
share,120
shoot,33
sing,37
singing,37
skip,46
slaughter,81
slow,57
smash,33
smiling,102
speed,57
spending,120
spread,57
squat,11
squeeze,31
starve,81
stick,31
stitch,94
stretch,21
suggest,23
supervise,19
suppose,36
surrender,46
swim,70
thicken,13
tie,21
touch,21
transfer,117
trust,120
unbutton,63
undertake,19
unfold,53
venture,76
view,36
volunteer,76
wash,13
waste,76
weep,14
whip,31
withhold,107
witness,76
worry,39
worship,76
writing,12
yell,58
attribute,23
dry,13
exhausted,59
flood,120
lead,21
lower,2
remade,20
undressed,63
asking,8
calm,35
cheer,58
chew,41
eyed,48
foresee,23
kneeling,14
leapt,48
letting,57
loveyou,30
mistake,8
mistook,48
pronounce,68
rang,48
re,30
sound,20
strip,30
swear,68
text,30
water,13
wet,13
wind,57
blackmail,22
clung,48
lean,21
planning,76
associate,76
binding,30
burning,38
capture,45
disengage,46
ground,21
quarrel,61
step,76
bankrupt,120
prefer,23
steal,22
strike,120
request,8
flinch,44
wandering,55
build,45
long,120
deny,23
earning,88
memorize,37
protest,49
quiz,84
slit,54
glowed,48
risk,120
bully,16
saving,120
sobbing,14
soothe,35
cause,120
maid,105
snort,58
spat,61
approve,19
cost,120
mind,36
scold,16
steam,57
acknowledge,23
add,107
assemble,45
begrudge,95
chat,30
cheat,16
confess,68
confide,16
confirm,6
convert,45
convince,27
correct,30
crumpled,77
cure,20
deviate,62
dip,2
dismiss,62
disturb,72
drift,5
eavesdrop,75
entertain,107
entrust,19
explore,6
fend,3
graduate,105
hadn,68
influence,106
kneel,101
lick,41
mop,13
narrate,6
own,30
park,76
peek,64
persuade,27
picture,76
poke,16
prevail,18
qualify,28
reclaim,45
rejoin,29
relaxed,35
rest,57
retch,58
sew,94
smooth,35
sniff,74
squirm,58
stalk,16
stress,120
stumble,5
summon,10
teaching,105
tighten,31
tiptoe,114
trail,76
trot,17
tutor,105
vanish,5
welcome,107
yearn,69
bound,57
declare,19
determined,23
drive,57
rebel,123
replies,84
row,21
scan,30
upset,71
caution,23
emerge,10
greeting,8
complain,39
envisage,98
form,30
host,76
lock,31
opening,57
reread,12
ring,54
seek,107
settle,46
shift,31
snoring,50
spot,21
stir,31
ﬁll,117
ﬁx,30
contact,30
hearing,8
judge,8
manipulate,62
master,76
quality,30
shu田ed,30
sign,30
store,30
support,76
teasing,16
threaten,39
wound,21
ﬁnd,10
ﬁt,30
pointing,8
require,107
restore,45
address,84
knitting,94
leap,2
post,21
handle,19
longing,69
sulk,101
block,72
misread,62
recast,10
counting,57
drag,31
fit,30
forward,21
lend,107
lent,107
liking,36
meaning,120
object,76
rack,31
rescue,76
shield,103
study,110
tan,54
unwound,5
beckon,5
defend,19
knit,94
reappear,5
sacrifice,120
sort,36
fry,60
offering,107
overhear,52
murder,87
refrain,72
