word,cluster_id
approach,6
ask,4
keep,59
know,36
pull,59
saw,12
see,35
speak,63
left,22
phone,51
show,20
take,28
tell,35
thank,56
try,4
call,35
remember,56
wake,18
accompany,63
blame,53
concerned,36
convince,21
cover,20
cut,59
drive,22
escort,44
find,35
help,20
invite,63
join,63
leave,30
meet,63
missing,22
offend,7
reach,30
run,22
steady,18
stop,4
treat,63
warning,23
admire,5
asked,36
asking,23
bring,28
comfort,18
deliver,28
determined,20
force,20
get,4
harm,0
have,20
kidnapping,17
kill,17
marry,14
marrying,14
mention,56
occupy,30
persuade,21
place,20
press,20
put,59
recognize,45
relocate,30
scare,42
send,28
shelter,18
shield,19
shut,59
trace,29
visit,63
warn,10
watching,34
whisked,44
answer,20
educate,10
give,28
greeting,44
looked,12
love,5
reply,62
slap,59
explain,45
protect,19
repeat,4
sat,12
thought,36
watch,34
entertain,15
had,12
allow,28
bathe,44
beat,54
beg,4
bend,6
bite,44
bore,20
bully,4
caress,44
carry,28
check,20
clean,20
coax,21
confuse,42
content,20
control,6
cool,18
do,4
dress,27
encourage,10
enter,30
face,16
feel,36
fill,22
fit,20
follow,1
forgive,41
free,20
frightened,26
got,12
grab,59
hate,5
heal,37
hear,35
hit,22
hold,59
hurry,4
hurt,0
ignore,45
impressed,31
inform,10
inspect,63
interest,20
kiss,44
lead,22
leaving,22
let,4
lift,59
look,35
lose,4
lower,18
making,3
married,14
miss,4
move,30
nag,4
need,4
obey,40
observe,63
overwhelmed,26
pass,22
penetrate,37
pick,59
precede,1
read,57
remind,10
respect,20
rest,18
restrain,37
return,30
scared,26
serve,28
stood,12
submerge,37
supervise,63
taunt,7
teaching,57
tease,35
tide,18
touch,6
trust,20
turn,59
uncurl,6
undress,50
undressed,50
use,28
violate,24
walk,22
want,4
wanted,36
wash,44
welcome,35
collect,29
make,3
replace,37
scolding,53
excuse,4
fetch,29
gone,22
throw,59
abandon,41
advertise,28
advise,10
appreciate,45
arouse,32
assign,28
avoid,38
back,18
believe,36
betray,37
block,22
bother,4
buffet,44
calm,26
cheer,35
close,22
command,6
compare,35
congratulate,56
connect,63
contact,20
contain,37
correct,20
defend,16
disappoint,35
disown,52
display,20
disrespect,2
divorce,14
doubt,36
drag,59
drop,30
embarrass,7
embrace,41
exhausted,26
expect,4
experience,20
express,63
fight,16
fire,33
