word,cluster_id
apartment,74
ass,58
assistant,12
assumption,175
attendance,132
body,212
business,132
career,72
case,132
company,132
connection,118
cooperation,118
death,79
effort,87
face,61
family,25
file,132
glass,49
hand,212
home,132
husband,25
knowledge,118
level,132
life,72
loneliness,162
man,3
marriage,149
murder,79
name,72
number,132
office,132
pack,132
part,132
picture,30
position,4
radiating,129
reaction,4
record,132
relationship,174
reputation,72
room,75
shadow,4
show,132
son,15
spoon,128
talk,32
voice,251
work,132
wrist,57
ankle,8
bag,54
bare,61
boss,12
chin,212
city,132
expression,72
government,132
hair,17
help,87
identity,72
inclination,44
laptop,50
luck,32
machine,132
mind,32
mission,87
mother,15
nearness,162
observation,175
partner,12
phone,110
place,132
plan,121
reading,214
residence,74
responsibility,4
spine,19
time,132
watch,32
attention,5
bowl,147
childhood,72
circle,61
decision,44
door,24
fate,37
father,180
forehead,212
head,12
idea,32
job,132
presence,118
rice,137
shoulder,57
thinking,32
use,132
way,32
something,32
approval,161
arrival,101
attitude,228
balance,4
berth,4
best,32
blouse,63
book,214
card,132
chinese,73
choice,4
comment,246
cooking,209
culture,72
cup,219
defense,4
department,132
desk,75
dress,11
elbow,57
escort,101
experience,118
fault,4
finger,92
fu,18
gibe,98
handbag,54
handwriting,117
headquarters,21
heart,212
hotel,74
impression,35
interest,44
mouth,212
neck,57
necklace,208
participation,118
poet,158
purse,38
response,110
safety,132
side,132
skin,17
status,72
stay,88
supervisor,197
surprise,32
tea,147
teacup,147
trip,101
visit,101
wife,25
action,132
appearance,101
application,109
armband,139
baby,165
back,132
background,118
beauty,221
belly,62
brother,7
carp,189
certificate,161
change,4
cheek,212
convenience,132
description,175
disappearance,79
dossier,110
explanation,97
expressionless,217
favorite,32
fingertips,92
future,132
hostility,233
house,75
infant,165
insistence,44
intention,44
lack,44
misery,37
money,132
need,87
neighbor,25
passport,40
pregnancy,165
question,32
reason,32
relative,132
request,110
rescue,88
risk,4
senior,132
shred,61
situation,4
sleeve,139
toil,88
vacant,132
village,72
visa,40
whereabouts,216
will,132
wish,87
yuan,226
aim,87
argument,175
beautiful,221
beg,87
belief,175
bitterness,233
bun,147
condition,132
distress,168
dowry,224
dream,72
fiancé,25
grandfather,180
grip,61
hard,32
health,132
nose,212
own,132
reach,132
sacrifice,72
sentence,85
sister,7
strength,4
tone,247
breath,251
chair,12
dear,72
example,4
panic,168
press,110
shirt,139
table,132
team,190
throat,62
wedding,225
writing,214
address,110
grace,228
pronunciation,23
aggression,233
agreement,135
anger,9
anxiety,168
appetite,44
arm,57
armory,132
armpit,141
attachment,132
ba,18
bed,80
bedcover,129
bedroom,20
behavior,228
being,132
belt,139
birth,165
birthday,15
blanket,139
bleeding,122
blood,212
bonesetter,132
box,132
breast,70
breathing,75
bride,225
bridegroom,225
brow,71
brush,61
bucket,82
cage,24
car,99
cheongsam,255
chest,141
child,165
cigarette,169
comfort,228
confusion,81
control,132
conversation,110
curiosity,14
curve,4
cycling,99
daughter,15
day,132
debt,132
destiny,72
direction,4
disrespect,233
distraction,4
dou,18
duty,132
embarrassment,37
emptiness,162
enjoyment,127
excitement,127
eye,212
fear,168
fist,212
flesh,212
flower,29
focus,4
food,115
foot,212
friend,157
front,132
fury,9
gaze,83
guilt,218
hairbrush,54
hatred,233
headdress,150
height,132
hip,57
hold,61
hour,132
hunger,162
i,73
ignorance,146
imagination,14
influence,118
innocence,218
invitation,110
jacket,139
jailer,197
jewelry,31
journey,101
kiss,156
knee,8
lap,172
leaving,88
left,88
leg,57
leisure,132
lifestyle,72
lifetime,72
lip,212
lipstick,17
loll,80
lunch,115
maid,142
makeup,17
memory,132
mistress,25
mood,247
nail,61
one,132
pain,179
palanquin,181
palm,212
party,132
past,132
permission,161
plate,132
posture,228
present,132
pride,127
prison,85
profile,132
progress,4
pulse,212
recovery,4
reflection,32
return,88
right,32
robe,150
role,4
rudeness,146
sadness,67
scar,116
school,39
seat,132
secret,32
shame,37
shawl,150
shock,78
shyness,162
sight,32
silence,251
silhouette,34
sitting,88
sleep,80
smile,46
spirit,14
standing,88
state,132
stink,251
stole,237
stomach,62
story,198
stride,61
suffering,88
suffocation,140
suite,75
supper,65
survival,72
suspicion,168
temple,181
thigh,8
thought,32
thumb,92
ticket,132
tongue,212
town,132
tray,128
turn,61
unease,168
vision,121
volition,162
waist,141
wardrobe,51
water,114
weight,132
willingness,44
window,24
wine,239
worktable,128
world,132
wound,61
year,132
activity,132
benefit,4
dance,104
desire,44
facade,21
objective,87
photograph,30
shout,251
sibling,7
stool,80
suitor,236
triumph,4
understanding,118
upbringing,72
walk,88
warning,110
advice,175
balm,147
concern,207
crying,251
errand,144
garden,29
kindness,68
laundry,20
ointment,107
reproof,5
singing,104
smell,134
coat,139
look,32
speech,110
youth,132
ability,44
absence,4
accent,182
act,132
actress,188
admiration,5
affection,5
age,72
agent,12
analysis,36
animation,95
answer,110
association,1
audience,132
aunt,15
awkwardness,162
basket,82
bedside,69
behalf,132
biographer,158
boldness,48
boyfriend,25
brain,212
burial,77
cabinet,132
calligraphy,95
casket,176
cave,75
cell,132
ceremony,156
chairman,12
chance,87
character,198
chief,12
cleverness,228
color,129
command,132
commitment,44
comrade,157
concentration,4
concubine,163
core,132
costar,188
costume,51
country,132
courage,48
crane,21
cry,251
curse,37
daring,48
departure,89
dependence,4
despair,162
dignity,228
disappointment,207
discontent,9
dislike,199
distaste,199
doctor,69
draft,121
driver,99
ear,10
earthness,228
eat,115
elation,127
emotion,67
end,132
enemy,4
ex,132
fade,61
faith,44
fame,72
fan,32
feeling,35
fever,131
follower,72
frustration,207
girl,3
goal,87
grandmother,15
guess,32
handkerchief,139
hat,139
headache,179
heroine,198
hibernation,61
history,132
hometown,72
hope,87
horse,172
image,30
importance,4
impress,61
imprisonment,85
instinct,191
insult,235
intelligence,118
interpretation,175
interrogation,100
jaw,212
keeper,59
key,4
land,132
laughter,127
leader,12
leadership,118
lecture,214
lesson,32
letter,110
limit,132
longing,162
lot,32
love,14
lover,25
loyalty,14
luggage,54
map,121
membership,132
mentor,103
message,110
method,175
misfortune,37
mistake,4
move,4
mug,30
nature,4
nervousness,168
night,132
nightmare,37
nora,132
note,110
novel,198
oath,100
opera,104
opinion,175
opportunity,87
opposition,4
order,132
passion,14
path,121
pen,66
people,132
performance,4
personality,228
pet,143
photographer,43
ping,18
plant,124
player,190
pleasure,127
pocket,54
point,4
popularity,185
power,132
presumption,175
promise,44
pursuit,87
rage,9
rally,132
reality,32
recuperation,101
refusal,44
regret,67
rejection,44
reliability,4
representative,12
resentment,9
ring,132
rival,132
roommate,157
sanity,228
scarf,150
scene,132
schoolbook,214
sense,35
shape,61
shiver,28
signature,132
size,132
skill,84
sky,129
soul,72
spot,132
squad,190
staff,132
stage,132
stick,61
strategy,121
stretcher,76
struggle,4
study,36
style,34
suit,132
sunshine,64
support,118
sword,45
talent,84
teaching,39
tension,168
title,132
tooth,212
torvald,72
townsman,72
trade,132
treatment,69
tremble,28
trouble,4
truck,99
uncle,180
underwear,51
uniform,139
unit,132
view,175
villa,74
virtue,72
wall,202
adolescence,111
aloud,251
brand,132
complexion,17
cunt,58
dick,58
dig,61
distance,132
fingertip,92
fuck,58
gesture,98
grandma,180
hangout,187
jump,52
much,32
navel,93
neat,32
nest,189
phase,132
repast,115
saliva,106
scent,134
space,75
subconscious,162
sympathy,5
touch,61
auricle,212
backpack,22
bathroom,20
bra,51
burning,88
class,132
clavicle,201
coffee,169
collapse,231
copy,214
cousin,7
deviation,4
devotion,14
dictionary,214
discomfort,179
doing,32
dose,248
first,132
flight,90
fragility,162
garment,255
girlfriend,25
god,72
green,129
greeting,156
grief,67
guide,132
happiness,127
hoodie,139
ignite,61
killer,79
medication,248
midsection,141
mine,132
mirror,30
nerve,212
nipple,70
obedience,228
obsession,33
paunch,17
pee,58
perception,35
perfection,228
piano,104
possession,132
psychiatrist,69
racing,172
reasoning,175
rebellion,233
resignation,89
sacrum,19
sake,32
screen,120
skirt,63
solitude,162
soup,209
stop,61
stream,132
suitcase,54
sweater,139
sweatshirt,139
tart,147
twin,132
verdict,85
vibrate,145
vpn,73
vulva,93
waiting,88
zeal,14
album,138
briefcase,54
building,21
call,110
charm,228
climax,198
companion,157
date,132
dead,88
demand,132
destination,101
destruction,231
dorm,75
exception,4
floor,75
magnanimity,68
neighborhood,144
report,36
self,132
sole,132
street,144
unpopularity,185
account,132
chef,209
colleague,157
coverall,63
credit,132
critique,98
element,4
exploration,222
extension,135
figure,132
fine,132
inspector,197
interview,110
investigation,36
language,39
meeting,110
model,132
nap,80
nape,212
parting,61
peiqin,132
policewoman,197
ponytail,17
research,36
seminar,214
shift,4
suggestion,98
tape,132
theory,175
undertone,247
vacation,101
worth,132
education,39
offer,132
problem,4
repartee,41
reply,110
salary,232
saucer,147
suspect,3
wristwatch,208
alibi,100
attorney,60
churchgoing,72
contribution,4
income,132
infidelity,33
itinerary,101
meaning,132
motive,175
remark,98
satchel,54
schedule,121
secretary,12
surname,72
system,132
take,61
wealth,72
drink,169
glance,32
hui,18
restaurant,187
amah,72
assurance,118
boundless,14
brightness,164
cloth,255
muzzle,212
neckline,63
pale,129
playroom,75
ribbon,129
sparkle,221
tug,61
washerwoman,72
agenda,121
care,132
conviction,85
courtyard,24
den,75
ghost,72
gold,129
hydrangea,29
protection,132
tail,212
tunic,150
alert,132
bargain,132
bodice,160
cane,212
clothing,51
deed,72
entourage,101
entry,132
grandson,15
impatience,207
liu,18
pot,147
reincarnation,72
teapot,147
vow,44
altar,181
café,187
gambler,72
gown,63
patron,12
pillowcase,27
value,132
wing,120
classmate,157
eagerness,44
english,73
pidgin,23
wastebasket,54
word,32
barrel,132
bidding,132
domain,132
fuss,32
recipe,209
bedding,27
embroidery,167
employer,132
form,132
fur,255
sewing,167
timing,4
betrothal,149
betrothed,149
demeanor,228
friendship,174
information,118
niece,15
training,132
yang,18
advertisement,110
afternoon,132
apron,139
board,132
bond,132
boy,3
bracelet,208
checkerboard,129
club,190
coach,190
coffin,176
composure,228
contract,135
cot,80
cuff,212
delight,127
disgust,207
drawer,54
entire,132
escape,88
factory,124
fox,189
freedom,72
game,26
graduation,53
granddaughter,15
gratitude,5
headmistress,39
hearing,110
heartbeat,251
hesitation,4
homework,220
jialing,18
jug,49
keep,61
kinswoman,132
library,75
ling,18
livelihood,72
living,72
mama,125
meal,115
news,110
notebook,50
offering,132
outing,101
pace,4
patch,61
pencil,66
penmanship,117
piece,132
pigtail,129
pillow,27
prey,189
prize,132
protagonist,198
quickness,84
race,172
receipt,132
recitation,104
relief,88
servant,72
share,132
shopping,132
sightseeing,101
skull,212
spell,61
tablet,50
task,4
telegram,110
testimony,100
trail,132
trunk,42
twisting,61
undershirt,139
visitor,101
vulnerability,4
wariness,168
welcome,132
collection,132
dressmaker,167
furniture,20
gait,228
salon,187
vase,29
auntie,7
bath,20
intake,132
law,121
paint,129
painting,95
perspective,118
poem,158
shell,61
sling,57
vern,132
grandchild,15
portrait,30
scalp,212
church,132
shop,187
aloofness,228
appeal,132
asking,87
beat,26
bunk,80
coolie,72
detachment,228
eating,115
mattress,27
potato,137
article,214
blog,214
footed,206
mention,32
rang,88
beer,169
introduction,132
surfing,132
annoyance,207
approach,4
aute,132
blackberry,73
brieay,132
conclusion,175
countersignature,132
dedication,14
division,132
fashion,132
fecklessness,146
forearm,57
inability,44
independence,72
interesting,32
laugh,251
lingering,61
list,132
magazine,214
menu,115
mid,132
museum,95
pa,18
poise,228
post,132
presentation,110
routine,132
success,4
transformation,4
workload,4
yoga,249
bar,187
bearing,132
buttock,141
capacity,132
collarbone,201
conscience,72
encouragement,5
eyeliner,17
failure,44
fatigue,179
hairstyle,17
heavy,132
journal,214
kind,32
loathing,199
logic,175
manner,228
massage,249
mate,157
neglect,146
optimism,96
photo,30
ploy,87
privacy,132
proﬁle,132
radiance,221
service,132
staf,132
styling,34
target,4
terror,132
torso,141
umbrella,132
wallet,38
ﬁgure,120
conﬁdence,132
employment,132
scooter,99
camera,30
groundwork,121
scale,132
delirium,162
guard,132
jewelery,31
temperature,108
vocabulary,39
kin,7
snoring,194
camp,132
goodness,221
humiliation,37
illness,179
lamp,24
loveliness,221
policy,121
temperament,228
alley,144
alleyway,144
arrived,88
branch,132
cab,99
captivity,244
cheerfulness,228
collar,139
daze,205
dinner,65
disapproval,199
dormitory,21
encounter,101
glinting,200
heel,57
hostess,142
injection,248
jawline,17
jumper,82
landlord,25
lead,4
manzhen,132
missing,88
mouthful,147
overcoat,234
quilt,241
radio,132
raspy,170
reluctance,44
row,132
spending,132
spin,61
tale,198
temper,228
treat,61
wear,11
windowsill,24
abdomen,141
angriest,245
backache,179
breakfast,115
energy,132
important,4
leave,88
needlework,167
signal,132
sofa,80
source,132
trembling,28
bottle,49
confidence,96
rickshaw,99
satisfaction,127
train,99
witticism,41
breakup,231
cape,139
dog,143
engagement,118
expense,4
gathering,132
goddaughter,15
goodbye,156
guest,132
irritation,207
outline,121
packing,61
powder,147
program,132
readiness,44
shoe,13
trousseau,255
unhappiness,207
wearing,11
woman,3
line,132
pork,137
bill,121
chablis,239
dad,180
daddy,180
englishman,132
festival,101
granddad,180
mailbox,54
mini,132
mobile,132
newspaper,214
other,132
pete,73
playing,26
pops,120
ribcage,57
smiling,46
sunﬁowers,132
telephone,110
afection,132
asthma,179
attack,4
bedtime,125
bike,99
claim,175
clear,32
drawing,132
go,32
juice,147
leotard,51
nursery,29
patience,242
perfume,29
pflediatrician,132
porter,197
princess,56
rucksack,22
selection,4
sigh,251
sighing,251
thing,32
up,132
whore,58
ﬁst,18
cap,139
flat,132
light,132
ordinariness,228
plump,147
qipflo,132
haughtiness,228
kilt,51
kitchen,20
knitting,167
song,138
stab,61
wailing,251
ﬁle,120
accommodation,74
amusement,127
band,104
birthmark,116
bottom,132
dialect,23
fortune,72
mass,132
plenty,32
professionalism,228
rear,24
rump,212
white,129
judgement,175
shark,189
bell,132
teacher,39
advantage,4
bundle,61
cause,132
chemise,63
competence,228
contact,118
du,18
lift,52
master,132
moment,32
powerlessness,171
qipao,255
reserve,132
shovel,61
sponsor,112
tutor,103
drift,52
mole,212
apology,97
baba,18
butt,58
butterfly,189
closet,20
customer,132
enthusiasm,14
flaw,4
gift,132
grasp,32
grave,72
incredulously,254
jade,255
joy,127
lady,3
more,132
pipa,104
pipe,212
respect,5
ruse,87
saying,132
suicide,79
technique,84
treasure,72
vehemence,102
virginity,130
wit,41
worry,32
affair,33
agony,37
alarm,168
amazement,78
appreciation,5
art,95
backside,212
blindfold,173
blossom,61
chagrin,78
chain,132
chatter,251
churn,61
classic,132
cover,61
cream,147
creature,189
crotch,58
determination,44
disbelief,78
field,132
fire,132
force,132
forgiveness,5
fragrance,29
funeral,77
gate,24
generosity,68
grudge,233
gun,45
honor,156
horror,37
incense,29
knife,45
lie,61
lord,72
monologue,41
murderer,79
nakedness,162
old,3
parrot,189
pearl,255
period,132
practice,132
prayer,156
predicament,37
pretty,32
prince,56
profession,72
prowess,84
puzzlement,78
qi,136
resolution,121
resolve,132
rest,132
reunion,101
reverie,162
sack,61
scream,251
search,88
sex,33
sheet,132
sink,61
slut,58
sobbing,28
stalk,61
stroll,101
sum,132
taste,134
thirst,14
tip,61
top,132
upset,32
urge,87
vomit,251
whole,32
womb,113
yin,18
aaron,73
anguish,67
attraction,4
awakening,162
bikini,16
coloring,129
desperation,207
embrace,32
enough,32
fill,61
french,73
gullet,62
insight,118
iphone,73
joylessness,162
judgment,175
keyboard,50
kidney,212
nausea,179
parenting,125
playfulness,41
scoliosis,186
shit,58
stroller,133
studio,75
tunnel,132
wrath,37
yorker,73
alice,73
arse,73
astonishment,78
austine,132
cabin,75
center,132
chineseness,72
classroom,39
clue,32
code,121
counselor,103
coworker,157
difference,4
ethnicity,72
evening,132
favor,4
footlocker,54
gmail,73
homeland,72
last,132
mom,180
morning,132
person,3
recital,104
resistance,4
rise,52
second,132
setting,132
stepfather,25
ungainliness,228
accident,88
beverage,169
birthdate,215
blank,132
clock,132
complexity,4
computer,50
dancing,104
dean,227
doorstep,132
drive,132
driveway,144
expertise,118
fascination,33
feature,132
fifth,132
firstborn,165
flirtation,33
grade,39
groin,8
haircut,17
immaturity,146
imploding,211
itchy,240
jealousy,146
labia,93
leery,32
lily,29
lindsey,73
loan,132
mix,132
nickname,72
nightshirt,63
nostril,184
onlyborn,132
password,159
patient,69
proficiency,84
puberty,111
romance,33
shaky,4
slender,129
spanish,73
specialty,132
stroke,179
text,214
uncertainty,81
upstairs,75
yard,82
come,32
commission,121
gone,88
option,4
wrinkling,17
downfall,231
jasmine,29
mill,124
perform,26
writhing,28
yu,18
institute,132
oﬃce,132
crush,61
group,132
joke,32
bookkeeper,25
aat,132
foreﬁnger,132
vague,32
adventurous,101
american,73
bit,32
break,61
creep,52
foresight,48
moan,251
price,132
scrape,61
vanity,146
betrayal,6
campaign,132
confession,100
ease,61
effortlessness,228
existence,72
forefinger,203
giddiness,162
groom,225
hug,156
kerchief,150
marrying,149
milk,137
mixture,147
mode,132
movie,198
paleness,17
pinkie,92
piping,132
pose,61
pregnant,165
rainbow,129
splotchy,129
tentative,132
toilette,20
artist,43
banquet,65
bess,132
bicycle,99
bob,73
burrow,61
button,120
citizenship,40
converse,32
couch,80
creation,132
dragon,189
edfred,132
editor,12
fence,202
ferocity,102
girlishness,228
in,132
may,132
month,132
moy,18
nephew,15
nightgown,63
payment,132
pile,61
plane,90
planning,121
pouch,54
rape,79
red,129
ruddy,129
rush,88
s,132
sam,73
satin,63
scared,32
see,32
shanghai,18
small,132
snapshot,30
sorrow,67
speaking,110
student,39
sweat,251
territory,132
tour,101
tuition,154
twenty,132
veil,63
wandering,88
website,119
xi,123
yen,226
accusation,98
bosom,212
challenge,4
cleavage,70
comb,88
conciliatory,126
curfew,151
duck,189
emperor,56
essence,32
glare,83
grin,46
ground,132
paler,129
petal,29
pigu,132
pique,32
play,26
plot,198
shrieking,251
silver,129
thoughtfulness,228
ace,190
ancestry,72
arch,212
assessment,36
attempt,87
authority,121
behaviour,132
benefactor,12
bet,32
blister,57
bluff,61
bone,212
buddy,157
calm,228
candy,147
cat,143
cavern,75
ceiling,24
champagne,169
cheer,127
cocoon,162
consent,161
court,132
crumpled,88
darling,32
deal,135
defiance,238
disregard,238
dudou,132
estimation,175
eyeball,212
favourite,72
fiend,33
footfall,132
fragrant,29
frown,32
gag,32
glee,127
glory,221
grindstone,61
gut,62
handiwork,72
handmaid,72
heat,108
heritage,72
hitching,61
honour,72
hork,132
interruption,4
