author,book,char_id,role,word,count
Tony_Parsons,My_Favourite_Wife,266,agent,nodded,32
Tony_Parsons,My_Favourite_Wife,266,agent,let,17
Tony_Parsons,My_Favourite_Wife,266,agent,gawped,1
Tony_Parsons,My_Favourite_Wife,266,agent,thought,141
Tony_Parsons,My_Favourite_Wife,266,agent,turned,27
Tony_Parsons,My_Favourite_Wife,266,agent,picked,6
Tony_Parsons,My_Favourite_Wife,266,agent,looked,81
Tony_Parsons,My_Favourite_Wife,266,agent,went,28
Tony_Parsons,My_Favourite_Wife,266,agent,watched,32
Tony_Parsons,My_Favourite_Wife,266,agent,liked,9
Tony_Parsons,My_Favourite_Wife,266,agent,wondered,26
Tony_Parsons,My_Favourite_Wife,266,agent,carried,11
Tony_Parsons,My_Favourite_Wife,266,agent,rummaged,1
Tony_Parsons,My_Favourite_Wife,266,agent,found,19
Tony_Parsons,My_Favourite_Wife,266,agent,came,22
Tony_Parsons,My_Favourite_Wife,266,agent,handed,2
Tony_Parsons,My_Favourite_Wife,266,agent,said,294
Tony_Parsons,My_Favourite_Wife,266,agent,saw,81
Tony_Parsons,My_Favourite_Wife,266,agent,laughed,21
Tony_Parsons,My_Favourite_Wife,266,agent,got,29
Tony_Parsons,My_Favourite_Wife,266,agent,dressed,2
Tony_Parsons,My_Favourite_Wife,266,agent,walked,14
Tony_Parsons,My_Favourite_Wife,266,agent,see,51
Tony_Parsons,My_Favourite_Wife,266,agent,felt,64
Tony_Parsons,My_Favourite_Wife,266,agent,glanced,3
Tony_Parsons,My_Favourite_Wife,266,agent,decided,3
Tony_Parsons,My_Favourite_Wife,266,agent,had,58
Tony_Parsons,My_Favourite_Wife,266,agent,ﬁlled,2
Tony_Parsons,My_Favourite_Wife,266,agent,left,11
Tony_Parsons,My_Favourite_Wife,266,agent,stopped,8
Tony_Parsons,My_Favourite_Wife,266,agent,continued,1
Tony_Parsons,My_Favourite_Wife,266,agent,kept,14
Tony_Parsons,My_Favourite_Wife,266,agent,wanted,28
Tony_Parsons,My_Favourite_Wife,266,agent,fed,2
Tony_Parsons,My_Favourite_Wife,266,agent,believed,7
Tony_Parsons,My_Favourite_Wife,266,agent,hailed,1
Tony_Parsons,My_Favourite_Wife,266,agent,understand,8
Tony_Parsons,My_Favourite_Wife,266,agent,dropped,2
Tony_Parsons,My_Favourite_Wife,266,agent,received,1
Tony_Parsons,My_Favourite_Wife,266,agent,tried,18
Tony_Parsons,My_Favourite_Wife,266,agent,realised,34
Tony_Parsons,My_Favourite_Wife,266,agent,knew,63
Tony_Parsons,My_Favourite_Wife,266,agent,starting,1
Tony_Parsons,My_Favourite_Wife,266,agent,struggled,7
Tony_Parsons,My_Favourite_Wife,266,agent,make,8
Tony_Parsons,My_Favourite_Wife,266,agent,lifted,5
Tony_Parsons,My_Favourite_Wife,266,agent,take,2
Tony_Parsons,My_Favourite_Wife,266,agent,pick,1
Tony_Parsons,My_Favourite_Wife,266,agent,arrived,2
Tony_Parsons,My_Favourite_Wife,266,agent,doing,4
Tony_Parsons,My_Favourite_Wife,266,agent,sitting,4
Tony_Parsons,My_Favourite_Wife,266,agent,rolled,1
Tony_Parsons,My_Favourite_Wife,266,agent,took,31
Tony_Parsons,My_Favourite_Wife,266,agent,get,9
Tony_Parsons,My_Favourite_Wife,266,agent,try,2
Tony_Parsons,My_Favourite_Wife,266,agent,sat,13
Tony_Parsons,My_Favourite_Wife,266,agent,holding,3
Tony_Parsons,My_Favourite_Wife,266,agent,smiling,1
Tony_Parsons,My_Favourite_Wife,266,agent,going,13
Tony_Parsons,My_Favourite_Wife,266,agent,noticed,7
Tony_Parsons,My_Favourite_Wife,266,agent,leaned,5
Tony_Parsons,My_Favourite_Wife,266,agent,thumbed,1
Tony_Parsons,My_Favourite_Wife,266,agent,seemed,8
Tony_Parsons,My_Favourite_Wife,266,agent,frowned,1
Tony_Parsons,My_Favourite_Wife,266,agent,shivered,2
Tony_Parsons,My_Favourite_Wife,266,agent,smiled,25
Tony_Parsons,My_Favourite_Wife,266,agent,guessed,9
Tony_Parsons,My_Favourite_Wife,266,agent,dawdled,1
Tony_Parsons,My_Favourite_Wife,266,agent,edged,1
Tony_Parsons,My_Favourite_Wife,266,agent,wiped,2
Tony_Parsons,My_Favourite_Wife,266,agent,smoked,1
Tony_Parsons,My_Favourite_Wife,266,agent,punctuated,1
Tony_Parsons,My_Favourite_Wife,266,agent,asked,11
Tony_Parsons,My_Favourite_Wife,266,agent,placed,8
Tony_Parsons,My_Favourite_Wife,266,agent,tore,1
Tony_Parsons,My_Favourite_Wife,266,agent,carrying,3
Tony_Parsons,My_Favourite_Wife,266,agent,promised,1
Tony_Parsons,My_Favourite_Wife,266,agent,spent,3
Tony_Parsons,My_Favourite_Wife,266,agent,crossed,1
Tony_Parsons,My_Favourite_Wife,266,agent,stretched,2
Tony_Parsons,My_Favourite_Wife,266,agent,woke,1
Tony_Parsons,My_Favourite_Wife,266,agent,smell,5
Tony_Parsons,My_Favourite_Wife,266,agent,crept,1
Tony_Parsons,My_Favourite_Wife,266,agent,made,14
Tony_Parsons,My_Favourite_Wife,266,agent,think,7
Tony_Parsons,My_Favourite_Wife,266,agent,loved,14
Tony_Parsons,My_Favourite_Wife,266,agent,understood,6
Tony_Parsons,My_Favourite_Wife,266,agent,touched,7
Tony_Parsons,My_Favourite_Wife,266,agent,sighed,3
Tony_Parsons,My_Favourite_Wife,266,agent,told,16
Tony_Parsons,My_Favourite_Wife,266,agent,stared,23
Tony_Parsons,My_Favourite_Wife,266,agent,explained,2
Tony_Parsons,My_Favourite_Wife,266,agent,settled,1
Tony_Parsons,My_Favourite_Wife,266,agent,seen,21
Tony_Parsons,My_Favourite_Wife,266,agent,squeezed,3
Tony_Parsons,My_Favourite_Wife,266,agent,dawdle,1
Tony_Parsons,My_Favourite_Wife,266,agent,brought,2
Tony_Parsons,My_Favourite_Wife,266,agent,advanced,1
Tony_Parsons,My_Favourite_Wife,266,agent,hear,25
Tony_Parsons,My_Favourite_Wife,266,agent,considered,1
Tony_Parsons,My_Favourite_Wife,266,agent,stood,27
Tony_Parsons,My_Favourite_Wife,266,agent,worked,1
Tony_Parsons,My_Favourite_Wife,266,agent,tell,8
Tony_Parsons,My_Favourite_Wife,266,agent,need,3
Tony_Parsons,My_Favourite_Wife,266,agent,recognised,3
Tony_Parsons,My_Favourite_Wife,266,agent,heard,22
Tony_Parsons,My_Favourite_Wife,266,agent,phoned,1
Tony_Parsons,My_Favourite_Wife,266,agent,give,2
Tony_Parsons,My_Favourite_Wife,266,agent,dismissed,1
Tony_Parsons,My_Favourite_Wife,266,agent,want,13
Tony_Parsons,My_Favourite_Wife,266,agent,feel,16
Tony_Parsons,My_Favourite_Wife,266,agent,sleeping,3
Tony_Parsons,My_Favourite_Wife,266,agent,needed,4
Tony_Parsons,My_Favourite_Wife,266,agent,place,2
Tony_Parsons,My_Favourite_Wife,266,agent,pushed,5
Tony_Parsons,My_Favourite_Wife,266,agent,reared,1
Tony_Parsons,My_Favourite_Wife,266,agent,sounded,1
Tony_Parsons,My_Favourite_Wife,266,agent,declining,1
Tony_Parsons,My_Favourite_Wife,266,agent,have,17
Tony_Parsons,My_Favourite_Wife,266,agent,managed,1
Tony_Parsons,My_Favourite_Wife,266,agent,swigged,1
Tony_Parsons,My_Favourite_Wife,266,agent,worn,1
Tony_Parsons,My_Favourite_Wife,266,agent,rubbed,1
Tony_Parsons,My_Favourite_Wife,266,agent,fumbled,2
Tony_Parsons,My_Favourite_Wife,266,agent,gave,6
Tony_Parsons,My_Favourite_Wife,266,agent,looking,8
Tony_Parsons,My_Favourite_Wife,266,agent,agreed,3
Tony_Parsons,My_Favourite_Wife,266,agent,paused,2
Tony_Parsons,My_Favourite_Wife,266,agent,bother,1
Tony_Parsons,My_Favourite_Wife,266,agent,stretch,1
Tony_Parsons,My_Favourite_Wife,266,agent,headed,3
Tony_Parsons,My_Favourite_Wife,266,agent,swung,3
Tony_Parsons,My_Favourite_Wife,266,agent,missed,4
Tony_Parsons,My_Favourite_Wife,266,agent,hugged,3
Tony_Parsons,My_Favourite_Wife,266,agent,dared,2
Tony_Parsons,My_Favourite_Wife,266,agent,pulled,8
Tony_Parsons,My_Favourite_Wife,266,agent,kissed,9
Tony_Parsons,My_Favourite_Wife,266,agent,remember,6
Tony_Parsons,My_Favourite_Wife,266,agent,remembered,13
Tony_Parsons,My_Favourite_Wife,266,agent,say,4
Tony_Parsons,My_Favourite_Wife,266,agent,followed,3
Tony_Parsons,My_Favourite_Wife,266,agent,round,1
Tony_Parsons,My_Favourite_Wife,266,agent,pegged,1
Tony_Parsons,My_Favourite_Wife,266,agent,open,1
Tony_Parsons,My_Favourite_Wife,266,agent,caught,4
Tony_Parsons,My_Favourite_Wife,266,agent,flashed,1
Tony_Parsons,My_Favourite_Wife,266,agent,shook,31
Tony_Parsons,My_Favourite_Wife,266,agent,began,7
Tony_Parsons,My_Favourite_Wife,266,agent,hesitated,5
Tony_Parsons,My_Favourite_Wife,266,agent,stick,2
Tony_Parsons,My_Favourite_Wife,266,agent,sprawl,1
Tony_Parsons,My_Favourite_Wife,266,agent,believe,4
Tony_Parsons,My_Favourite_Wife,266,agent,helped,3
Tony_Parsons,My_Favourite_Wife,266,agent,discovered,1
Tony_Parsons,My_Favourite_Wife,266,agent,searched,2
Tony_Parsons,My_Favourite_Wife,266,agent,leaving,1
Tony_Parsons,My_Favourite_Wife,266,agent,react,1
Tony_Parsons,My_Favourite_Wife,266,agent,shrugged,6
Tony_Parsons,My_Favourite_Wife,266,agent,wading,1
Tony_Parsons,My_Favourite_Wife,266,agent,getting,2
Tony_Parsons,My_Favourite_Wife,266,agent,changed,2
Tony_Parsons,My_Favourite_Wife,266,agent,led,1
Tony_Parsons,My_Favourite_Wife,266,agent,held,22
