author,book,char_id,role,word,count
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,tried,11
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,looped,2
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,pierced,2
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,swore,2
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,yanked,4
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,smell,2
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,witnessed,4
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,permeated,1
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,had,36
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,heard,34
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,wrapped,5
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,glanced,29
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,muttered,18
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,nodded,55
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,snapped,10
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,took,27
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,aligned,1
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,hoped,5
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,spared,1
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,reminded,1
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,ran,16
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,carried,6
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,cursed,2
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,expected,10
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,foreseen,1
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,return,2
Daniel_Kalla,The_Far_Side_of_the_Sky_Adler_Family_1,237,agent,looked,46
