word,cluster_id
track,596
mentors,424
phrase,672
boar,243
unsociable,245
dozing,669
jagged,117
demolished,179
moodiness,446
garnered,9
embrace,417
outbursts,399
avert,761
creeps,801
ejaculate,421
bantering,141
swear,117
nervousness,446
cousin,315
pouches,261
renderings,949
unworldliness,679
jellyﬁsh,756
goons,149
swallow,211
ancestor,775
chief,306
tower,74
supply,59
mommy,128
severance,562
respond,214
pry,793
nightdress,506
shuffling,241
rifled,849
biased,124
prices,957
chipped,66
omission,536
aanked,145
kite,786
ﬁles,72
opening,442
cops,230
riling,131
balk,346
entrenched,512
contents,222
relaxing,287
shortest,143
widowed,268
dealings,217
chrome,786
perspective-,498
beauty,450
describes,339
escort,736
chaperone,169
learnt,268
drew,782
scanned,976
bolstered,664
lauding,611
nod,375
deflct,377
hoarded,857
refueled,551
topples,75
tiptoes,528
overpowered,447
prepped,98
neckline,465
ideology,418
dunno,556
bangs,793
scrotum,94
shacks,490
immigrating,720
resisting,214
blazer,283
doubles,282
restudied,250
additions,458
crotches,593
oyster,271
forms,732
quits,320
savoured,139
sacrum,648
annotating,209
solemn,4
ledge,442
pallet,349
waitresses,514
squabbles,684
both,557
brandished,513
maniac,780
engineering,676
daisy,76
ballrooms,671
limbs,230
doodling,90
awry,713
tricks,255
loudspeaker,716
niece,315
sleepwalking,348
reconvene,161
shirk,592
chafe,316
powerless,936
immaturity,176
dawdle,813
floating,559
soothe,211
guard,60
merged,872
unzipped,55
jin,17
fleet,603
furry,793
foreshore,928
lull,813
blockhouses,248
compounds,372
creep,420
taciturn,565
murdered,787
delusional,302
satisfied,333
inundated,347
rebirthed,447
immigrated,406
fright,688
hyperaware,377
beguiling,254
pomaded,134
threatened,492
oldsmobile,616
relying,393
palanquin,365
eying,592
friendship,330
commenting,848
bandage,835
exonerated,118
scamming,573
hopes,96
impugned,139
soils,928
bayonet,457
assures,276
disrespecting,137
draws,675
drafts,548
haaarrr,384
dissect,229
bedmate,882
machete,741
dearest,85
stele,436
genitalia,94
rebuffed,941
spaces,732
decent,4
shuhui,668
play,441
yell,612
attackers,214
ticklish,119
directed,642
countersignature,484
ducks,57
blogs,931
venerated,354
roughed,433
brokered,727
noticing,327
enforce,45
gigs,271
turning,460
contest,795
adieux,224
securing,510
flounder,149
laugh,23
flickers,959
souviens,524
translator,84
glitter,415
kidnapping,423
worst,682
belongings-,650
steak,546
embroidery,650
arrows,104
cetera,550
directors,459
thicker,775
you-,102
variety,368
defences,458
whizzed,284
negotiator,359
wagged,121
curt,158
husband,569
collars,465
compared,872
wriggles,667
forefathers,411
buyer,214
dug,45
uncultivated,529
conquers,771
mistrust,325
ticket,170
juked,64
beset,711
say'we,877
oﬃces,25
creeping,303
counterfeited,281
billfold,436
segues,99
sandals,422
militia,683
untangles,636
countermanded,526
security,800
newspapers,184
demand,663
cease,417
lodgers,834
bakehouse,950
provoking,852
determine,257
balanced,296
trumpeter,803
seats,892
deteriorated,9
paunch,493
lurches,588
alley,279
haunt,533
smack,186
chocolate,694
paths,624
anxieties,600
friend,980
torments,112
plots,521
decks,557
deepening,131
accommodations,981
nicknames,918
oberleutnant,822
inconvenienced,833
left-,218
tells,204
kills,755
spoke,987
flows,190
demurest,890
chatter,832
playful,518
capability,3
ridden,217
humping,535
door,279
excited,333
egging,859
essays,791
bat,271
inserts,552
heeding,852
mislaying,382
planning,20
palms,868
inveigled,87
fixes,443
buffalo,644
draw,675
cut,965
editor,26
justifies,6
gazes,241
umbrellas,419
hearts,980
torch,793
wrested,990
illiterate,917
fuss,673
trawler,900
reconciliation,469
prognosis,494
sanctuaries,275
lacked,829
storytelling,239
neurotic,302
shuanggui,428
bellowing,841
bullets,230
baskets,456
buyout,904
shambled,581
dejected,116
entertain,214
graduated,734
scowling,610
pokes,390
wounded,352
beaks,261
hopefulness,679
sailor,293
pitching,282
bladder,243
impersonate,842
electromagnets,889
dictionaries,84
persist,56
are-,895
unlaced,55
slimy,150
buzz,117
minister,26
disﬁgured,712
strasse,731
drawer,653
murals,570
emulate,487
methodology,140
remembered-,434
deleted,747
shushes,985
pecker,58
satirize,355
infects,771
image,223
寻根究底,586
exposure,823
satiated,886
deﬂected,828
dens,16
masseuse,100
envoy,683
jian,17
limbless,662
excels,443
cache,372
appraisals,605
search,558
booking,368
refocus,250
"live""-",280
firearms,856
overwarm,788
reappear,523
nigger,386
date,596
mandolin,977
thighed,593
rageful,522
certification,914
saddens,51
gaped,18
deployed,747
formidable,4
curling,442
sympathetic,9
grimacing,681
discontent,56
pummeling,111
phenomenon,214
pulls,698
provide,240
interpretations,206
grandpa,574
peddles,108
yarmulke,365
comforter,485
repairman,80
coop,368
transmitted,596
tombs,74
changing,663
cheerleading,282
nightgown,506
penetrate,520
sisterhood,286
halves,901
plagiarized,837
descriptions,967
marriages-,563
cruelty,682
informing,214
howled,412
shove,612
harass,151
intoxicated,302
amends,250
exhilaration,176
pushed,698
bearer,683
torches,230
redacted,320
two,356
prettiness,595
taxes,738
cooperation,454
exploded,201
gibberish,496
stamped,429
smearing,788
adversaries,600
funny,621
rekindle,617
primer,253
fingertip,265
curried,104
screen,223
paintbox,613
versatile,96
whistling,23
lantern,287
kicks,757
rambled,289
wheeze,205
practicing,262
remaining,501
invading,793
detaching,317
wavered,125
situate,250
occur,812
handful,793
articulated,520
sorting,835
frequented,36
vomiting,823
piano,977
millions,572
owner,306
swish,817
stirs,378
stoic,714
ensures-,913
documentation,676
treats,729
recital,967
peiqin,88
overpraise,524
bigger,420
bypassed,303
obnoxious,585
crossing,115
archivist,430
replicate,9
prefers,393
rulers,343
exhorted,549
banked,956
impolite,994
perceive,56
coaxing,111
favored,829
credibility,504
helplessness,446
win,675
incline,115
predisposed,888
eager,497
oscars,410
replacing,930
unmoving,92
paused,816
palace,170
escalated,156
rutted,531
cannot-,273
housekeepers,749
adam,782
twiddled,284
loud,612
cobbling,841
pandemonium,381
queen,60
cabinets,61
constancy,291
notifying,263
buffaloes,309
disparaging,932
overﬂowing,759
inciting,643
quieted,958
suggest,56
harshness,679
pestered,664
gaunt,442
flick,782
fatal,823
motivate,706
appropriation,159
sanity,14
marinating,579
analyzes,152
flies,937
shredded,936
groans,144
desperation,522
seclusion,65
teetering,244
accomplish,897
harsh,921
carving,442
scroll,113
greataunt,28
dancers,618
prominence,239
invented,9
translations,84
resenting,264
idiot,186
flanked,277
kneeing,435
coquettish,169
agents,626
incongruous,879
hobbling,908
aunties,411
player,231
flickering,958
rents,504
stomped,303
bubbly,764
relinquishing,536
lugging,90
tsingtflos,77
clinging,698
inland,697
therapist,306
acknowledge,268
seduce,14
centre,278
overreached,383
propiska,22
puffin,149
rejuvenated,983
beat,449
prevents,56
domesticity,97
gluttons,503
popping,117
warbled,289
oﬀering,25
obvious,629
creaking,920
harassed,393
batted,143
catalogued,495
lin,17
agility,725
ﬁoundering,924
betrothed,997
commissar,975
reincarnate,354
nostril,597
radiant,415
noosing,186
forewarned,685
hesitations,272
kneel,724
leotard,8
envisaged,383
compelled,268
vividness,450
dictated,268
flutters,959
cringes,183
nineties,528
warnings,552
enlightened,869
pear,442
outraged,165
sanitized,332
dutch,968
carelessness,864
blocking,262
ofall,338
zeal,122
pulses,230
wounding,808
trained,735
avoid,905
toe,947
behave,905
tasked,808
yero,105
crews,231
skillful,189
realistic,589
gift,993
seals,937
drawl,461
wooed,267
mess,846
drum,360
dreamed,987
speculated,9
registered,747
flopped,533
offering,14
ay,592
transformed,156
disinclination,317
sashes,843
haunches,818
abstraction,140
inviting,14
martial,239
dwells,51
recoil,481
walker,555
gallivanting'without,131
vitals,909
tug,673
humiliating,921
tallied,767
chamber,795
brushed,816
neighbors-,865
"fingers-""all",577
missal,587
ﬁlming,227
baulk,109
engorged,763
dripped,698
resected,848
stated,204
smoothed,976
refinements,31
patched,98
disability,3
wails,246
bets,757
cope,859
hu,672
impeded,159
ﬂashed,660
jolting,220
crumple,43
proceed,240
resilient,764
cubicd,624
"doesn't""-manlu",69
drags,728
hummed,303
dantian,249
availability,398
counterargued,828
ballet,795
presentations,791
dom,128
counterpart,96
explosive,835
spotting,688
forked,762
scientists,459
shooed,857
mats,548
sashays,444
torching,573
enchantments,969
unnatural,921
dazzle,444
hairsbreadth,528
shadow,993
semester,239
cat,415
stanley,859
tuous,592
society,110
veteran,683
lapels,465
beater,483
villas,243
congratulate,537
rude,518
defenseless,662
rented,9
chickened,98
persevered,139
armful,64
fingers-,132
privileged,497
liaison,736
coddled,519
staked,849
reel,954
publishing,110
penned,243
woken,698
thwarted,314
wear,530
teacup,674
fascinate,982
closed,561
contemporary,418
stipulated,542
thumbs,673
advantages,31
separating,393
aunty,411
trample,444
awake,699
pinches,443
ﬁve,227
sentence,239
butterfly,937
puzzlement,522
missionaries,678
furs,705
informs,204
weaved,401
hooped,947
deemed,469
hands-,132
routes,697
distance,226
depended,839
dissuaded,139
brim,120
scalded,470
emperors,343
porcelains,760
gin,672
swishing,908
approaching,277
curses,682
wrath,743
slugged,252
encircled,559
fixing,262
bells,154
meticulous,567
accepted,388
bend,947
solve,594
ﬁre,72
overcome,214
bumpkin,149
horrors,445
carries,36
surround,124
stiffly,287
illustrate,504
educated,358
defying,852
expensive,621
arithmetic,140
inhales,508
bewitched,431
numerous,632
batch,243
bickered,730
kisses,216
