persona,feature,weight
0,agent:905,13727.868
0,poss:998,11119.395
0,agent:517,10876.545
0,agent:698,7432.761
0,agent:339,7355.2124
0,agent:375,6234.8394
0,agent:143,5453.2026
0,agent:40,5426.459
0,mod:333,4874.3394
0,agent:559,4818.075
0,agent:816,4743.66
0,agent:747,4678.2417
0,poss:980,4641.235
0,mod:287,4515.5723
0,agent:872,4452.667
0,agent:144,4450.613
0,agent:296,4377.722
0,agent:976,4343.9966
0,patient:987,4202.853
0,agent:216,3893.5964
0,poss:462,3808.0764
0,agent:663,3683.577
0,agent:201,3675.2253
0,mod:6,3616.2185
0,patient:839,3476.0571
0,poss:569,3276.488
0,agent:417,3264.086
0,mod:336,3080.2705
0,agent:793,2923.1838
0,patient:339,2889.8315
0,patient:787,2886.4746
0,agent:117,2800.4595
0,agent:672,2747.489
0,mod:14,2746.2324
0,mod:85,2622.589
0,mod:241,2534.129
0,agent:388,2460.1885
0,patient:561,2400.2078
0,mod:829,2276.0466
0,patient:682,2260.6611
0,agent:45,2237.4216
0,poss:663,2232.7454
0,agent:688,2176.1047
0,agent:277,2173.1968
0,agent:156,2158.8447
0,poss:881,2135.4348
0,poss:315,2088.7566
0,agent:96,2063.5073
0,agent:240,2034.7305
0,poss:226,2014.5809
1,agent:824,12994.302
1,agent:215,9331.928
1,agent:987,9043.263
1,poss:868,8501.032
1,agent:816,7557.2944
1,patient:327,7500.331
1,poss:846,5376.043
1,poss:534,4467.026
1,agent:144,4152.8384
1,agent:262,3928.0234
1,agent:561,3537.8848
1,agent:277,3531.3538
1,agent:79,3459.0068
1,agent:831,3451.718
1,agent:388,3386.8594
1,patient:211,3384.311
1,poss:521,2832.5256
1,agent:812,2715.15
1,agent:775,2629.0461
1,agent:296,2490.4568
1,agent:117,2426.3352
1,patient:816,2285.99
1,agent:417,2225.4744
1,agent:594,2217.3445
1,poss:307,2208.0554
1,agent:9,2149.1914
1,agent:533,2144.2725
1,poss:546,2134.8796
1,agent:156,2131.2393
1,patient:352,2101.9875
1,agent:787,2026.3969
1,poss:653,2024.8433
1,poss:238,1983.5159
1,poss:231,1954.6941
1,poss:287,1945.7406
1,poss:966,1938.4417
1,poss:278,1931.5836
1,agent:412,1909.8336
1,mod:420,1903.849
1,patient:417,1890.8508
1,patient:509,1863.2498
1,agent:936,1814.4055
1,patient:262,1755.3722
1,mod:315,1734.3228
1,mod:829,1730.601
1,poss:675,1729.9089
1,poss:980,1714.9226
1,agent:314,1693.7396
1,agent:312,1675.7008
1,agent:530,1584.0135
2,agent:327,13350.043
2,agent:831,10201.316
2,agent:846,10117.668
2,agent:303,9298.061
2,patient:839,8778.188
2,agent:117,8656.449
2,poss:846,8632.115
2,poss:223,8103.0024
2,poss:868,7682.838
2,agent:143,6894.5933
2,poss:534,6316.734
2,agent:839,5642.269
2,agent:40,5310.9243
2,agent:339,5256.417
2,poss:462,4834.328
2,agent:268,4795.4775
2,agent:816,4741.581
2,agent:144,4422.9023
2,agent:965,4413.677
2,mod:621,4332.795
2,agent:672,4299.3574
2,agent:559,3675.6301
2,patient:339,3621.1863
2,poss:729,3474.5999
2,poss:230,3411.6216
2,patient:204,3282.6677
2,agent:211,3233.2087
2,agent:277,3138.135
2,agent:793,3113.657
2,mod:85,3104.4536
2,poss:330,3003.086
2,poss:557,2992.3044
2,patient:812,2960.378
2,mod:287,2917.7283
2,poss:170,2912.4863
2,poss:226,2910.6663
2,poss:271,2904.4854
2,patient:808,2788.968
2,poss:663,2781.0664
2,poss:488,2743.458
2,poss:278,2648.3005
2,poss:530,2582.8171
2,poss:832,2517.7097
2,poss:673,2503.6824
2,agent:312,2462.502
2,agent:375,2438.9463
2,poss:239,2332.7737
2,poss:772,2316.3982
2,patient:113,2280.4253
2,poss:998,2235.773
3,agent:211,13393.996
3,agent:998,9740.774
3,agent:327,3059.5208
3,patient:998,2674.0374
3,patient:211,2625.8816
3,patient:417,2442.92
3,poss:330,2208.4858
3,agent:594,1885.8994
3,agent:417,1851.2761
3,agent:277,1816.184
3,agent:829,1758.0098
3,agent:216,1752.5693
3,agent:501,1707.8818
3,patient:905,1665.1707
3,patient:85,1483.6229
3,agent:533,1456.1602
3,patient:698,1397.8737
3,agent:204,1394.7522
3,poss:521,1385.3704
3,poss:374,1360.9636
3,agent:345,1321.2245
3,agent:220,1314.7842
3,agent:787,1290.143
3,agent:460,1276.1699
3,poss:49,1245.487
3,poss:832,1224.893
3,poss:993,1217.2473
3,agent:144,1159.6947
3,agent:374,1155.7628
3,poss:880,1091.0613
3,mod:315,1089.0328
3,agent:469,1024.046
3,poss:211,1021.2487
3,agent:548,1019.739
3,poss:530,1009.9203
3,mod:462,1007.0028
3,agent:388,1003.8022
3,agent:965,1000.5154
3,agent:143,997.71576
3,mod:165,997.47656
3,mod:85,997.36285
3,agent:9,996.63477
3,patient:460,992.19135
3,patient:352,989.2877
3,poss:287,962.82825
3,agent:312,950.72406
3,agent:530,944.3728
3,poss:230,926.3062
3,poss:546,925.9753
3,poss:522,923.5921
4,agent:211,10285.172
4,agent:987,9456.468
4,agent:79,9264.679
4,patient:211,9048.58
4,poss:868,7907.7812
4,poss:223,7557.493
4,agent:816,6859.5107
4,patient:327,6512.487
4,agent:262,4971.958
4,mod:621,4372.65
4,patient:998,4317.1836
4,poss:880,4153.009
4,poss:846,4126.7935
4,poss:534,4004.14
4,agent:388,3983.8887
4,mod:958,3895.173
4,agent:345,3792.4248
4,agent:144,3685.9282
4,patient:816,3628.6904
4,poss:397,3419.2124
4,agent:501,3287.896
4,agent:23,3044.7842
4,poss:374,2964.7886
4,poss:653,2887.09
4,poss:312,2849.4697
4,poss:791,2842.7334
4,mod:336,2806.4617
4,poss:330,2795.0789
4,agent:829,2649.4282
4,poss:621,2596.5847
4,agent:117,2595.397
4,poss:757,2592.926
4,agent:755,2466.4294
4,agent:675,2409.4536
4,patient:113,2392.75
4,poss:505,2387.7444
4,poss:980,2381.5244
4,poss:211,2374.591
4,mod:921,2328.2021
4,poss:520,2281.9307
4,agent:143,2245.1624
4,patient:417,2196.3264
4,agent:220,2188.3286
4,agent:327,2177.0215
4,agent:4,2100.9197
4,patient:976,2091.1309
4,agent:124,2081.3877
4,mod:26,2078.9146
4,patient:345,2077.6797
4,agent:557,2075.1904
5,agent:846,13873.103
5,agent:303,11353.607
5,agent:375,10138.109
5,agent:824,8754.628
5,agent:40,7693.246
5,agent:268,7309.1284
5,poss:534,7115.2725
5,patient:698,5353.8843
5,agent:211,5237.662
5,agent:965,5027.87
5,patient:211,5016.0396
5,agent:839,4929.3223
5,poss:729,4790.1846
5,mod:333,4515.547
5,agent:672,4484.23
5,agent:19,4373.672
5,poss:980,4152.7095
5,patient:417,3915.2258
5,patient:327,3852.7478
5,poss:993,3802.2388
5,poss:632,3598.6145
5,patient:998,3552.9856
5,agent:976,3521.3513
5,agent:793,3421.5374
5,patient:787,3195.14
5,patient:113,3134.007
5,mod:85,3028.9783
5,poss:546,2954.3909
5,agent:517,2851.2058
5,agent:296,2846.1772
5,agent:79,2751.6064
5,agent:201,2733.221
