char_key,author,book,m_idx,persona,char_id,best_name,gender,count,other_names
A_Case_of_Two_Cities_0,Qiu_Xiaolong,A_Case_of_Two_Cities,26,4,0,Character_0,he/him/his,1751,
A_Case_of_Two_Cities_1062,Qiu_Xiaolong,A_Case_of_Two_Cities,26,3,1062,others,None,19,
A_Case_of_Two_Cities_1108,Qiu_Xiaolong,A_Case_of_Two_Cities,26,6,1108,"the son who , though far from being a Confucianist",he/him/his,35,
A_Case_of_Two_Cities_1198,Qiu_Xiaolong,A_Case_of_Two_Cities,26,7,1198,Character_1198,None,24,
These_Violent_Delights_82,Chloe_Gong,These_Violent_Delights,6,0,82,Juliette,she/her,5572,Juliette|Juliette Cai|Juliette ﬁnally|Miss Juliette|Cai|Juliette Ainched|the Juliette|Thirteen Juliette|parent Juliette
A_Case_of_Two_Cities_1698,Qiu_Xiaolong,A_Case_of_Two_Cities,26,0,1698,The company owner,he/him/his,56,
A_Case_of_Two_Cities_179,Qiu_Xiaolong,A_Case_of_Two_Cities,26,0,179,Chen,he/him/his,2860,Chen|Chief Inspector Chen|Mr. Chen|Master Chen|Comrade Chief Inspector Chen|Chen Cao|Chief|Comrade Chen Cao|Presently Chen|Cao|Chief Inspector Chen Cao 04|INSPECTOR CHEN CAO|Comrade Chief Inspector Chen Cao|Chief Inspector Chen Cao|INSPECTOR CHEN|CHIEF INSPECTOR CHEN|Comrade Chen|Mr. Chen Cao
A_Case_of_Two_Cities_181,Qiu_Xiaolong,A_Case_of_Two_Cities,26,0,181,Lou,he/him/his,99,Lou|Sergeant Lou|Sergeant Lou Xiangdong
A_Case_of_Two_Cities_183,Qiu_Xiaolong,A_Case_of_Two_Cities,26,5,183,Pang,they/them/their,12,Pang
A_Case_of_Two_Cities_186,Qiu_Xiaolong,A_Case_of_Two_Cities,26,5,186,Hua,he/him/his,62,Hua|Detective Hua|Detective Hua Ting|Inspector Hua|Hua Ting
A_Case_of_Two_Cities_191,Qiu_Xiaolong,A_Case_of_Two_Cities,26,5,191,Xing,he/him/his,587,Xing|Ming|Now Ming|xing|Xing Ming|the Xing
A_Case_of_Two_Cities_198,Qiu_Xiaolong,A_Case_of_Two_Cities,26,0,198,Bao,he/him/his,292,Bao|Judge Bao|Comrade Bao|Master Bao|Mr. Bao
A_Case_of_Two_Cities_200,Qiu_Xiaolong,A_Case_of_Two_Cities,26,0,200,Old Hunter,he/him/his,84,Old Hunter
A_Case_of_Two_Cities_203,Qiu_Xiaolong,A_Case_of_Two_Cities,26,0,203,Lei,he/him/his,73,Lei|Lei Zhenren
A_Case_of_Two_Cities_211,Qiu_Xiaolong,A_Case_of_Two_Cities,26,3,211,Comrade Zhao,he/him/his,183,Comrade Zhao|Zhao|Zhao Yan|Comrade Secretary Zhao Yan|Comrade Zhao Yan|Perhaps Comrade Zhao
A_Case_of_Two_Cities_2158,Qiu_Xiaolong,A_Case_of_Two_Cities,26,6,2158,the delegation,they/them/their,70,
A_Case_of_Two_Cities_216,Qiu_Xiaolong,A_Case_of_Two_Cities,26,0,216,Yu,he/him/his,438,Yu|Detective Yu|Comrade Detective Yu Guangming|Guangming|Yu Guangming|DETECTIVE YU
A_Case_of_Two_Cities_2166,Qiu_Xiaolong,A_Case_of_Two_Cities,26,7,2166,Character_2166,None,17,
A_Case_of_Two_Cities_217,Qiu_Xiaolong,A_Case_of_Two_Cities,26,6,217,Party Secretary Li,he/him/his,14,Party Secretary Li|Li
The_Map_of_Lost_Memories_221,Kim_Fay,The_Map_of_Lost_Memories,20,0,221,Simone,she/her,2978,Simone|Simone Merlin|Simone Ainch|Simone Aicked ash
A_Case_of_Two_Cities_221,Qiu_Xiaolong,A_Case_of_Two_Cities,26,7,221,the Americans,they/them/their,24,the Americans|The Americans
A_Case_of_Two_Cities_228,Qiu_Xiaolong,A_Case_of_Two_Cities,26,0,228,Dong,he/him/his,114,Dong|Director Dong|Dong Depeing
